Full Index,National Full,National in AB,Similarity
4455,"The requirements regarding fire-resistance rating and type of cladding-sheathing assembly shall not apply to the exposing building face or projections from an exposing building face of a dwelling unit facing a detached garage or accessory building, or a garage or accessory building facing a dwelling unit, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property.","The requirements regarding fire-resistance rating and type of cladding-sheathing assembly shall not apply to the exposing building face or projections from an exposing building face of a dwelling unit facing a detached garage or accessory building, or a garage or accessory building facing a dwelling unit, where the detached garage or accessory building serves only one dwelling unit, the detached garage or accessory building is located on the same property as that dwelling unit, and the dwelling unit served by the detached garage or accessory building is the only major occupancy on the property.",1.0
5968,Wastes from every plumbing fixture shall be piped to the building sewer.,Wastes from every plumbing fixture shall be piped to the building sewer.,1.0
10338,"Attendants on duty at fuel-dispensing stations shall supervise the dispensing of flammable liquids and combustible liquids, activate the controls to permit the dispensing of fuel at an individual dispenser only after the customer at the unit is ready to activate the nozzle, prevent the dispensing of flammable liquids and combustible liquids into containers that do not conform to Article 4.2.3.1., or are in a vehicle, take appropriate measures to prevent sources of ignition from creating a hazard at the dispensers, take appropriate action in the event of a spill to reduce the risk of fire, shut off the power to all dispensers in the event of a spill or fire, and perform routine visual inspections in accordance with Article 4.5.10.5.","Attendants on duty at fuel-dispensing stations shall supervise the dispensing of flammable liquids and combustible liquids, activate the controls to permit the dispensing of fuel at an individual dispenser only after the customer at the unit is ready to activate the nozzle, prevent the dispensing of flammable liquids and combustible liquids into containers that do not conform to Article 4.2.3.1., or are in a vehicle, take appropriate measures to prevent sources of ignition from creating a hazard at the dispensers, take appropriate action in the event of a spill to reduce the risk of fire, shut off the power to all dispensers in the event of a spill or fire, and perform routine visual inspections in accordance with Article 4.5.10.5.",1.0
6453,Measures shall be taken during demolition to protect the public in conformance with Section 5.6. of Division B of the NFC.,Measures shall be taken during demolition to protect the public in conformance with Section 5.6. of Division B of the NFC.,1.0
8068,"Communication, interaction and coordination between the designer and the professional engineer responsible for the geotechnical aspects of the project shall take place to a degree commensurate with the complexity and requirements of the project.","Communication, interaction and coordination between the designer and the professional engineer responsible for the geotechnical aspects of the project shall take place to a degree commensurate with the complexity and requirements of the project.",1.0
13339,Damage to storage tank shells shall not be repaired on site.,Damage to storage tank shells shall not be repaired on site.,1.0
4092,"The total floor area of all storeys of a secondary suite shall be not more than the lesser of 80% of the total floor area of all storeys of the other dwelling unit, excluding the garage floor area and common spaces serving both dwelling units, and 80 m2.","The total floor area of all storeys of a secondary suite shall be not more than the lesser of 80% of the total floor area of all storeys of the other dwelling unit, excluding the garage floor area and common spaces serving both dwelling units, and 80 m2.",1.0
7187,"If mobile homes do not have individual sanitary facilities connected to a central water supply and drainage system, a service building shall be provided for public use.","If mobile homes do not have individual sanitary facilities connected to a central water supply and drainage system, a service building shall be provided for public use.",1.0
10751,The location of storage rooms referred to in Sentence 4.2.4.2.(4) shall conform to Article 3.3.2.16. and Sentence 3.3.4.3.(4) of Division B of the NBC.,The location of storage rooms referred to in Sentence 4.2.4.2.(4) shall conform to Article 3.3.2.16. and Sentence 3.3.4.3.(4) of Division B of the NBC.,1.0
487,"Except as required in Sentence 9.10.22.1.(2), natural gas and propane cooktops and ovens shall be installed in accordance with the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with CSA B149.1-10 Natural Gas and Propane Installation Code (See also Article 9.34.1.1.)","Except as required in Sentence 9.10.22.1.(2), natural gas and propane cooktops and ovens shall be installed in accordance with the applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with CSA B149.1-10 Natural Gas and Propane Installation Code (See also Article 9.34.1.1.)",1.0
11119,"Required clearances between chimneys, flue pipes or appliances and combustible construction shall be maintained in conformance with the NBC.","Required clearances between chimneys, flue pipes or appliances and combustible construction shall be maintained in conformance with the NBC.",1.0
11109,A storage tank and its filling and emptying connections shall be identified in conformance with CFA 1990 Using the Canadian Fuels Colour-Symbol System to Mark Equipment and Vehicles for Product Identification,A storage tank and its filling and emptying connections shall be identified in conformance with CFA 1990 Using the Canadian Fuels Colour-Symbol System to Mark Equipment and Vehicles for Product Identification,1.0
10310,"Except as otherwise provided in this Code, where fire alarm, standpipe and sprinkler systems are provided, they shall be designed and installed in conformance with the NBC. (See Note A-2.1.3.1.(1).)","Except as otherwise provided in this Code, where fire alarm, standpipe and sprinkler systems are provided, they shall be designed and installed in conformance with the NBC. (See Note A-2.1.3.1.(1).)",1.0
4824,"In a building that contains dwelling units that have more than one storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 1 h but need not be constructed as fire separations.","In a building that contains dwelling units that have more than one storey, subject to the requirements of Sentence 3.3.4.2.(3), the floor assemblies, including floors over basements, which are entirely contained within these dwelling units, shall have a fire-resistance rating not less than 1 h but need not be constructed as fire separations.",1.0
11442,"Low pressure storage tanks shall be constructed in conformance with API 620-2013 Design and Construction of Large, Welded, Low-Pressure Storage Tanks or ASME BPVC-2017 Boiler and Pressure Vessel Code","Low pressure storage tanks shall be constructed in conformance with API 620-2013 Design and Construction of Large, Welded, Low-Pressure Storage Tanks or ASME BPVC-2017 Boiler and Pressure Vessel Code",1.0
