Full Index,National Full,National in BC,Similarity
10872,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)APIAmerican Petroleum Institute (www.api.org)ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) CCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFACanadian Fuels Association (canadianfuels.ca)CGACompressed Gas Association (www.cganet.com)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng)CSACSA Group (www.csagroup.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FM GlobalFM Global (www.fmglobal.com)HCHealth Canada (www.hc-sc.gc.ca)IMOInternational Maritime Organization (www.imo.org)NACENACE International (www.nace.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)OCIMFOil Companies International Marine Forum (www.ocimf.com)SFPESociety of Fire Protection Engineers (www.sfpe.org)STISteel Tank Institute (www.steeltank.com)TCTransport Canada (www.tc.gc.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)UNUnited Nations (www.un.org)","The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)APIAmerican Petroleum Institute (www.api.org)ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) CCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFACanadian Fuels Association (canadianfuels.ca)CGACompressed Gas Association (www.cganet.com)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng)CSACSA Group (www.csagroup.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FM GlobalFM Global (www.fmglobal.com)HCHealth Canada (www.hc-sc.gc.ca)IMOInternational Maritime Organization (www.imo.org)NACENACE International (www.nace.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)OCIMFOil Companies International Marine Forum (www.ocimf.com)SFPESociety of Fire Protection Engineers (www.sfpe.org)STISteel Tank Institute (www.steeltank.com)TCTransport Canada (www.tc.gc.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)UNUnited Nations (www.un.org)",1.0
4546,Only the active leaf in a multiple-leaf door in a barrier-free path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple-leaf door in a barrier-free path of travel need conform to the requirements of this Article.,1.0
2108,Floor assemblies contained within dwelling units and within houses with a secondary suite need not be constructed as fire separations.,Floor assemblies contained within dwelling units and within houses with a secondary suite need not be constructed as fire separations.,1.0
9870,"There shall be at least one staff member for each 10 children 2 years of age and older and, where children under the age of 2 years are cared for, there shall be at least one additional staff member for every 5 such children.","There shall be at least one staff member for each 10 children 2 years of age and older and, where children under the age of 2 years are cared for, there shall be at least one additional staff member for every 5 such children.",1.0
1760,Other fenestration assemblies and their components shall be designed and constructed in accordance with Article 5.1.4.1. (See Note A-5.9.3.2.(1).),Other fenestration assemblies and their components shall be designed and constructed in accordance with Article 5.1.4.1. (See Note A-5.9.3.2.(1).),1.0
5483,"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.","Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.",1.0
3686,"The deflections referred to in Sentence 4.1.8.1.(10) shall be used to calculate the largest interstorey deflection, which shall not exceed 0.01hs for post-disaster buildings, 0.02hs for High Importance Category buildings, and 0.025hs for all other buildings,","The deflections referred to in Sentence 4.1.8.1.(10) shall be used to calculate the largest interstorey deflection, which shall not exceed 0.01hs for post-disaster buildings, 0.02hs for High Importance Category buildings, and 0.025hs for all other buildings,",1.0
412,"The outdoor air quality conditions of the local area of the building site to be used in designing ventilation systems shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of Sentence 6.3.2.14.(2). (See Note A-6.2.1.2.(3).)","The outdoor air quality conditions of the local area of the building site to be used in designing ventilation systems shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the requirements of Sentence 6.3.2.14.(2). (See Note A-6.2.1.2.(3).)",1.0
572,"For the purpose of this Section, the term ""self-service storage building"" shall mean a building that is open to the public for the sole purpose of providing individual self-service storage units.","For the purpose of this Section, the term ""self-service storage building"" shall mean a building that is open to the public for the sole purpose of providing individual self-service storage units.",1.0
3684,Exit stairs serving a single dwelling unit or a house with a secondary suite including their common spaces shall have a width of not less than 860 mm.,Exit stairs serving a single dwelling unit or a house with a secondary suite including their common spaces shall have a width of not less than 860 mm.,1.0
