Full Index,National Full,National in ON,Similarity
384,"The building referred to in Sentence 3.2.2.71.(1) is permitted to be of heavy timber construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.","The building referred to in Sentence 3.2.2.71.(1) is permitted to be of heavy timber construction or noncombustible construction used singly or in combination, and floor assemblies shall be fire separations with a fire-resistance rating not less than 45 min, and loadbearing walls, columns and arches shall have a fire-resistance rating not less than that required for the supported assembly.",1.0
5373,This Section applies to the plumbing facilities and plumbing systems within dwelling units.,This Section applies to the plumbing facilities and plumbing systems within dwelling units.,1.0
12454,"Pressurized vestibules shall be tested in different seasons by a pressure sensor or by tracer smoke at intervals not greater than 2 years and after any alteration to the building, to ensure that movement of air is from the vestibules to the floor areas on all storeys.","Pressurized vestibules shall be tested in different seasons by a pressure sensor or tracer smoke at intervals not greater than 2 years and after any alteration to the building, to ensure that the movement of air is from the vestibules to adjacent floor areas on all storeys.",1.0
12918,"The minimum distance between any 2 storage tanks, neither of which has a capacity of more than 250 000 L, shall be 1 m.","The minimum distance between any 2 storage tanks, neither of which has a capacity of more than 250 000 L, shall be 1 m.",1.0
12462,Hydraulic transfer systems referred to in Sentence 4.5.9.5.(1) shall be designed to prevent water pressure in excess of the design pressure of the tank or piping.,Hydraulic transfer systems referred to in Sentence 4.5.9.5.(1) shall be designed to prevent water pressure in excess of the design pressure of the tank or piping.,1.0
3252,"Where buildings conforming to Sentence 3.2.2.50.(2) include non-contiguous roof assemblies at different elevations, the roof assemblies are permitted to be evaluated separately to determine which ones are required to be constructed in accordance with Clause 3.2.2.50.(2)(c).","Where buildings conforming to Sentence 3.2.2.50.(2) include non-contiguous roof assemblies at different elevations, the roof assemblies are permitted to be evaluated separately to determine which ones are required to be constructed in accordance with Clause 3.2.2.50.(2)(c).",1.0
12920,"The storage of dangerous goods in quantities exceeding the maximum exempted amounts stated in Table 3.2.7.1., in a single individual storage area, shall conform to this Subsection.","The storage of dangerous goods in quantities exceeding the maximum exempted amounts stated in Table 3.2.7.1., in a single individual storage area, shall conform to this Subsection.",1.0
9404,"A SWH system shall be deemed to comply with Section 6.3. if its SWH trade-off index, SWH-TOI, as calculated in accordance with Subsection 6.3.2., is greater than or equal to 0.","A SWH system shall be deemed to comply with Section 6.3. if its SWH trade-off index, SWH-TOI, as calculated in accordance with Subsection 6.3.2., is greater than or equal to 0.",1.0
12770,Piping referred to in Sentence 4.5.6.8.(1) shall be provided with inside and outside shut-off valves.,Piping referred to in Sentence 4.5.6.8.(1) shall be provided with inside and outside shut-off valves.,1.0
2450,Plywood cladding shall be exterior type conforming to HPVA ANSI/HPVA HP-1-2009 Hardwood and Decorative Plywood CSA O121-08 Douglas Fir Plywood CSA O151-09 Canadian Softwood Plywood or CSA O153-13 Poplar Plywood,Plywood cladding shall be exterior type conforming to HPVA ANSI/HPVA HP-1-2009 Hardwood and Decorative Plywood CSA O121-08 Douglas Fir Plywood CSA O151-09 Canadian Softwood Plywood or CSA O153-13 Poplar Plywood,1.0
9408,"Where applicable, the energy modeling of secondary systems shall account for temperature rise of supply air due to heat from supply fan, temperature rise of return air due to heat from return fan, temperature rise of return air due to heat gain from lights, fan power as a function of supply airflow, temperature and humidity rise or drop of supply or return air due to heat (sensible and latent transferred from a heat-recovery device, and temperature rise of the outside air due to preheaters.","Where applicable, the energy modeling of secondary systems shall account for temperature rise of supply air due to heat from supply fan, temperature rise of return air due to heat from return fan, temperature rise of return air due to heat gain from lights, fan power as a function of supply airflow, temperature and humidity rise or drop of supply or return air due to heat (sensible and latent transferred from a heat-recovery device, and temperature rise of the outside air due to preheaters.",1.0
2449,"The protection provided by the second plane of protection shall be maintained at wall penetrations created by the installation of components and services such as windows, doors, ventilation ducts, piping, wiring and electrical outlets, and at the interface with other wall assemblies.","The protection provided by the second plane of protection shall be maintained at wall penetrations created by the installation of components and services such as windows, doors, ventilation ducts, piping, wiring and electrical outlets, and at the interface with other wall assemblies.",1.0
6007,"Where stair flights or ramps of different widths adjoin a single landing, the minimum width of the landing shall be where one or more of the stair or ramp widths do not exceed their respective required widths, not less than the greater required stair or ramp width, or where all of the widths of the stairs or ramps exceed their respective required widths, not less than the lesser actual stair or ramp width.","Where stair flights or ramps of different widths adjoin a single landing, the minimum width of the landing shall be where one or more of the stair or ramp widths do not exceed their respective required widths, not less than the greater required stair or ramp width, or where all of the widths of the stairs or ramps exceed their respective required widths, not less than the lesser actual stair or ramp width.",1.0
13516,"Where a prefabricated system is assembled off the building site in such a manner that it cannot be inspected and tested on site, off-site inspections and tests shall be conducted.","Where a prefabricated system is assembled off the building site in such a manner that it cannot be inspected and tested on site, off-site inspections and tests shall be conducted.",1.0
3735,"Stucco shall be applied with at least 2 base coats and one finish coat, providing a total thickness of not less than 15 mm, measured from the face of the lath or the face of the masonry where no lath is used.","Stucco shall be applied with at least 2 base coats and one finish coat, providing a total thickness of not less than 15 mm, measured from the face of the lath or the face of the masonry where no lath is used.",1.0
525,"Except as permitted by Sentence 3.2.3.19.(3), a walkway connected to a building required to be of noncombustible construction shall also be of noncombustible construction.","Except as permitted by Sentence 3.2.3.19.(3), a walkway connected to a building required to be of noncombustible construction shall also be of noncombustible construction.",1.0
12433,"Where it is impracticable to remove tanks, piping or machinery reservoirs from the building prior to demolition, such equipment shall be conspicuously identified and removed as soon as conditions permit.","Where it is impracticable to remove tanks, piping or machinery reservoirs from the building prior to demolition, such equipment shall be conspicuously identified and removed as soon as conditions permit.",1.0
13028,Smoking shall not be permitted in a laboratory and signs shall be posted in conformance with Article 2.4.2.2.,Smoking shall not be permitted in a laboratory and signs shall be posted in conformance with Article 2.4.2.2.,1.0
14325,"Every oil interceptor shall be provided with 2 vent pipes that connect to the interceptor at opposite ends, extend independently to outside air, and terminate not less than 2 m above ground and at elevations differing by at least 300 mm.","Every oil interceptor shall be provided with 2 vent pipes that connect to the interceptor at opposite ends, extend independently to outside air, and terminate not less than 2 m above ground and at elevations differing by at least 300 mm.",1.0
13729,"A soil-or-waste pipe is permitted to serve as a wet vent, provided the hydraulic load is in accordance with Table 2.5.8.1., the number of wet-vented water closets does not exceed 2, where 2 water closets are installed, they are connected at the same level by means of a double sanitary T fitting if the vent pipe is vertical and by means of a double Y fitting if the vent pipe is horizontal, the water closets are installed downstream of all other fixtures, trap arms and fixture drains connected to the wet vent do not exceed 2 inches in size, except for connections from emergency floor drains in accordance with Sentence 2.5.1.1.(3), the total hydraulic load on the wet vent does not exceed the limits stated in Table 2.5.8.1. when separately vented branches or fixture drains in the same storey, having a total hydraulic load not greater than 2 fixture units, are connected to the wet vent or a wet-vented water closet trap arm, the hydraulic load of separately vented fixtures that drain into the wet vent are not included when sizing the continuous vent that serves the wet vent, where a wet vent extends through more than one storey, the total discharge from any one storey above the first storey does not exceed 4 fixture units, there is not more than one nominally horizontal offset in the wet vent, and the offset does not exceed 1.2 m for pipes 2 inches or less in size, or the offset does not exceed 2.5 m for pipes larger than 2 inches in size, the wet-vented portion is not reduced in size except for the portion that is upstream of emergency floor drains in accordance with Sentence 2.5.1.1.(3), and the length of the wet vent is not limited.","A soil-or-waste pipe is permitted to serve as a wet vent, provided the hydraulic load is in accordance with Table 2.5.8.1., the number of wet-vented water closets does not exceed 2, where 2 water closets are installed, they are connected at the same level by means of a double sanitary T fitting if the vent pipe is vertical and by means of a double Y fitting if the vent pipe is horizontal, the water closets are installed downstream of all other fixtures, trap arms and fixture drains connected to the wet vent do not exceed 2 inches in size, except for connections from emergency floor drains in accordance with Sentence 2.5.1.1.(3), the total hydraulic load on the wet vent does not exceed the limits stated in Table 2.5.8.1. when separately vented branches or fixture drains in the same storey, having a total hydraulic load not greater than 2 fixture units, are connected to the wet vent or a wet-vented water closet trap arm, the hydraulic load of separately vented fixtures that drain into the wet vent are not included when sizing the continuous vent that serves the wet vent, where a wet vent extends through more than one storey, the total discharge from any one storey above the first storey does not exceed 4 fixture units, there is not more than one nominally horizontal offset in the wet vent, and the offset does not exceed 1.2 m for pipes 2 inches or less in size, or the offset does not exceed 2.5 m for pipes larger than 2 inches in size, the wet-vented portion is not reduced in size except for the portion that is upstream of emergency floor drains in accordance with Sentence 2.5.1.1.(3), and the length of the wet vent is not limited.",1.0
13728,A cleanout shall be provided to permit the cleaning of the piping downstream of an interceptor.,A cleanout shall be provided to permit the cleaning of the piping downstream of an interceptor.,1.0
3250,"If a storey is sprinklered throughout, no fire-resistance rating is required for a fire separation between a public corridor and the remainder of the storey, provided the corridor does not serve a care, treatment or detention occupancy or a residential occupancy. (See Note A-3.1.8.1.(1)(b).)","If a storey is sprinklered throughout, no fire-resistance rating is required for a fire separation between a public corridor and the remainder of the storey, provided the corridor does not serve a care, treatment or detention occupancy or a residential occupancy. (See Note A-3.1.8.1.(1)(b).)",1.0
3247,"Where water, snow or ice can accumulate on a building, provision shall be made to minimize the likelihood of hazardous conditions arising from such accumulation.","Where water, snow or ice can accumulate on a building, provision shall be made to minimize the likelihood of hazardous conditions arising from such accumulation.",1.0
3231,"The maximum aggregate area of unprotected openings in an exposing building face of a storey that faces a street and is at the same level as the street need not comply with Sentence 9.10.14.4.(1), where the limiting distance is not less than 9 m.","The maximum aggregate area of unprotected openings in an exposing building face of a storey that faces a street and is at the same level as the street need not comply with Sentence 9.10.14.4.(1), where the limiting distance is not less than 9 m.",1.0
12434,"The design and installation of the piping system permitting, the piping system's contents shall be drained prior to conducting the pressure decline test procedure.","The design and installation of the piping system permitting, the piping system's contents shall be drained prior to conducting the pressure decline test procedure.",1.0
1038,Intake openings shall be located so as to avoid contamination of the ventilation air from other local sources such as automobile exhaust and exhaust from the building or adjacent buildings.,Intake openings shall be located so as to avoid contamination of the ventilation air from other local sources such as automobile exhaust and exhaust from the building or adjacent buildings.,1.0
12442,Products covered in this Section shall not be stored beneath electrical power lines.,Products covered in this Section shall not be stored beneath electrical power lines.,1.0
14112,"Except for lavatories in health care facilities, emergency eye washes, and emergency showers, supply fittings and individual shower heads shall have an integral means of limiting the maximum water flow rate to that specified in Table 2.2.10.6. (See Note A-2.2.10.6.(2).)","Except for lavatories in health care facilities, emergency eye washes, and emergency showers, supply fittings and individual shower heads shall have an integral means of limiting the maximum water flow rate to that specified in Table 2.2.10.6. (See Note A-2.2.10.6.(2).)",1.0
1044,"Compliance with Sentence 9.26.1.2.(1) shall be demonstrated by conforming to the remainder of this Section, or Part 5.","Compliance with Sentence 9.26.1.2.(1) shall be demonstrated by conforming to the remainder of this Section, or Part 5.",1.0
14114,Neutralizing and dilution tanks shall have a method for neutralizing the liquid.,Neutralizing and dilution tanks shall have a method for neutralizing the liquid.,1.0
13029,Provision shall be made to prevent spillage resulting from the disconnection of hoses.,Provision shall be made to prevent spillage resulting from the disconnection of hoses.,1.0
12423,Operating pressures shall be controlled by a constant-level float valve or a pressure-regulating valve on the water supply side of the hydraulic transfer system referred to in Sentence 4.5.9.5.(1).,Operating pressures shall be controlled by a constant-level float valve or a pressure-regulating valve on the water supply side of the hydraulic transfer system referred to in Sentence 4.5.9.5.(1).,1.0
6398,"Variations are permitted in riser height provided the height of adjacent risers does not vary by more than 6 mm, and the width of a tread or a platform in the direction of travel is not less than 430 mm.","Variations are permitted in riser height provided the height of adjacent risers does not vary by more than 6 mm, and the width of a tread or a platform in the direction of travel is not less than 430 mm.",1.0
1043,"Where a fuel-burning appliance is installed in a service room that is not in a suite of residential occupancy, a CO alarm shall be installed either inside each bedroom, or if outside, within 5 m of each bedroom door, measured following corridors and doorways, in every suite of residential occupancy that shares a wall or floor/ceiling assembly with the service room, and in the service room.","Where a fuel-burning appliance is installed in a service room that is not in a suite of residential occupancy, a CO alarm shall be installed either inside each bedroom, or if outside, within 5 m of each bedroom door, measured following corridors and doorways, in every suite of residential occupancy that shares a wall or floor/ceiling assembly with the service room, and in the service room.",1.0
12922,This Subsection applies to the storage and handling of flammable liquids and combustible liquids in self-service storage buildings within the scope of Section 3.9. of Division B of the NBC.,This Subsection applies to the storage and handling of flammable liquids and combustible liquids in self-service storage buildings within the scope of Section 3.9. of Division B of the NBC.,1.0
14233,"Except as provided in Sentences 2.2.5.11.(3) and 2.2.5.11.(4), PE/AL/PE pipe and fittings shall not be used in hot water systems.","Except as provided in Sentences 2.2.5.11.(3) and 2.2.5.11.(4), PE/AL/PE pipe and fittings shall not be used in hot water systems.",1.0
6397,All tapered treads within a flight shall turn in the same direction.,All tapered treads within a flight shall turn in the same direction.,1.0
6396,"For the purpose of using Table 9.10.14.4.-A to determine the maximum aggregate area of unprotected openings in an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no unprotected openings between the vertical plane and the line to which the limiting distance is measured. (See Note A-3.2.3.1.(4).)","For the purpose of using Table 9.10.14.4.-A to determine the maximum aggregate area of unprotected openings in an irregularly shaped or skewed exterior wall, the location of the exposing building face shall be taken as a vertical plane located so that there are no unprotected openings between the vertical plane and the line to which the limiting distance is measured. (See Note A-3.2.3.1.(4).)",1.0
14115,Individual vents and dual vents are permitted to terminate with a connection to an air admittance valve as provided in Articles 2.5.9.2. and 2.5.9.3. (See also Sentence 2.2.10.16.(1).),Individual vents and dual vents are permitted to terminate with a connection to an air admittance valve as provided in Articles 2.5.9.2. and 2.5.9.3. (See also Sentence 2.2.10.16.(1).),1.0
12424,"Dispensers at marine fuel-dispensing stations shall be in a location that will prevent watercraft or floatplane impact, or other physical damage.","Dispensers at marine fuel-dispensing stations shall be in a location that will prevent watercraft or floatplane impact, or other physical damage.",1.0
12425,Atmospheric and low pressure storage tanks shall be provided with normal and emergency venting in conformance with API 2000-2009 Venting Atmospheric and Low-Pressure Storage Tanks or the tank design standards listed in Sentence 4.3.1.2.(1).,Atmospheric and low pressure storage tanks shall be provided with normal and emergency venting in conformance with API 2000-2009 Venting Atmospheric and Low-Pressure Storage Tanks or the tank design standards listed in Sentence 4.3.1.2.(1).,1.0
14109,"Except as provided in Sentence 2.5.4.2.(2), every soil-or-waste stack draining fixtures from more than 4 storeys that contain plumbing fixtures shall have a vent stack.","Except as provided in Sentence 2.5.4.2.(2), every soil-or-waste stack draining fixtures from more than 4 storeys that contain plumbing fixtures shall have a vent stack.",1.0
