Full Index,National Full,National in SK,Similarity
10745,"The quantity of dangerous goods kept in a laboratory shall be minimized and shall not exceed the lesser of the supply necessary for normal operation, or when located in a Group A, Division 2 educational or a Group D major occupancy, 300 L of flammable liquids and combustible liquids, of which not more than 50 L shall be Class I liquids, or a Group B major occupancy, the quantities of flammable liquids and combustible liquids permitted in Sentence 4.2.6.3.(1). (See Note A-5.5.5.1.(1).)","The quantity of dangerous goods kept in a laboratory shall be minimized and shall not exceed the lesser of the supply necessary for normal operation, or when located in a Group A, Division 2 educational or a Group D major occupancy, 300 L of flammable liquids and combustible liquids, of which not more than 50 L shall be Class I liquids, or a Group B major occupancy, the quantities of flammable liquids and combustible liquids permitted in Sentence 4.2.6.3.(1). (See Note A-5.5.5.1.(1).)",1.0
10161,"Not more than 30 L of flammable liquids and combustible liquids, of which not more than 10 L shall be Class I liquids, are permitted to be stored in each dwelling unit. (See Sentence 4.1.1.1.(3) for oil-burning appliances.)","Not more than 30 L of flammable liquids and combustible liquids, of which not more than 10 L shall be Class I liquids, are permitted to be stored in each dwelling unit. (See Sentence 4.1.1.1.(3) for oil-burning appliances.)",1.0
13563,"Where a fixture or equipment discharges sewage or waste that may damage or impair the sanitary drainage system or the functioning of a public or private sewage disposal system, provision shall be made for treatment of the sewage or waste before it is discharged to the sanitary drainage system.","Where a fixture or equipment discharges sewage or waste that may damage or impair the sanitary drainage system or the functioning of a public or private sewage disposal system, provision shall be made for treatment of the sewage or waste before it is discharged to the sanitary drainage system.",1.0
4327,"This Article applies to every building that contains a residential occupancy and that also contains a fuel-burning appliance, or a storage garage.","This Article applies to every building that contains a residential occupancy and that also contains a fuel-burning appliance, or a storage garage.",1.0
13681,"Except as provided in Subsection 2.7.4., every sanitary drainage system shall be connected to a public sanitary sewer, a public combined sewer or a private sewage disposal system.","Except as provided in Subsection 2.7.4., every sanitary drainage system shall be connected to a public sanitary sewer, a public combined sewer or a private sewage disposal system.",1.0
11510,"Except as provided in Sentence 2.8.3.2.(2), fire drills as described in Sentence 2.8.3.1.(1) shall be held at intervals not greater than 12 months for the supervisory staff, except that in day-care centres and in Group B major occupancies, such drills shall be held at intervals not greater than one month, in schools attended by children, total evacuation fire drills shall be held at least 3 times in each of the fall and spring school terms, and in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, such drills shall be held at intervals not greater than 2 months.","Except as provided in Sentence 2.8.3.2.(2), fire drills as described in Sentence 2.8.3.1.(1) shall be held at intervals not greater than 12 months for the supervisory staff, except that in day-care centres and in Group B major occupancies, such drills shall be held at intervals not greater than one month, in schools attended by children, total evacuation fire drills shall be held at least 3 times in each of the fall and spring school terms, and in buildings within the scope of Subsection 3.2.6. of Division B of the NBC, such drills shall be held at intervals not greater than 2 months.",1.0
177,A door equipped with a latching mechanism in an access to exit from a room or suite of assembly occupancy containing an occupant load more than 100 shall be equipped with a device that will release the latch and allow the door to swing wide open when a force not more than that specified in Sentence 3.8.3.6.(8) is applied to the device in the direction of travel to the exit.,A door equipped with a latching mechanism in an access to exit from a room or suite of assembly occupancy containing an occupant load more than 100 shall be equipped with a device that will release the latch and allow the door to swing wide open when a force not more than that specified in Sentence 3.8.3.6.(8) is applied to the device in the direction of travel to the exit.,1.0
8341,"If one or more elevators are provided in a building, all storeys shall be served by at least one elevator which has inside dimensions that will accommodate and provide adequate access for a patient stretcher 2 010 mm long and 610 mm wide in the prone position. (See Note A-3.5.4.1.(1).) (See Note A-3.5.4.1.(1).)","If one or more elevators are provided in a building, all storeys shall be served by at least one elevator which has inside dimensions that will accommodate and provide adequate access for a patient stretcher 2 010 mm long and 610 mm wide in the prone position. (See Note A-3.5.4.1.(1).)",1.0
481,"Where a fuel-burning appliance is installed in a suite of residential occupancy or in a suite of care occupancy, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.","Where a fuel-burning appliance is installed in a suite of residential occupancy or in a suite of care occupancy, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.",1.0
3539,"If a door is equipped with a latching mechanism, a device that will release the latch and allow the door to swing wide open when a force of not more than 90 N is applied to the device in the direction of travel to the exit shall be installed on every exit door from a floor area containing an assembly occupancy having an occupant load more than 100, every door leading to an exit lobby from an exit stair shaft, and every exterior door leading from an exit stair shaft in a building having an occupant load more than 100, and every exit door from a floor area containing a high-hazard industrial occupancy.","If a door is equipped with a latching mechanism, a device that will release the latch and allow the door to swing wide open when a force of not more than 90 N is applied to the device in the direction of travel to the exit shall be installed on every exit door from a floor area containing an assembly occupancy having an occupant load more than 100, every door leading to an exit lobby from an exit stair shaft, and every exterior door leading from an exit stair shaft in a building having an occupant load more than 100, and every exit door from a floor area containing a high-hazard industrial occupancy.",1.0
3532,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.","Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.",1.0
6395,"This Article applies to every building that contains a residential occupancy, a care occupancy with individual suites, or a care occupancy containing sleeping rooms not within a suite, and that also contains a fuel-burning appliance, or a storage garage.","This Article applies to every building that contains a residential occupancy, a care occupancy with individual suites, or a care occupancy containing sleeping rooms not within a suite, and that also contains a fuel-burning appliance, or a storage garage.",1.0
13256,"This Subsection shall apply to the storage and handling of flammable liquids and combustible liquids in buildings classified as assembly or residential occupancies, except that it shall not apply to nonresidential schools, universities or colleges covered in Subsection 4.2.6.","This Subsection shall apply to the storage and handling of flammable liquids and combustible liquids in buildings classified as assembly or residential occupancies, except that it shall not apply to nonresidential schools, universities or colleges covered in Subsection 4.2.6.",1.0
