Full Index,AB Full,AB Variations,Similarity
167,"Except for the requirements of Sentences 7.2.6.3.(2) and 7.2.6.3.(3), a wading pool shall be constructed in accordance with the remainder of this Section.","Except for the requirements of Sentences 7.2.6.3.(2) and 7.2.6.3.(3), a wading pool shall be constructed in accordance with the remainder of this Section.",1.0
5827,"Threaded firefighting hose couplings and fittings shall have threads that are 38 mm Straight Iron Pipe Thread (S.I.P.T.) on 38 mm couplings, or 3.15 threads per cm with a major thread diameter between 75.95 mm and 75.69 mm for male threads and 76.45 mm for female threads on 65 mm hose couplings and hydrant connections.","Threaded firefighting hose couplings and fittings shall have threads that are 38 mm Straight Iron Pipe Thread (S.I.P.T.) on 38 mm couplings, or 3.15 threads per cm with a major thread diameter between 75.95 mm and 75.69 mm for male threads and 76.45 mm for female threads on 65 mm hose couplings and hydrant connections.",1.0
4647,A receiving pool shall have a deck area on not less than three sides.,A receiving pool shall have a deck area on not less than three sides.,1.0
261,Portable fire extinguishers shall be provided and installed in conformance with the NFC(AE).,Portable fire extinguishers shall be provided and installed in conformance with the NFC(AE).,1.0
4648,Ramps shall comply with the requirements of Article 3.8.3.5.,Ramps shall comply with the requirements of Article 3.8.3.5.,1.0
6436,"Where flammable liquids or combustible liquids are present, electrical equipment shall conform to CSA C22.1-18 Canadian Electrical Code, Part I for hazardous locations. (See Notes A-4.1.4.1.(1)and A-5.1.2.1.(1).)","Where flammable liquids or combustible liquids are present, electrical equipment shall conform to CSA C22.1-18 Canadian Electrical Code, Part I for hazardous locations. (See Notes A-4.1.4.1.(1)and A-5.1.2.1.(1).)",1.0
4649,"For the purpose of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 7.5.1.1. (See Note A-1.1.2.1.(1).)","For the purpose of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 7.5.1.1. (See Note A-1.1.2.1.(1).)",1.0
2170,The distance between the side of a water slide flume discharge and a receiving pool side wall shall be not less than 1.5 m.,The distance between the side of a water slide flume discharge and a receiving pool side wall shall be not less than 1.5 m.,1.0
2482,An illuminated exit sign shall be installed at each exit location serving a building having an occupant load more than 20.,An illuminated exit sign shall be installed at each exit location serving a building having an occupant load more than 20.,1.0
5817,"The person in charge of a building classified as a Group B, Division 2 occupancy shall appoint a fire marshal.","The person in charge of a building classified as a Group B, Division 2 occupancy shall appoint a fire marshal.",1.0
6172,"To ensure proper operation, monthly inspections and tests shall be made of all safety shut-off valves and other fire safety devices, with particular attention directed to normally open, fusible-link-operated valves, float valves and automatic controls.","To ensure proper operation, monthly inspections and tests shall be made of all safety shut-off valves and other fire safety devices, with particular attention directed to normally open, fusible-link-operated valves, float valves and automatic controls.",1.0
4282,"Where storage tanks for service water heaters are of steel, they shall be coated with zinc, vitreous enamel (glass lined), hydraulic cement or other corrosion-resistant material.","Where storage tanks for service water heaters are of steel, they shall be coated with zinc, vitreous enamel (glass lined), hydraulic cement or other corrosion-resistant material.",1.0
2503,One or more thermometers shall be inserted in the piping system.,One or more thermometers shall be inserted in the piping system.,1.0
2502,"A building with sleeping accommodation shall be provided with water closets on the basis of 1 unit for every 5 persons or part thereof up to 15 persons and 1 unit for every 15 persons or part thereof in excess of 15 persons, lavatories on the basis of 1 unit for every 5 persons or part thereof, showers or bathtubs on the basis of 1 unit for every 11 persons or part thereof, urinals in washrooms for males on the basis of 1 unit for every 25 persons or part thereof, and laundry facilities.","A building with sleeping accommodation shall be provided with water closets on the basis of 1 unit for every 5 persons or part thereof up to 15 persons and 1 unit for every 15 persons or part thereof in excess of 15 persons, lavatories on the basis of 1 unit for every 5 persons or part thereof, showers or bathtubs on the basis of 1 unit for every 11 persons or part thereof, urinals in washrooms for males on the basis of 1 unit for every 25 persons or part thereof, and laundry facilities.",1.0
