Full Index,BC Full,BC Variations,Similarity
10799,"Except for basements serving not more than one dwelling unit, each unsprinklered basement exceeding 25 m in length or width shall be provided with direct access to the outdoors to at least one street.","Except for basements serving not more than one dwelling unit, each unsprinklered basement exceeding 25 m in length or width shall be provided with direct access to the outdoors to at least one street.",1.0
11578,"Smoke alarms conforming to shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.","Smoke alarms conforming to shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.",1.0
7850,"Where a crawl space is heated other than by a ducted forced-air heating system, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille, and the principal ventilation system by a supply air outlet or an exhaust air inlet, be connected to the floor space above the crawl space by at least 2 air-transfer grilles for every 30 m2 of crawl space area, or be connected to the floor space above the crawl space by at least one air-transfer grille, and the outdoors by a dedicated exhaust fan that complies with Sentence (4).","Where a crawl space is heated other than by a ducted forced-air heating system, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille, and the principal ventilation system by a supply air outlet or an exhaust air inlet, be connected to the floor space above the crawl space by at least 2 air-transfer grilles for every 30 m2 of crawl space area, or be connected to the floor space above the crawl space by at least one air-transfer grille, and the outdoors by a dedicated exhaust fan that complies with Sentence (4).",1.0
10776,"Exit doors need not conform to Sentence (1), where they serve storage garages serving not more than one dwelling unit, they serve accessory buildings serving not more than one dwelling unit, reserved, or reserved.","Exit doors need not conform to Sentence (1), where they serve storage garages serving not more than one dwelling unit, they serve accessory buildings serving not more than one dwelling unit, reserved, or reserved.",1.0
9180,The supply fan as required in Sentence (2) shall be interconnected with the exhaust fan for which make-up air is required.,The supply fan as required in Sentence (2) shall be interconnected with the exhaust fan for which make-up air is required.,1.0
11434,"All flooring in storage areas shall be constructed of noncombustible materials, as stated in Sentence 3.3.6.6.(5) of Division B of the British Columbia Building Code.","All flooring in storage areas shall be constructed of noncombustible materials, as stated in Sentence 3.3.6.6.(5) of Division B of the British Columbia Building Code.",1.0
11635,Nozzles for standpipe and hose systems shall conform to Sentence 3.2.5.11.(7) of Division B of the British Columbia Building Code.,Nozzles for standpipe and hose systems shall conform to Sentence 3.2.5.11.(7) of Division B of the British Columbia Building Code.,1.0
9178,No fire-resistance rating is required for floors of exterior passageways serving a single dwelling unit where no suite is located above or below the dwelling unit.,No fire-resistance rating is required for floors of exterior passageways serving a single dwelling unit where no suite is located above or below the dwelling unit.,1.0
8942,"Except as required in Article 9.10.9.14. and as permitted by Sentences (2) and (3), a suite shall be separated from adjoining suites by a fire separation having a fire-resistance rating of not less than 45 min.","Except as required in Article 9.10.9.14. and as permitted by Sentences (2) and (3), a suite shall be separated from adjoining suites by a fire separation having a fire-resistance rating of not less than 45 min.",1.0
8186,Landings for exterior stairs serving both suites in a building containing a secondary suite need not exceed 900 mm in length.,Landings for exterior stairs serving both suites in a building containing a secondary suite need not exceed 900 mm in length.,1.0
7236,"Service water heaters shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the Book II (Plumbing of this Code.","Service water heaters shall conform to appropriate provincial or territorial requirements or, in the absence of such requirements, to the Book II (Plumbing of this Code.",1.0
11143,"A mechanical ventilation system shall include: a principal ventilation fan system that provides supply air in accordance with Article 9.32.3.4., and includes an exhaust fan that conforms with Article 9.32.3.5., the kitchen and bathroom exhaust fans that are required by Article 9.32.3.6., and if the building includes a heated crawl space, the components that are required by Article 9.32.3.7.","A mechanical ventilation system shall include: a principal ventilation fan system that provides supply air in accordance with Article 9.32.3.4., and includes an exhaust fan that conforms with Article 9.32.3.5., the kitchen and bathroom exhaust fans that are required by Article 9.32.3.6., and if the building includes a heated crawl space, the components that are required by Article 9.32.3.7.",1.0
