Full Index,NS Full,NS Variations,Similarity
38398,Floor separations required by Sentence (1) shall be rated in accordance with Articles 8.1.1.3. and 8.1.1.12.,Floor separations required by Sentence (1) shall be rated in accordance with Articles 8.1.1.3. and 8.1.1.12.,1.0
38036,An existing separation of noncombustible material may be approved by a fire official if the fire official is satisfied that it provides protection for fire safety and life safety similar to the protection provided by compliance with Sentence (2).,An existing separation of noncombustible material may be approved by a fire official if the fire official is satisfied that it provides protection for fire safety and life safety similar to the protection provided by compliance with Sentence (2).,1.0
39405,"Despite the requirement in Sentence 8.1.1.12.(1) for fire separations for exits, one of the exits required by Article 8.1.1.8. from a basement or cellar may lead through the first floor area.","Despite the requirement in Sentence 8.1.1.12.(1) for fire separations for exits, one of the exits required by Article 8.1.1.8. from a basement or cellar may lead through the first floor area.",1.0
39467,"This Part applies to boarding houses, lodging houses, rooming houses and private rest homes in which residents do not require care or treatment because of age or physical limitations, where the building height does not exceed 3 storeys and the building area does not exceed 600 m2, lodging is provided for more than 3 persons and is provided in return for remuneration or the provision of services or both, and lodging rooms do not have both bathroom and kitchen facilities for the exclusive use of individual occupants.","This Part applies to boarding houses, lodging houses, rooming houses and private rest homes in which residents do not require care or treatment because of age or physical limitations, where the building height does not exceed 3 storeys and the building area does not exceed 600 m2, lodging is provided for more than 3 persons and is provided in return for remuneration or the provision of services or both, and c) lodging rooms do not have both bathroom and kitchen facilities for the exclusive use of individual occupants.",1.0
39438,Smoke alarms shall be installed in each sleeping area and may be battery-operated.,Smoke alarms shall be installed in each sleeping area and may be battery-operated.,1.0
39457,Every owner of a building shall develop procedures to provide protection to the building if a sprinkler system or part of that system is shut down for more than 6 hours.,Every owner of a building shall develop procedures to provide protection to the building if a sprinkler system or part of that system is shut down for more than 6 hours.,1.0
38790,A floor separation shall be maintained at an exit permitted by Sentence 8.1.1.9.(2).,A floor separation shall be maintained at an exit permitted by Sentence 8.1.1.9.(2).,1.0
39114,Existing wired glass closures shall be deemed to be in compliance with Sentence (1).,Existing wired glass closures shall be deemed to be in compliance with Sentence (1).,1.0
38063,Smoke alarms shall be installed in conformance with Subsection 9.10.18. of the Building Code.,Smoke alarms shall be installed in conformance with Subsection 9.10.18. of the Building Code.,1.0
38201,"Where a fire alarm system is required in a building with sleeping accommodations for less than 14 persons, an existing interconnected smoke alarm system installed in accordance to Subsection 9.10.19. of the Building Code shall be deemed to be in compliance with Sentence (1).","Where a fire alarm system is required in a building with sleeping accommodations for less than 14 persons, an existing interconnected smoke alarm system installed in accordance to Subsection 9.10.19. of the Building Code shall be deemed to be in compliance with Sentence (1).",1.0
