Full Index,ON Full,ON Variations,Similarity
48162,"Where piping passes through or under a wall, it shall be installed so that the wall does not bear on the pipe.","Where piping passes through or under a wall, it shall be installed so that the wall does not bear on the pipe.",1.0
52115,"The minimum distance between any two storage tanks, neither of which has a capacity of more than 250000 L, shall be 1 m.","The minimum distance between any two storage tanks, neither of which has a capacity of more than 250000 L, shall be 1 m.",1.0
52114,Piping shall be properly supported and arranged to prevent excessive vibration or strain on equipment connected to it.,Piping shall be properly supported and arranged to prevent excessive vibration or strain on equipment connected to it.,1.0
48163,The requirements of this Section are in addition to the requirements of other Parts of the Code as they apply to the proposed construction.,The requirements of this Section are in addition to the requirements of other Parts of the Code as they apply to the proposed construction.,1.0
52117,Flanged joints shall be tightly bolted to prevent leakage.,Flanged joints shall be tightly bolted to prevent leakage.,1.0
48158,"Except for an aisle serving bleacher seats, where rows of seats discharge into an aisle, the minimum clear width required by Sentence (5) shall be increased by 25 mm for each metre of length of the aisle measured in the direction towards an exit.","Except for an aisle serving bleacher seats, where rows of seats discharge into an aisle, the minimum clear width required by Sentence (5) shall be increased by 25 mm for each metre of length of the aisle measured in the direction towards an exit.",1.0
47542,"Except as permitted by Sentence (2) and as provided in Sentences (3) and (4), a potable water system shall be protected against backflow where the heat transfer loop of a solar domestic hot water system is directly connected to the potable water system.","Except as permitted by Sentence (2) and as provided in Sentences (3) and (4), a potable water system shall be protected against backflow where the heat transfer loop of a solar domestic hot water system is directly connected to the potable water system.",1.0
46207,Solder-joint fittings for drainage systems shall not be used in a water system.,Solder-joint fittings for drainage systems shall not be used in a water system.,1.0
45611,A camp for housing of workers shall have an area of not less than 3.72 m2 per employee in every room used for sleeping purposes.,A camp for housing of workers shall have an area of not less than 3.72 m2 per employee in every room used for sleeping purposes.,1.0
46219,Glass block that has not been tested in accordance with Article 9.10.3.1. is permitted as a closure in a fire separation required to have a fire-resistance rating of not more than 1 h.,Glass block that has not been tested in accordance with Article 9.10.3.1. is permitted as a closure in a fire separation required to have a fire-resistance rating of not more than 1 h.,1.0
45610,"Where galvanized steel pipe is used in a drainage system, it shall be used with drainage fittings.","Where galvanized steel pipe is used in a drainage system, it shall be used with drainage fittings.",1.0
48166,"Except as provided in Sentence (2) and elsewhere in this Part, materials and components, and their installation, shall conform to the requirements of the applicable standards in Table 5.10.1.1. where those materials or components are,(a) incorporated into environmental separators or assemblies exposed to the exterior, and (b) installed to fulfill the requirements of this Part. (See Appendix A.)","Except as provided in Sentence (2) and elsewhere in this Part, materials and components, and their installation, shall conform to the requirements of the applicable standards in Table 5.10.1.1. where those materials or components are,(a) incorporated into environmental separators or assemblies exposed to the exterior, and (b) installed to fulfill the requirements of this Part. (See Appendix A.)",1.0
44556,All spaces between masonry or concrete chimneys and combustible material shall be sealed top or bottom with noncombustible material.,All spaces between masonry or concrete chimneys and combustible material shall be sealed top or bottom with noncombustible material.,1.0
52118,Pumps located indoors shall be in rooms built in conformance with Subsection 4.2.9.,Pumps located indoors shall be in rooms built in conformance with Subsection 4.2.9.,1.0
48167,"Except as provided in Articles 9.10.11.2. and 9.10.11.4., a party wall on a property line shall be constructed as a firewall.","Except as provided in Articles 9.10.11.2. and 9.10.11.4., a party wall on a property line shall be constructed as a firewall.",1.0
52112,"In mixed storage areas, matches shall be stored in a specific area separated from the remainder of the storage by a clear space of at least 2.4 m.","In mixed storage areas, matches shall be stored in a specific area separated from the remainder of the storage by a clear space of at least 2.4 m.",1.0
48168,The building shall be designed to meet the requirements of this Subsection and of the design standards referenced in Section 4.3.,The building shall be designed to meet the requirements of this Subsection and of the design standards referenced in Section 4.3.,1.0
47265,The building shall be located or the building site graded so that water will not accumulate at or near the building and will not adversely affect adjacent properties.,The building shall be located or the building site graded so that water will not accumulate at or near the building and will not adversely affect adjacent properties.,1.0
52110,Spray booth baffle plates shall not be located in exhaust ducts.,Spray booth baffle plates shall not be located in exhaust ducts.,1.0
48171,"Roofs shall be protected with roofing, including flashing, installed so as to,(a) effectively shed water, (b) prevent the ingress of water and moisture into building assemblies and occupied space, and (c) minimize the ingress of water due to ice damming into building assemblies.","Roofs shall be protected with roofing, including flashing, installed so as to,(a) effectively shed water, (b) prevent the ingress of water and moisture into building assemblies and occupied space, and (c) minimize the ingress of water due to ice damming into building assemblies.",1.0
