Full Index,PE Full,PE Variations,Similarity
56618,Existing swinging doors in their swing are permitted to reduce the effective width of exit stairs and landings to a minimum of 550 mm provided: they serve Group C or D occupancies; the building does not exceed 5 stories in building height; and the building is fully sprinklered.,Existing swinging doors in their swing are permitted to reduce the effective width of exit stairs and landings to a minimum of 550 mm provided: they serve Group C or D occupancies; the building does not exceed 5 stories in building height; and the building is fully sprinklered.,1.0
56440,Up to 10% gross floor area to a maximum of 10% of any one floor area may be of combustible construction provided the building is fully sprinklered.,Up to 10% gross floor area to a maximum of 10% of any one floor area may be of combustible construction provided the building is fully sprinklered.,1.0
57033,Supporting assemblies that use heavy timber construction are permitted to have a fire resistance rating less than would be required by the Code provided the building is fully sprinklered; and does not exceed 5 stories in building height.,Supporting assemblies that use heavy timber construction are permitted to have a fire resistance rating less than would be required by the Code provided the building is fully sprinklered; and does not exceed 5 stories in building height.,1.0
55547,Fire separations are not required to be continuous above the ceiling space where the ceiling space is non-combustible construction; both fire compartments are sprinklered; or the ceiling has a minimum fire resistance rating of 30 minutes.,Fire separations are not required to be continuous above the ceiling space where the ceiling space is non-combustible construction; both fire compartments are sprinklered; or the ceiling has a minimum fire resistance rating of 30 minutes.,1.0
54758,"For existing roofs not covered by a Class A, B or C roofing a manually operated deluge system in accordance with NFPA 13 is permitted.","For existing roofs not covered by a Class A, B or C roofing a manually operated deluge system in accordance with NFPA 13 is permitted.",1.0
54844,"A fire-resistance rating may also be used based on: HUD No. 8 Guideline on Fire Ratings of Archaic Materials and Assemblies. Fire Endurance of Protected Steel Columns and Beams, DBR Technical Paper No. 194. Fire Endurance of Unit Masonry Walls, DBR Technical Paper No. 207. Fire Endurance of Light-Framed and Miscellaneous Assemblies, DBR Technical Paper No. 222.","A fire-resistance rating may also be used based on: HUD No. 8 Guideline on Fire Ratings of Archaic Materials and Assemblies. Fire Endurance of Protected Steel Columns and Beams, DBR Technical Paper No. 194. Fire Endurance of Unit Masonry Walls, DBR Technical Paper No. 207. Fire Endurance of Light-Framed and Miscellaneous Assemblies, DBR Technical Paper No. 222.",1.0
54115,Buildings not exceeding 5 stories in building height may have exits that are separated by a 3/4 h fire separation provided the building is fully sprinklered.,Buildings not exceeding 5 stories in building height may have exits that are separated by a 3/4 h fire separation provided the building is fully sprinklered.,1.0
55842,"egress door from a room is not required to swing in the direction of exit travel provided: the building is fully sprinklered and the sprinkler system is supervised in conformance with Sentence 3.2.4.9.(2), (Part 3, Division B); and the occupant load of the building is maximum 100 people.","egress door from a room is not required to swing in the direction of exit travel provided: the building is fully sprinklered and the sprinkler system is supervised in conformance with Sentence 3.2.4.9.(2), (Part 3, Division B); and the occupant load of the building is maximum 100 people.",1.0
56640,"Existing combustible fire escapes are permitted if the building is permitted to be of combustible construction by Part 3, (Part 3, Division Part 9 (Part 9, Division or by these compliance tables.","Existing combustible fire escapes are permitted if the building is permitted to be of combustible construction by Part 3, (Part 3, Division Part 9 (Part 9, Division or by these compliance tables.",1.0
54518,"Dead-end corridors are permitted to a maximum of 15 m in length in Group D, E, F2 and F3 occupancies provided: the building is fully sprinklered with fast response sprinklers; and smoke detectors are installed in the corridor system.","Dead-end corridors are permitted to a maximum of 15 m in length in Group D, E, F2 and F3 occupancies provided: the building is fully sprinklered with fast response sprinklers; and smoke detectors are installed in the corridor system.",1.0
