Full Index,SK Full,SK Variations,Similarity
65866,"Notwithstanding Clause 3.8.2.8.(2)(a), in a building of residential occupancy, except where dwelling units are intended to be individually controlled by separate owners, at least the greater of one, or 5% of the suites required to be accessible by a barrier-free path of travel shall be barrier-free in conformance with Article 3.8.3.22. (See Article 9.5.2.3.).","Notwithstanding Clause 3.8.2.8.(2)(a), in a building of residential occupancy, except where dwelling units are intended to be individually controlled by separate owners, at least the greater of one, or 5% of the suites required to be accessible by a barrier-free path of travel shall be barrier-free in conformance with Article 3.8.3.22. (See Article 9.5.2.3.).",1.0
69933,"Every exit door, except doors serving a single dwelling unit or a house with a secondary suite, shall be designed and installed so that when the lock or latch is released the door will open in the direction of exit travel under a force of not more than 90 N applied to the door release hardware. (See Sentence 3.8.3.6.(8) for door opening forces in a barrier-free path of travel.)","Every exit door, except doors serving a single dwelling unit or a house with a secondary suite, shall be designed and installed so that when the lock or latch is released the door will open in the direction of exit travel under a force of not more than 90 N applied to the door release hardware. (See Sentence 3.8.3.6.(8) for door opening forces in a barrier-free path of travel.)",1.0
66179,"Kitchen sinks, laundry sinks and other types of sinks shall have faucet handles of the lever type without spring loading, no sharp edges or rough corners, and all exposed pipes 1 200 mm or less above the floor insulated or otherwise protected where they may constitute a burn hazard.","Kitchen sinks, laundry sinks and other types of sinks shall have faucet handles of the lever type without spring loading, no sharp edges or rough corners, and all exposed pipes 1 200 mm or less above the floor insulated or otherwise protected where they may constitute a burn hazard.",1.0
70409,"All references to CSA B108-14 ""Compressed Natural Gas Fuelling Station Installation Code"" will be a reference to the latest edition adopted pursuant to The Gas Inspection Regulations.","All references to CSA B108-14 ""Compressed Natural Gas Fuelling Station Installation Code"" will be a reference to the latest edition adopted pursuant to The Gas Inspection Regulations.",1.0
68355,"For each suite of residential occupancy, suite of care occupancy, treatment occupancy or detention occupancy that shares a wall or floor/ceiling assembly with a storage garage or that is adjacent to an attic or crawl space to which the storage garage is also adjacent, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.","For each suite of residential occupancy, suite of care occupancy, treatment occupancy or detention occupancy that shares a wall or floor/ceiling assembly with a storage garage or that is adjacent to an attic or crawl space to which the storage garage is also adjacent, a CO alarm shall be installed inside each bedroom, or outside each bedroom, within 5 m of each bedroom door, measured following corridors and doorways.",1.0
69718,"Instead of the requirements of Sentence 3.2.5.12.(1), NFPA 13R-2013 Installation of Sprinkler Systems in Low-Rise Residential Occupancies is permitted to be used for the design, construction and installation of an automatic sprinkler system installed in a building of residential occupancy throughout that is not more than 4 storeys in building height and conforms to Articles 3.2.2.47., Article 3.2.2.48., 3.2.2.50., Article 3.2.2.51. or or 3.2.2.54., or is not more than 3 storeys in building height and conforms to Article 9.10.1.3., or in a building of care occupancy provided it contains not more than 2 suites of care occupancy, it has not more than 10 occupants in each suite, and is not more than 3 storeys in building height and conforms to Articles 3.2.2.42. to 3.2.2.46.","Instead of the requirements of Sentence 3.2.5.12.(1), NFPA 13R-2013 Installation of Sprinkler Systems in Low-Rise Residential Occupancies is permitted to be used for the design, construction and installation of an automatic sprinkler system installed in a building of residential occupancy throughout that is not more than 4 storeys in building height and conforms to Articles 3.2.2.47., Article 3.2.2.48., 3.2.2.50., Article 3.2.2.51. or or 3.2.2.54., or is not more than 3 storeys in building height and conforms to Article 9.10.1.3., or in a building of care occupancy provided it contains not more than 2 suites of care occupancy, it has not more than 10 occupants in each suite, and is not more than 3 storeys in building height and conforms to Articles 3.2.2.42. to 3.2.2.46.",1.0
71054,"All references to CSA B149.1-10 ""Natural Gas and Propane Installation Code"" will be a reference to the latest edition adopted pursuant to The Gas Inspection Regulations.","All references to CSA B149.1-10 ""Natural Gas and Propane Installation Code"" will be a reference to the latest edition adopted pursuant to The Gas Inspection Regulations.",1.0
66357,"This Article applies to every building that contains a residential occupancy, a care occupancy with individual suites, a care occupancy containing sleeping rooms not within a suite or an alternative family care home, and that also contains a fuel-burning appliance, or a storage garage.","This Article applies to every building that contains a residential occupancy, a care occupancy with individual suites, a care occupancy containing sleeping rooms not within a suite or an alternative family care home, and that also contains a fuel-burning appliance, or a storage garage.",1.0
68186,"A washroom need not conform to the requirements of Sentence 3.8.2.8.(1) provided it is located within a suite of residential occupancy or a suite of care occupancy except as required in Article 3.8.2.12., other barrier-free washrooms are provided on the same floor area within 45 m, or it is located in an individual suite that is used for a business and personal services occupancy, a mercantile occupancy or an industrial occupancy, less than 500 m2 in area, and completely separated from, and without access to, the remainder of the building.","A washroom need not conform to the requirements of Sentence 3.8.2.8.(1) provided it is located within a suite of residential occupancy or a suite of care occupancy except as required in Article 3.8.2.12., other barrier-free washrooms are provided on the same floor area within 45 m, or it is located in an individual suite that is used for a business and personal services occupancy, a mercantile occupancy or an industrial occupancy, less than 500 m2 in area, and completely separated from, and without access to, the remainder of the building.",1.0
67620,"In washrooms there shall be a floor space of at least 1 500 mm by 1 500 mm with no encroachment other than the water closet, a door that swings outward, unless sufficient room is provided within the washroom to permit the door to be closed without interfering with a wheelchair, slides, or is a solid folding door, a water closet that conforms to Clauses 3.8.3.11.(1)(d) and (e) and Sentence 3.8.3.13.(1), a lavatory that conforms to Article 3.8.3.15., where a bathtub is provided, a bathtub equipped with faucet handles of the lever type without spring loading, a pressure equalizing valve or an automatic thermostatic mixing valve controlled by a lever or other device operable with a closed fist from the seated position, a recessed soap holder that is within reach of a person in a seated position, an integral slip-resistant bottom, grab bars that have a horizontal section not less than 900 mm in length mounted on the back wall not less than 150 mm nor more than 300 mm above the rim of the bathtub, and a vertical section continued from the horizontal section to rise not less than 600 mm from the horizontal section and located not less than 275 mm nor more than 325 mm from the end of the bathtub at which the controls are located, and where a shower is provided, a shower equipped without shower doors, and with a hand-held shower head with not less than 1 500 mm of flexible hose, located adjacent to the faucets and controls so that it can be reached from the seated position and equipped with a support so that it can operate as a fixed shower head.","In washrooms there shall be a floor space of at least 1 500 mm by 1 500 mm with no encroachment other than the water closet, a door that swings outward, unless sufficient room is provided within the washroom to permit the door to be closed without interfering with a wheelchair, slides, or is a solid folding door, a water closet that conforms to Clauses 3.8.3.11.(1)(d) and (e) and Sentence 3.8.3.13.(1), a lavatory that conforms to Article 3.8.3.15., where a bathtub is provided, a bathtub equipped with faucet handles of the lever type without spring loading, a pressure equalizing valve or an automatic thermostatic mixing valve controlled by a lever or other device operable with a closed fist from the seated position, a recessed soap holder that is within reach of a person in a seated position, an integral slip-resistant bottom, grab bars that have a horizontal section not less than 900 mm in length mounted on the back wall not less than 150 mm nor more than 300 mm above the rim of the bathtub, and a vertical section continued from the horizontal section to rise not less than 600 mm from the horizontal section and located not less than 275 mm nor more than 325 mm from the end of the bathtub at which the controls are located, and where a shower is provided, a shower equipped without shower doors, and with a hand-held shower head with not less than 1 500 mm of flexible hose, located adjacent to the faucets and controls so that it can be reached from the seated position and equipped with a support so that it can operate as a fixed shower head.",1.0
