Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Difference Type,Variation,Variation Label,Text Difference Tracked,Exception,Comments,Difference Type Updated,Exception Updated,Variation Updated
2015,QC,NECB,Div B,1.1.1.1.(1),Application,This Part applies to all buildings covered in this Code. (See Article 1.1.1.1. of Division A.),QECB2015,Div B,,Application,This Part applies to all buildings covered in this Code. (See Article 1.1.1.1. of Division A.),Common Sentence,No,,,,,,,
2015,QC,NECB,Div B,1.1.2.1.(1),"Prescriptive, Trade-off or Performance Compliance","Buildings shall comply with the prescriptive or trade-off requirements stated in Parts 3 to 7, or the performance requirements stated in Part 8.",QECB2015,Div B,,"Prescriptive, Trade-off or Performance Compliance","Buildings shall comply with the prescriptive or trade-off requirements stated in Parts 3 to 7, or the performance requirements stated in Part 8.",Common Sentence,No,,,,,,,
2015,NS,NECB,Div B,1.1.2.1.(1),"Prescriptive, Trade-off or Performance Compliance","Buildings shall comply with
a) the prescriptive or trade-off requirements stated in Parts 3 to 7, or
b) the performance requirements stated in Part 8.",NSBCR,NECB2017_DivB,1.1.2.1.(1),"Prescriptive, Trade-off or Performance Compliance","Buildings shall comply with one of the following:

                         (a)    the prescriptive or trade-off requirements for climatic Zone 6 stated in Parts 3 to 7, or

                         (b)    the performance requirements stated in Part 8.

 ",Common Sentence,Yes,"Prescriptive, Trade-off or Performance Compliance",,,Puts NS in Climate Zone 6 for the prescriptive/Trade Off  requirements,,,
2015,QC,NECB,Div B,1.1.3.1.(1),Attributions to Acceptable Solutions,"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objective and functional statements attributed to the acceptable solutions in Division B shall be the objective and functional statements identified in Sections 3.5., 4.5., 5.5., 6.5., 7.5. and 8.5. (See Note A-1.1.3.1.(1).)",QECB2015,Div B,,Attributions to Acceptable Solutions,"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objective and functional statements attributed to the acceptable solutions in Division B shall be the objective and functional statements identified in Sections 3.5., 4.5., 5.5., 6.5., 7.5. and 8.5. (See Note A-1.1.3.1.(1).)",Common Sentence,No,,,,,,,
2015,QC,NECB,Div B,1.1.4.1.(1),Climatic Values,"The climatic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with the climatic values in Table C- for the location nearest to the building site. (See Note A-1.1.4.1.(1).)",QECB2015,Div B,,Climatic Values,"The climatic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with the climatic values in Table C- for the location nearest to the building site. (See Note A-1.1.4.1.(1).)",Common Sentence,No,,,,,,,
2015,QC,NECB,Div B,1.1.4.2.(1),Calculation Procedures,"Calculations carried out to ensure compliance with this Code and not described in the balance of this Subsection or in other Parts of the Code shall be carried out using procedures recognized for the particular purposes, such as those described in, but not limited to: ASHRAE Handbooks, Standards and Guidelines, HRAI SAR-G1 HRAI Digest Hydronics Institute Manuals, and ISO 13790:2008 Energy performance of buildings – Calculation of energy use for space heating and cooling",QECB2015,Div B,,Calculation Procedures,"Calculations carried out to ensure compliance with this Code and not described in the balance of this Subsection or in other Parts of the Code shall be carried out using procedures recognized for the particular purposes, such as those described in, but not limited to: ASHRAE Handbooks, Standards and Guidelines, HRAI SAR-G1 HRAI Digest and Hydronics Institute Manuals.",Common Sentence,Yes,,,,,,,
2015,QC,NECB,Div B,1.2.1.1.(1),Non-defined Terms,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",QECB2015,Div B,,Non-defined Terms,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",Common Sentence,No,,,,,,,
2015,QC,NECB,Div B,1.2.1.1.(2),Non-defined Terms,"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A.",QECB2015,Div B,,Non-defined Terms,"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A.",Common Sentence,No,,,,,,,
2015,QC,NECB,Div B,1.2.1.1.(3),Non-defined Terms,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3 to 8.",QECB2015,Div B,,Non-defined Terms,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3 to 8.",Common Sentence,No,,,,,,,
2015,QC,NECB,Div B,1.2.1.2.(1),Defined Terms,The words and terms in italics in Division B shall have the meanings assigned to them in Article 1.4.1.2. of Division A.,QECB2015,Div B,,Defined Terms,The words and terms in italics in Division B shall have the meanings assigned to them in Article 1.4.1.2. of Division A.,Common Sentence,No,,,,,,,
