Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Difference Type,Variation,Variation Label,Text Difference Tracked,Exception,Comments,Difference Type Updated,Exception Updated,Variation Updated
2015,AB,NFC,Div B,1.3.1.1.(1),Effective Date ,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.",AFC2019,Div B,1.3.1.1.(1),Effective Date ,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 01 April 2019.",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,ASME/CSA ASME A17.1-2010/CSAB44-10 Safety Code for Elevators and Escalators,afc2019,Div B,1.3.1.2.(1),,ASME/CSA ASME A17.1-2013/CSA B44-13 Safety Code for Elevators and Escalators,Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,CCBFC NRCC 30619 National Building Code of Canada 1990,afc2019,Div B,1.3.1.2.(1),,CCBFC National Building Code of Canada 1990,Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,CCBFC NRCC 56190 National Building Code of Canada 2015,afc2019,Div B,1.3.1.2.(1),,CCBFC NRCC-CONST-56272E National Building Code of Canada 2015,Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,CSA B139-09 Installation Code for Oil-Burning Equipment,afc2019,Div B,1.3.1.2.(1),,CSA B139-15 Installation Code for Oil-Burning Equipment,Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,"CSA C22.1-12 Canadian Electrical Code, Part I",afc2019,Div B,1.3.1.2.(1),,"CSA C22.1-18 Canadian Electrical Code, Part I",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,FM Global Data Sheet7-83 (2013) Drainage and Containment Systems for Ignitable Liquids,afc2019,Div B,1.3.1.2.(1),,FM Global Data Sheet 7-83 (2013) Drainage and Containment Systems for Ignitable Liquids,Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,"HC S.C.2002, c. 28 Pest Control Products Act",afc2019,Div B,1.3.1.2.(1),,"HC S.C. 2002, c. 28 Pest Control Products Act",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,NFPA 705-2013 Field Flame Test for Textiles and Films,afc2019,Div B,1.3.1.2.(1),,NFPA 705-2018 Recommended Practice for a Field Flame Test for Textiles and Films,Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,NFPA 96-2014 Ventilation Control and Fire Protection of Commercial Cooking Operations,afc2019,Div B,1.3.1.2.(1),,NFPA 96-2017 Ventilation Control and Fire Protection of Commercial Cooking Operations,Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,"TC General OrderNo. O-32, C.R.C., c1148 Flammable Liquids Bulk Storage Regulations",afc2019,Div B,1.3.1.2.(1),,"TC General Order No. O-32, C.R.C., c1148 Flammable Liquids Bulk Storage Regulations",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,1.3.1.2.(1),,ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids,afc2019,Div B,1.3.1.2.(1),,ULC CAN/ULC-S620-07 Hose Nozzle Valves for Flammable and Combustible Liquids,Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,1.3.2.1.(1),Abbreviations of Proper Names ,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)APIAmerican Petroleum Institute (www.api.org)ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) CCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFACanadian Fuels Association (canadianfuels.ca)CGACompressed Gas Association (www.cganet.com)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng)CSACSA Group (www.csagroup.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FM GlobalFM Global (www.fmglobal.com)HCHealth Canada (www.hc-sc.gc.ca)IMOInternational Maritime Organization (www.imo.org)NACENACE International (www.nace.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research Centre) (www.nrc.gc.ca/construction)OCIMFOil Companies International Marine Forum (www.ocimf.com)SFPESociety of Fire Protection Engineers (www.sfpe.org)STISteel Tank Institute (www.steeltank.com)TCTransport Canada (www.tc.gc.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)UNUnited Nations (www.un.org) ",AFC2019,Div B,1.3.2.1.(1),Abbreviations of Proper Names ,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)AERAlberta Energy Regulator (www.aer.ca)AMAAlberta Municipal Affairs (www.municipalaffairs.alberta.ca)APIAmerican Petroleum Institute (www.api.org)ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) CCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFACanadian Fuels Association (canadianfuels.ca)CGACompressed Gas Association (www.cganet.com)CGSBCanadian General Standards Board(www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng)CSACSA Group (www.csagroup.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FM GlobalFM Global (www.fmglobal.com)HCHealth Canada (www.hc-sc.gc.ca)IMOInternational Maritime Organization (www.imo.org)NACENACE International (www.nace.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (see NRC) (www.nrc.gc.ca/construction)OCIMFOil Companies International Marine Forum (www.ocimf.com)PTMAAPetroleum Tank Management Association of Alberta (www.ptmaa.ab.ca)SFPESociety of Fire Protection Engineers (www.sfpe.org)STISteel Tank Institute (www.steeltank.com)TCTransport Canada (www.tc.gc.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)UNUnited Nations (www.un.org)",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div A,1.4.1.2.(1),,"Appliance - means a device to convert fuel into energy and includes all components, controls, wiring and piping required to be part of the device by the applicable standard referred to in this Code.",AFC2019,Div A,1.4.1.2.(1),,"Appliance - means a device to convert electrical energy or fuel into thermal energy and includes all components, controls, wiring and piping required to be part of the device by the applicable standard referred to in this Code.",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div A,1.4.1.2.(1),,Authority having jurisdiction - means the governmental body responsible for the enforcement of any part of this Code or the official or agency designated by that body to exercise such a function.,AFC2019,Div A,1.4.1.2.(1),,Authority having jurisdiction - means a safety codes officer in the fire discipline exercising authority pursuant to designation of powers and terms of employment in accordance with the . (See 1.4.1.2.(1) of Division A.).,Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div A,1.4.1.2.(1),,"Fire-protection rating - means the time in minutes or hours that a closure will withstand the passage of flame when exposed to fire under specified conditions of test and performance criteria, or as otherwise prescribed in the NBC.",AFC2019,Div A,1.4.1.2.(1),,"Fire-protection rating - means the time in minutes or hours that a closure will withstand the passage of flame when exposed to fire under specified conditions of test and performance criteria, or as otherwise prescribed in the National Building Code – 2019 Alberta Edition.",Common Sentence,No,,,,,,,
2015,AB,NFC,Div A,1.4.1.2.(1),,"Fire-resistance rating means the time in minutes or hours that a material or assembly of materials will withstand the passage of flame and the transmission of heat when exposed to fire under specified conditions of test and performance criteria, or as determined by extension or interpretation of information derived therefrom as prescribed in the National Building Code of Canada 2015. (See Note A-1.4.1.2.(1).)",AFC2019,Div A,1.4.1.2.(1),,"Fire-resistance rating - means the time in minutes or hours that a material or assembly of materials will withstand the passage of flame and the transmission of heat when exposed to fire under specified conditions of test and performance criteria, or as determined by extension or interpretation of information derived therefrom as prescribed in the National Building Code – 2019 Alberta Edition. ",Common Sentence,No,,,,,,,
2015,AB,NFC,Div A,1.4.1.2.(1),,Flame-spread rating - means an index or classification indicating the extent of spread-of-flame on the surface of a material or an assembly of materials as determined in a standard fire test as prescribed in the .,AFC2019,Div A,1.4.1.2.(1),,Flame-spread rating - means an index or classification indicating the extent of spread-of-flame on the surface of a material or an assembly of materials as determined in a standard fire test as prescribed in the National Building Code – 2019 Alberta Edition.,Common Sentence,No,,,,,,,
2015,AB,NFC,Div A,1.4.1.2.(1),,"Suite - means a single room or series of rooms of complementary use, operated under a single tenancy, and includes dwelling units, individual guest rooms in motels, hotels, boarding houses, rooming houses and dormitories as well as individual stores and individual or complementary rooms for business and personal services occupancies. (See of Division A.)",AFC2019,Div A,1.4.1.2.(1),,"Suite - means a single room or series of rooms of complementary use, operated under a single tenancy, and includes dwelling units, individual guest rooms in motels, hotels, boarding houses, rooming houses and dormitories as well as individual stores and individual or complementary rooms for assembly occupancies, business and personal services occupancies, medium-hazard industrial occupancies, and low-hazard industrial occupancies. (See of Division A.)",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.1.2.1.(1),Classification ,"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)",AFC2019,Div B,2.1.2.1.(1),Classification ,"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC(AE). (See Note A-2.1.2.1.(1).)",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.3.1.(1),"Fire Alarm, Standpipe and Sprinkler Systems ","Except as otherwise provided in this Code, where fire alarm, standpipe and sprinkler systems are provided, they shall be designed and installed in conformance with the NBC. (See Note A-2.1.3.1.(1).)",AFC2019,Div B,2.1.3.1.(1),"Fire Alarm, Standpipe and Sprinkler Systems ","Except as otherwise provided in this Code, where fire alarm, standpipe and sprinkler systems are provided, they shall be designed and installed in conformance with the NBC(AE). (See Note A-2.1.3.1.(1).)",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.3.2.(1),Voice Communication Systems ,A voice communication system or systems integrated with the general fire alarm system shall be provided in buildings as specified in Subsection 3.2.6. of Division B of the NBC.,AFC2019,Div B,2.1.3.2.(1),Voice Communication Systems ,A voice communication system or systems integrated with the general fire alarm system shall be provided in buildings as specified in Subsection 3.2.6. of Division B of the NBC(AE).,Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.3.3.(1),Smoke Alarms ,"Smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.",AFC2019,Div B,2.1.3.3.(1),Smoke Alarms ,"Smoke alarms conforming to ULC CAN/ULC-S531-14 Smoke Alarms shall be installed in each dwelling unit and, except for care, treatment or detention occupancies required to have a fire alarm system, in each sleeping room not within a dwelling unit.",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.3.3.(2),Smoke Alarms ,"Smoke alarms within dwelling units shall be installed between each sleeping area and the remainder of the dwelling unit, and where the sleeping areas are served by hallways, the smoke alarms shall be installed in the hallways.",AFC2019,Div B,2.1.3.3.(2),Smoke Alarms ,"Smoke alarms within dwelling units shall be installed between each sleeping area and the remainder of the dwelling unit, and where the sleeping areas are served by hallways, the smoke alarms shall be installed in the hallways.",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.3.3.(3),Smoke Alarms ,Smoke alarms shall be installed in conformance with ULC CAN/ULC-S553-14 Installation of Smoke Alarms,AFC2019,Div B,2.1.3.3.(3),Smoke Alarms ,Smoke alarms shall be installed in conformance with ULC CAN/ULC-S553-14 Installation of Smoke Alarms (See Note A-2.1.3.3.(3).),Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.3.3.(4),Smoke Alarms ,Smoke alarms are permitted to be battery operated.,AFC2019,Div B,2.1.3.3.(4),Smoke Alarms ,"Smoke alarms are permitted to be battery-operated in dwelling units constructed before July 5, 1977. (See Note A-2.1.3.3.(4).).",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.1.3.4.(1),Protection of Combustible Sprinkler Piping ,"Materials installed to protect combustible sprinkler piping, as is required by the NBC, shall be maintained in accordance with the provisions of the same edition of the NBC used for their installation. (See Note A-2.1.3.4.(1).)",AFC2019,Div B,2.1.3.4.(1),Protection of Combustible Sprinkler Piping ,"Materials installed to protect combustible sprinkler piping, as is required by the NBC(AE), shall be maintained in accordance with the provisions of the same edition of the NBC(AE) used for their installation. (See Note A-2.1.3.4.(1).)",Common Sentence,No,,,,,,,
2015,AB,NFC,Div B,2.1.3.4.(3),Protection of Combustible Sprinkler Piping ,"3) The design and installation of a special fire suppression system that is not water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, and High-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,” or
f) NFPA 17A, “Wet Chemical Extinguishing Systems.”
3) The design and installation of a special fire suppression system that is not water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, and High-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,” or
f) NFPA 17A, “Wet Chemical Extinguishing Systems.”
3) The design and installation of a special fire suppression system that is not water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, and High-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,” or
f) NFPA 17A, “Wet Chemical Extinguishing Systems.”
",AFC2019,Div B,2.1.3.4.(3),Protection of Combustible Sprinkler Piping ,"3) The design and installation of a special fire suppression system that is not water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, and High-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,”
f) NFPA 17A, “Wet Chemical Extinguishing Systems,”or
g) NFPA 2001, “Standard on Clean Agent Fire Extinguishing Systems.”
3) The design and installation of a special fire suppression system that is not water-based shall conform to one of the following standards:
a) NFPA 11, “Low-, Medium-, and High-Expansion Foam,”
b) NFPA 12, “Carbon Dioxide Extinguishing Systems,”
c) NFPA 12A, “Halon 1301 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
d) NFPA 12B, “Halon 1211 Fire Extinguishing Systems” (see
Note A-2.1.3.5.(3)(c) and (d)),
e) NFPA 17, “Dry Chemical Extinguishing Systems,”
f) NFPA 17A, “Wet Chemical Extinguishing Systems,”or
g) NFPA 2001, “Standard on Clean Agent Fire Extinguishing Systems.”
",Common Sentence,Yes,,,,,,,
2015,AB,NFC,Div B,2.1.3.4.(4),Protection of Combustible Sprinkler Piping ,"4) The design and installation of a water-based special fire suppression system shall conform to one of the following standards:
a) NFPA 15, “Water Spray Fixed Systems for Fire Protection,” or
b) NFPA 16, “Installation of Foam-Water Sprinkler and Foam-Water Spray Systems.”
",AFC2019,Div B,2.1.3.4.(4),Protection of Combustible Sprinkler Piping ,"4) The design and installation of a water-based special fire suppression system shall conform to one of the following standards:
a) NFPA 15, “Water Spray Fixed Systems for Fire Protection,”
b) NFPA 16, “Installation of Foam-Water Sprinkler and Foam-Water Spray Systems,”or
c) NFPA 750, “Standard on Water Mist Fire Protection Systems.”
",Common Sentence,Yes,,,,,,,
