Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,Matched P/T Division,Matched P/T Sentence Number,Matched P/T Article Title,Matched P/T Sentence Text,Text Difference Tracked,Difference Type,Variation?,Variation Label,Exception?,Comments,Code Part,Code Article,Code Section,Code Subsection,Code Sentence,Difference Type Updated?,Exception Updated?,Variation Updated?
2015,NU,NBC,Div B,7.1.2.1.(1),Conformance with Regulations or National Plumbing Code,"Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.",NBC NT2019,Div B,7.1.2.1.(1),Conformance with Plumbing Code,"Every plumbing system shall be designed and installed in conformance with the Building Code Regulations made under the Building Code Act, S.Nu. 2012,c.15, including the Plumbing Code as defined in and incorporated into those regulations.",,Common Sentence,Yes,,,TechnicalNewer version of the standard has been adopted,7,7.1.2.1,7.1,7.1.2,7.1.2.1.(1),,,
2015,NU,NBC,Div B,9.13.3.2.(2),Waterproofing Materials,"Materials used for exterior waterproofing shall conform to ASTM D 1227-95 Emulsified Asphalt Used as a Protective Coating for Roofing in which case, they shall be installed in accordance with Sentence 9.13.3.3.(3), ASTM D 3019-08 Lap Cement Used with Asphalt Roll Roofing, Non-Fibered, Asbestos-Fibered, and Non-Asbestos-Fibered where non-fibered and non-asbestos-fibered (Types I and III) asphalt roll roofing are permitted, ASTM D 4479/D 4479M-07e1 Asphalt Roof Coatings – Asbestos-Free in which case, they shall be installed in accordance with Sentence 9.13.3.3.(3) and with reinforcing material, ASTM D 4637/D 4637M-12 EPDM Sheet Used In Single-Ply Roof Membrane ASTM D 4811/D 4811M-06 Nonvulcanized (Uncured) Rubber Sheet Used as Roof Flashing ASTM D 6878/D 6878M-11a Thermoplastic Polyolefin Based Sheet Roofing CGSB 37-GP-9Ma-1983 Primer, Asphalt, Unfilled, for Asphalt Roofing, Dampproofing and Waterproofing where a primer is required, CGSB CAN/CGSB-37.50-M89 Hot-Applied, Rubberized Asphalt for Roofing and Waterproofing CGSB CAN/CGSB-37.54-95 Polyvinyl Chloride Roofing and Waterproofing Membrane CGSB 37-GP-56M-1985 Membrane, Modified, Bituminous, Prefabricated, and Reinforced for Roofing CGSB CAN/CGSB-37.58-M86 Membrane, Elastomeric, Cold-Applied Liquid, for Non-Exposed Use in Roofing and Waterproofing CSA CAN/CSA-A123.2-03 Asphalt-Coated Roofing Sheets CSA CAN/CSA-A123.4-04 Asphalt for Constructing Built-Up Roof Coverings and Waterproofing Systems in which case, they shall be installed with reinforcing material, or CSA A123.17-05 Asphalt Glass Felt Used in Roofing and Waterproofing",NBC NT2019,Div B,9.13.3.2.(2),Waterproofing Materials,"Materials used for exterior waterproofing shall conform to ASTM D 1227-95 Emulsified Asphalt Used as a Protective Coating for Roofing in which case, they shall be installed in accordance with Sentence 9.13.3.3.(3), ASTM D 4479/D 4479M-07e1 Asphalt Roof Coatings – Asbestos-Free in which case, they shall be installed in accordance with Sentence 9.13.3.3.(3) and with reinforcing material, ASTM D 4637/D 4637M-12 EPDM Sheet Used In Single-Ply Roof Membrane ASTM D 4811/D 4811M-06 Nonvulcanized (Uncured) Rubber Sheet Used as Roof Flashing ASTM D 6878/D 6878M-11a Thermoplastic Polyolefin Based Sheet Roofing CGSB 37-GP-9Ma-1983 Primer, Asphalt, Unfilled, for Asphalt Roofing, Dampproofing and Waterproofing where a primer is required, CGSB CAN/CGSB-37.50-M89 Hot-Applied, Rubberized Asphalt for Roofing and Waterproofing CGSB CAN/CGSB-37.54-95 Polyvinyl Chloride Roofing and Waterproofing Membrane CGSB 37-GP-56M-1985 Membrane, Modified, Bituminous, Prefabricated, and Reinforced for Roofing CGSB CAN/CGSB-37.58-M86 Membrane, Elastomeric, Cold-Applied Liquid, for Non-Exposed Use in Roofing and Waterproofing CSA CAN/CSA-A123.2-03 Asphalt-Coated Roofing Sheets CSA CAN/CSA-A123.4-04 Asphalt for Constructing Built-Up Roof Coverings and Waterproofing Systems in which case, they shall be installed with reinforcing material, or CSA A123.17-05 Asphalt Glass Felt Used in Roofing and Waterproofing",,Common Sentence,Yes,Non-adoption,,Technical ,9,9.13.3.2,9.13,9.13.3,9.13.3.2.(2),,,
2015,NU,NBC,Div B,9.19.1.2.(1),Vent Requirements,"Except as provided in Sentence 9.19.1.2.(2), the unobstructed vent area shall be not less than 1/300 of the insulated ceiling area.",NBC NT2019,Div B,9.19.1.2.(1),Vent Requirements,"Except as provided in Sentence 9.19.1.2.(2) and (6), the unobstructed vent area shall be not less than 1/300 of the insulated ceiling area.",,Common Sentence,Yes,Code addition ,,Technical ,9,9.19.1.2,9.19,9.19.1,9.19.1.2.(1),,,
2015,NU,NBC,Div B,9.25.1.1.(2),Scope and Application,"All walls, ceilings and floors separating conditioned space from unconditioned space, the exterior air or the ground shall be provided with thermal insulation conforming to Subsection 9.25.2. and
Section 9.36., an air barrier conforming to Subsection 9.25.3. and
Section 9.36., and a vapour barrier conforming to Subsection 9.25.4., and constructed in such a way that the properties and relative position of all materials conform to Subsection 9.25.5.",NBC NT2019,Div B,9.25.1.1.(2),Scope and Application,"All walls, ceilings and floors separating conditioned space from unconditioned space, the exterior air or the ground shall be provided with thermal insulation conforming to part 9. , an air barrier conforming to part 9., and a vapour barrier conforming to part 9., and constructed in such a way that the properties and relative position of all materials conform to part 9.",,Common Sentence,Yes,Non-adoption,,Technical ,9,9.25.1.1,9.25,9.25.1,9.25.1.1.(2),,,
2015,NU,NBC,Div B,9.25.1.1.(3),Scope and Application,"Insulation and sealing of heating and ventilating ducts shall conform to Sections 9.32., 9.33. and 9.36.",NBC NT2019,Div B,9.25.1.1.(3),Scope and Application,Insulation and sealing of heating and ventilating ducts shall conform to Sections 9.32. and 9.33. ,,Common Sentence,Yes,Non-adoption,,Technical ,9,9.25.1.1,9.25,9.25.1,9.25.1.1.(3),,,
2015,NU,NBC,Div B,9.25.2.3.(6),Installation of Thermal Insulation,"Where insulation is exposed to the weather and subject to mechanical damage, it shall be protected with not less than 6 mm preservative-treated plywood, or 12 mm cement parging on wire lath applied to the exposed face and edge.",NBC NT2019,Div B,9.25.2.3.(6),Installation of Thermal Insulation,"Where insulation is exposed to the weather and subject to mechanical damage, it shall be protected with not less than 12 mm cement parging on wire lath applied to the exposed face and edge.",,Common Sentence,Yes,Non-adoption,,Technical ,9,9.25.2.3,9.25,9.25.2,9.25.2.3.(6),,,
2015,NU,NBC,Div B,9.7.2.2.(10),"Other Requirements for Windows, Doors and Skylights","Windows, doors and skylights shall conform to the energy efficiency requirements in part 9. ",,,,,,,Common Sentence,Yes,Non-adoption,,Technical ,9,9.7.2.2,9.7,9.7.2,9.7.2.2.(10),,,
2015,NU,NBC,Div B,9.36.1.1.(1),Scope,"This Section is concerned with the energy used by buildings as a result of the design and construction of the building envelope, and the design and construction or specification of systems and equipment for heating, ventilating or air-conditioning, and service water heating.",,,,,,,National Only,Yes,Non-adoption,,Technical ,9,9.36.1.1,9.36,9.36.1,9.36.1.1.(1),,,
2015,NU,NBC,Div B,9.36.1.2.(1),Definitions,"For the purpose of this Section, the term ""common space"" shall mean all spaces required to be conditioned spaces in accordance with the requirements of the Code that are not within a suite but shall not include crawl spaces and vertical service spaces. (See Note A-9.36.1.3.(3).)",,,,,,,National Only,Yes,Non-adoption,,Technical ,9,9.36.1.2,9.36,9.36.1,9.36.1.2.(1),,,
2015,NU,NBC,Div B,9.36.1.2.(2),Definitions,"For the purpose of this Section, the term ""overall thermal transmittance,"" or U-value, shall mean the rate, in W/(m2·K), at which heat is transferred through a building assembly that is subject to temperature differences. (See Note A-9.36.1.2.(2).)",,,,,,,National Only,Yes,Non-adoption,,Technical ,9,9.36.1.2,9.36,9.36.1,9.36.1.2.(2),,,
