Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,1.1.1.1.(1),1.1.1.1. Application,This Part applies to all buildings covered in this Code. (See Article 1.1.1.1..),obc2019_divb,Div B,1.1.1.1.(1),1.1.1.1. Application ,This Part applies to all buildings covered in this Code. ,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,1.1.3.1.(1),1.1.3.1. Climatic and Seismic Values ,"The climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence 1.1.3.1.(2) and the climatic and seismic values in Appendix C . (See Note A-1.1.3.1.(1).) ",obc2019_divb,Div B,1.1.2.1.(1),1.1.2.1. Climatic and Seismic Values ,"The climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the climatic and seismic values provided in MMAH Supplementary Standard SB-1, ""Climatic and Seismic Data"".",,Common Sentence,Yes,,,,,,
2015,ON,NBC,Div B,1.1.3.1.(2),1.1.3.1. Climatic and Seismic Values ,The outside winter design temperatures determined from Appendix C shall be those listed for the January 2.5% values. (See Note A-1.1.3.1.(2).) ,obc2019_divb,Div B,1.1.2.1.(2),1.1.2.1. Climatic and Seismic Values ,"The outside winter design temperatures determined from MMAH Supplementary Standard SB-1, ""Climatic and Seismic Data"", shall be those listed for the January 2.5% values. (SeeAppendix A.))",,Common Sentence,Yes,,,,,,
2015,ON,NBC,Div B,1.3.1.2.(1),1.3.1.2 Applicable Editions,"Where documents are referenced in this Code, they shall be the editions designated in Table 1.3.1.2. ",obc2019_divb,Div B,1.3.1.2.(1),1.3.1.1. Applicable Editions ,"Where documents are referenced in this Code, they shall be the editions designated in Column 2 of Table 1.3.1.2.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.1.1.(1),Scope ,The scope of this Part shall be as described in Subsection 1.3.3. of Division A.,obc2019_divb,Div B,3.1.1.1.(1),3.1.1.1. Scope ,The scope of this Part shall be as described in Subsection 1.1.2. of Division A.,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.1.(1),Prevention of Firewall Collapse ,"Except as permitted by Sentence 3.1.10.1.(2), the connections and supports for structural framing members that are connected to or supported on a firewall and have a fire-resistance rating less than that required for the firewall, shall be designed so that the failure of the framing systems during a fire will not affect the integrity of the firewall during the fire.",obc2019_divb,Div B,3.1.10.1.(1),3.1.10.1. Prevention of Firewall Collapse ,"Except as permitted by Sentence (2), the connections and supports for structural framing members that are connected to or supported on a firewall and have a fire-resistance rating less than that required for the firewall, shall be designed so that the failure of the framing systems during a fire will not affect the integrity of the firewall during the fire.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.1.(2),Prevention of Firewall Collapse ,"Sentence 3.1.10.1.(1) does not apply to a firewall consisting of two separate wall assemblies each tied to its respective building frame but not to each other, provided each wall assembly is a fire separation having one half of the fire-resistance rating required for the firewall by Sentences 3.1.10.2.(1) and 3.1.10.2.(2), and designed so that the collapse of one wall assembly will not cause collapse of the other.",obc2019_divb,Div B,3.1.10.1.(2),3.1.10.1. Prevention of Firewall Collapse ,"Sentence (1) does not apply to a firewall consisting of two separate wall assemblies each tied to its respective building frame but not to each other, provided each wall assembly is, a fire separation having one-half of the fire-resistance rating required for the firewall by Sentences 3.1.10.2.(1) and (2), and designed so that the collapse of one wall assembly will not cause the collapse of the other.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.1.(3),Prevention of Firewall Collapse,A firewall is permitted to be supported on the structural frame of a building of noncombustible construction provided the supporting frame has a fire-resistance rating not less than that required for the firewall.,obc2019_divb,Div B,3.1.10.1.(3),3.1.10.1. Prevention of Firewall Collapse,A firewall is permitted to be supported on the structural frame of a building of noncombustible construction provided the supporting frame has a fire-resistance rating not less than that required for the firewall.,,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.1.(4),Prevention of Firewall Collapse ,"Piping, ducts and totally enclosed noncombustible raceways shall be installed so that their collapse will not cause collapse of the firewall.",obc2019_divb,Div B,3.1.10.1.(4),3.1.10.1. Prevention of Firewall Collapse ,"Piping, ducts and totally enclosed noncombustible raceways shall be installed so that their collapse will not cause the collapse of the firewall.",,Common Sentence,No,,,,,,
2015,ON,NBC,Div B,3.1.10.2.(1),Rating of Firewalls,"A firewall that separates a building or buildings with floor areas containing a Group E or a Group F, Division 1 or 2 major occupancy shall be constructed as a fire separation of noncombustible construction having a fire-resistance rating not less than 4 h, except that where the upper portion of a firewall separates floor areas containing other than Group E or Group F, Division 1 or 2 major occupancies, the fire-resistance rating of the upper portion of the firewall is permitted to be not less than 2 h.",obc2019_divb,Div B,3.1.10.2.(1),3.1.10.2. Rating of Firewalls,"A firewall that separates a building or buildings with floor areas containing a Group E or a Group F, Division 1 or 2 major occupancy shall be constructed as a fire separation of noncombustible construction having a fire-resistance rating not less than 4 h, except that where the upper portion of a firewall separates floor areas containing other than Group E or Group F, Division 1 or 2 major occupancies, the fire-resistance rating of the upper portion of the firewall is permitted to be not less than 2 h.",,Common Sentence,No,,,,,,
