Code Year,Province/Territory,Code Book,National Division,NationalSentenceNumber,National Article Title,National Sentence Text,P/T Document,P/T Division,P/TSentenceNumber,P/T Article Title,P/T Sentence Text,Difference Type,Variation,Variation Label,Text Difference Tracked,Exception,Comments,Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,3.6.5.1.(1),Duct Materials,"Except as permitted by Sentences (2) to (5) and Article 3.6.4.3., all ducts,
duct connectors, associated fittings and plenums used in air duct systems shall be
constructed of steel, aluminum alloy, copper, clay or other noncombustible material.",obc2019_divb,Div B,6.2.3.2.(1),6.2.3.2. Materials in Air Duct Systems ,"Except as provided in Sentences (2) to (4) and in Article 3.6.4.3., all ducts, duct connectors, associated fittings and plenums used in air duct systems shall be constructed of steel, aluminum alloy, copper, clay or similar noncombustible material.",Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.1.(2),Duct Materials,"Except as permitted by Sentence (3), ducts, associated fittings and plenums are
permitted to contain combustible material provided they
a) conform to the appropriate requirements for Class 1 duct materials in
CAN/ULC-S110, “Test for Air Ducts,”
b) conform to Article 3.1.5.18. in a building required to be of noncombustible
construction,
c) conform to Subsection 3.1.9.,
d) are used only in horizontal runs in a building required to be of noncombustible
construction,
e) are not used in vertical runs serving more than 2 storeys in a building
permitted to be of combustible construction, and
f) are not used in air duct systems in which the air temperature could be more
than 120°C.",obc2019_divb,Div B,6.2.3.2.(2),6.2.3.2. Materials in Air Duct Systems ,"Ducts, associated fittings and plenums are permitted to contain combustible material provided they,
	(a) conform to the appropriate requirements for Class 1 duct materials in CAN/ULC-S110, “Test for Air Ducts”,
	(b) conform to Article 3.1.5.15. in a building required to be of noncombustible construction,
	(c)conform to Subsection 3.1.9.,
	(d)are used only in horizontal runs in a building required to be of noncombustible construction,
	(e)are not used in vertical runs serving more than 2 storeys in a building required to be of noncombustible construction, and
	(f)are not used in air duct systems in which the air temperature may exceed 120°C.",Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.1.(4),Duct Materials,"Duct sealants shall have a flame-spread rating not more than 25 and a smoke
developed classification not more than 50",obc2019_divb,Div B,6.2.3.2.(3),6.2.3.2. Materials in Air Duct Systems ,Duct sealants shall have a flame-spread rating of not more than 25 and a smoke developed classification of not more than 50.,Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.1.(5),Duct Materials,"Duct connectors that contain combustible materials and that are used between
ducts and air outlet units shall
a) conform to the appropriate requirements for Class 1 air duct materials in
CAN/ULC-S110, “Test for Air Ducts,”
b) be not more than 4 m long,
c) be used only in horizontal runs, and
d) not penetrate a required fire separation.",obc2019_divb,Div B,6.2.3.2.(4),6.2.3.2. Materials in Air Duct Systems ,"Duct connectors that contain combustible materials and that are used between ducts and air outlet units shall, (a)	conform to the appropriate requirements for Class 1 air duct materials in CAN/ULC-S110, “Test for Air Ducts”, (b) be limited to 4 m in length, (c) be used only in horizontal runs, and (d) not penetrate required fire separations.",Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.4.(1),"Coverings, Linings, Adhesives and Insulation","Coverings, linings and associated adhesives and insulation for air ducts,
plenums and other parts of air duct systems that would have an exposed surface
temperature more than 120°C when exposed to heated air or radiation from heat
sources shall be of noncombustible material.",obc2019_divb,Div B,6.2.3.4.(1),"6.2.3.4. Duct Coverings, Linings,
Adhesives and Insulation","Coverings, linings and associated adhesives and insulation of air ducts, plenums and other parts of air duct systems shall be of noncombustible material when exposed to heated air or radiation from heat sources that would result in the exposed surface exceeding a temperature of 120°C.",Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.4.(2),"Coverings, Linings, Adhesives and Insulation","Except as permitted by Sentence (3), combustible coverings and linings,
including associated adhesives and insulation, shall have
a) a flame-spread rating not more than 25 on any exposed surface or any surface
that would be exposed by cutting through the material in any direction, and
b) a smoke developed classification not more than 50.",obc2019_divb,Div B,6.2.3.4.(2),"6.2.3.4. Duct Coverings, Linings,
Adhesives and Insulation","When combustible coverings and linings, including associated adhesives and insulation, are used, they shall have a flame-spread rating of not more than 25 on any exposed surface or any surface that would be exposed by cutting through the material in any direction, and a smoke developed classification of not more than 50, except that the outer covering of ducts, plenums and other parts of air duct systems used within an assembly of combustible construction may have an exposed surface flame-spread rating of not more than 75 and may have a smoke developed classification greater than 50. 6.2.3.5.(2)",Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.4.(4),"Coverings, Linings, Adhesives and Insulation","Combustible coverings and linings referred to in Sentences (2) and (3) shall not
flame, glow, smoulder or smoke when tested in accordance with the method of test in
ASTM C 411, “Hot-Surface Performance of High-Temperature Thermal Insulation,”
at the maximum temperature to which the coverings and linings are to be exposed
in service.",obc2019_divb,Div B,6.2.3.4.(3),"6.2.3.4. Duct Coverings, Linings,
Adhesives and Insulation","Combustible coverings and linings in Sentence (2) shall not flame, glow, smoulder or smoke when tested in accordance with the method of test in ASTM C411, ""Hot-Surface Performance of High-Temperature Thermal Insulation"" at the maximum temperature to which the coverings and linings are to be exposed in service. 6.2.3.5.(3)",Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.4.(5),"Coverings, Linings, Adhesives and Insulation","5) Except as permitted by Sentence (6), foamed plastic insulation shall not be used
as part of an air duct system or for insulating an air duct.",obc2019_divb,Div B,6.2.3.4.(4),"6.2.3.4. Duct Coverings, Linings,
Adhesives and Insulation","Except as provided in Sentence (5), foamed plastic insulation shall not be used as part of an air duct or for insulating an air duct. 6.2.3.5.(4) ",Common Sentence,No,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.4.(7),"Coverings, Linings, Adhesives and Insulation","Combustible coverings and linings of ducts, including associated adhesives
and insulation, shall be interrupted where the duct penetrates a fire separation and at
the immediate area of operation of heat sources in a duct system, including electric
resistance heaters or fuel-burning heaters or furnaces.",obc2019_divb,Div B,6.2.3.4.(6),"6.2.3.4. Duct Coverings, Linings,
Adhesives and Insulation","Combustible coverings and linings of ducts, including associated adhesives and insulation, shall be interrupted at the immediate area of operation of heat sources in a duct system, such as electric resistance heaters or fuel-burning heaters or furnaces, and where the duct penetrates a fire separation.",Common Sentence,Yes,Air Duct Systems,,,,,,
2015,ON,NBC,Div B,3.6.5.5.(1),Insulation and Coverings,"1) Insulation and coverings on pipes in which the temperature of the fluid exceeds
120°C shall
a) be made of noncombustible material, or
b) not flame, glow, smoulder or smoke when tested in accordance with ASTM
C 411, “Hot-Surface Performance of High-Temperature Thermal Insulation,”
at the maximum temperature to which the insulation or covering is to be
exposed in service.",obc2019_divb,Div B,6.2.9.2.(2),6.2.9.2. Insulation and Coverings ,"Insulation and coverings on pipes in which the temperature of the fluid exceeds 120°C,(a) shall be made of noncombustible material, or (b) shall not flame, glow, smoulder or smoke when tested in accordance with ASTM C411, ""Hot-Surface Performance of High-Temperature Thermal Insulation"", at the maximum temperature to which such insulation or covering is to be exposed in service.",Common Sentence,No,Piping for Heating and Cooling Systems,,,,,,
