Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,National Article Title (FR),National Sentence Text (FR),P/T Article Title (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,ON,NBC,Div B,9.10.1.1.(1),Sloped Roofs ,"For the purposes of this Section, roofs with slopes of 60° or more to the horizontal that are adjacent to a room or space intended for occupancy shall be considered as a wall.",obc2019divb,Div B,9.10.1.2.(1),9.10.1.2. Sloped Roofs ,"For the purposes of this Section, roofs with slopes of 60Â° or more to the horizontal and that are adjacent to a room or space intended for occupancy shall be considered as a wall.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.1.3.(10),Items under Part 3 Jurisdiction ,Fire pumps shall be installed in conformance with Articles 3.2.5.17. and 3.2.5.18. ,obc2019divb,Div B,9.10.1.3.(10),9.10.1.3. Items Under Part 3 Jurisdiction ,Fire pumps shall be installed in conformance with Articles 3.2.5.18. and 3.2.5.19.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.1.3.(4),Items under Part 3 Jurisdiction ,"Where rooms or spaces are intended for the storage, manufacture or use of hazardous or explosive material, such rooms or spaces shall conform to part 3.. (See Note A-3.3.1.2.(1).) ",obc2019divb,Div B,9.10.1.3.(4),9.10.1.3. Items Under Part 3 Jurisdiction ,"Where rooms or spaces are intended for the storage, manufacture or use of hazardous or explosive material, such rooms or spaces shall conform to Part 3.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.1.3.(6),Items under Part 3 Jurisdiction ,Openings through floors that are not protected by shafts or closures shall be protected in conformance with part 3. (See also Sentence 9.9.4.7.(1).),obc2019divb,Div B,9.10.1.3.(6),9.10.1.3. Items Under Part 3 Jurisdiction ,Openings through floors that are not protected by shafts or closures shall be protected in conformance with Subsection 3.2.8.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.1.3.(7),Items under Part 3 Jurisdiction ,Chutes and shafts shall conform to Subsection 3.6.3. except where they are entirely contained within a dwelling unit.,obc2019divb,Div B,9.10.1.3.(7),9.10.1.3. Items Under Part 3 Jurisdiction ,Chutes and shafts shall conform to Subsection 3.6.3. except where they are contained entirely within a dwelling unit. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.10.3.(1),Separation of Service Rooms ,"Except as provided in Sentence 9.10.10.3.(2) and Articles 9.10.10.5. and 9.10.10.6., service rooms shall be separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 1 h when the floor area containing the service room is not sprinklered.",obc2019divb,Div B,9.10.10.3.(1),9.10.10.3. Separation of Service Rooms ,"Except as provided in Sentence (2) and Articles 9.10.10.5. and 9.10.10.6., service rooms shall be separated from the remainder of the building by a fire separation having a fire-resistance rating of not less than 1 h when the floor area containing the service room is not sprinklered.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.10.3.(2),Separation of Service Rooms ,"Where a room contains a limited quantity of service equipment and the service equipment does not constitute a fire hazard, the requirements in Sentence 9.10.10.3.(1) shall not apply.",obc2019divb,Div B,9.10.10.3.(2),9.10.10.3. Separation of Service Rooms ,"Where a room contains a limited quantity of service equipment and the service equipment does not constitute a fire hazard, the requirements in Sentence (1) shall not apply.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.10.4.(1),Location of Fuel-Fired Appliances ,"Except as provided in Sentences 9.10.10.4.(2) and 9.10.10.4.(3) and Article 9.10.10.5., fuel-fired appliances shall be located in a service room separated from the remainder of the building by a fire separation having not less than a 1 h fire-resistance rating.",obc2019divb,Div B,9.10.10.4.(1),9.10.10.4. Appliances and Equipment to be Located in a Service ,"Except as provided in Sentences (2) and (3) and Article 9.10.10.5., fuel-fired appliances shall be located in a service room separated from the remainder of the building by a fire separation having not less than a 1 h fire-resistance rating.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.10.4.(3),Location of Fuel-Fired Appliances ,Sentence 9.10.10.4.(1) does not apply to fireplaces and cooking appliances.,obc2019divb,Div B,9.10.10.4.(3),9.10.10.4. Appliances and Equipment to be Located in a Service ,Sentence (1) does not apply to fireplaces and cooking appliances.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.10.5.(2),Incinerators ,"The design, construction, installation and alteration of each indoor incinerator shall conform to NFPA 82-2014 Incinerators and Waste and Linen Handling Systems and Equipment",obc2019divb,Div B,9.10.10.5.(2),9.10.10.5. Incinerators ,"The design, construction, installation and alteration of each indoor incinerator shall conform to NFPA 82, ""Incinerators and Waste and Linen Handling Systems and Equipment"".",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.10.5.(3),Incinerators ,Every incinerator shall be connected to a chimney flue conforming to the requirements in part 9. and serving no other appliance.,obc2019divb,Div B,9.10.10.5.(3),9.10.10.5. Incinerators ,Every incinerator shall be connected to a chimney flue conforming to the requirements in Section 9.21. and serving no other appliance.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.11.2.(3),Firewalls Not Required ,"The wall described in Sentence (1) shall provide continuous protection from
the top of the footings to the underside of the roof deck.",obc2019divb,Div B,9.10.11.2.(2),9.10.11.2. Firewalls Not Required ,The wall described in Sentence (1) shall provide continuous protection from the top of the footings to the underside of the roof deck.,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.11.2.(4),Firewalls Not Required ,"Any space between the top of the wall described in Sentence (1) and the roof
deck shall be tightly filled with mineral wool or noncombustible material.",obc2019divb,Div B,9.10.11.2.(3),9.10.11.2. Firewalls Not Required ,Any space between the top of the wall described in Sentence (1) and the roof deck shall be tightly filled with mineral wool or noncombustible material. ,,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.12.1.(1),Termination of Floors or Mezzanines ,"Except as provided in Sentence 9.10.12.1.(2) and in Articles 9.10.1.3. and 9.10.9.5., the portions of a floor area or mezzanine that do not terminate at an exterior wall, a firewall or a vertical shaft, shall terminate at a vertical fire separation having a fire-resistance rating not less than that required for the floor assembly that terminates at the separation.",obc2019divb,Div B,9.10.12.1.(1),9.10.12.1. Termination of Floors or Mezzanines ,"Except as provided in Sentence (2) and in Articles 9.10.1.3. and 9.10.9.5., the portions of a floor area or mezzanine that do not terminate at an exterior wall, a firewall or a vertical shaft, shall terminate at a vertical fire separation having a fire-resistance rating not less than that required for the floor assembly that terminates at the separation.",,Common,No,,,,,,,,,,,
2015,ON,NBC,Div B,9.10.12.4.(1),Protection of Soffits ,"This Article applies to the portion of any soffit enclosing a projection that is less than 2.5 m vertically above a window or door, and less than 1.2 m from either side of the window or door.",obc2019divb,Div B,9.10.12.4.(1),9.10.12.4. Protection of Soffits ,"This Article applies to the portion of any soffit enclosing a projection that is,(a) less than 2.5 m vertically above a window or door, and (b) less than 1.2 m from either side of the window or door. (See Appendix A.) ",,Common,No,,,,,,,,,,,
