Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,National Article Title (FR),National Sentence Text (FR),P/T Document,P/T Division,P/T(Sentence(Number,P/T Article Title,P/T Sentence Text,P/T Article Title (FR),P/T Sentence Text (FR),Difference Type,Variation,Variation Label,Exception,Comments,Text Difference Tracked,Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,QC,NBC,Div B,1.2.1.1.(3),non-defined Terms,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3 to 9.",Termes non définis, Les solutions acceptables mentionnées dans la division B sont les dispositions décrites aux parties 3 à 9.,"qcc2019 (CNB2015modifierQC)_
proposer",Div B,1.2.1.1.(3),non-defined Terms,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3 to 11.",Termes non définis,Les solutions acceptables mentionnées dans la division B sont les dispositions décrites aux parties 3 à 9 11.,Common Sentence,Yes,,,,,,,,
2015,QC,NBC,Div B,3.1.10.2.(3),Rating of Firewalls,"Except as permitted by Sentence 3.1.10.2.(4), the required fire-resistance rating of a firewall, except for closures, shall be provided by masonry or concrete.",Degré de résistance au feu,"Sous réserve du paragraphe 4), le degré de résistance au feu exigé pour les murs coupe-feu, sauf dans le cas des dispositifs d'obturation, doit être assuré par de la maçonnerie ou du béton","qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.10.2.(3),Rating of Firewalls,"The required fire-resistance rating of a firewall, except for closures, shall be provided by masonry or concrete.",Degré de résistance au feu,"Sous réserve du paragraphe 4) Sauf dans le cas des dispositifs d’obturation, le degré de résistance au feu exigé pour les murs coupe-feu doit être assuré par de la maçonnerie ou du béton.Sous réserve du paragraphe 4), le degré de résistance au feu exigé pour les murs coupe-feu, sauf dans le cas des dispositifs d'obturation, doit être assuré par de la maçonnerie ou du béton.",Common Sentence,Yes,,,,,,,,
2015,QC,NBC,Div B,3.1.10.7.(2),Combustible Projections,"If buildings are separated by a firewall, combustible projections on the exterior of one building, including balconies, platforms, canopies, eave projections and stairs, that extend outward beyond the end of the firewall, shall not be permitted within 2.4 m of combustible projections and window or door openings of the adjacent building. (See also Article 3.2.3.6.) (See also Article 3.2.3.6.)",Éléments combustibles en saillie,"Si des bâtiments sont séparés par un mur coupe-feu, les éléments combustibles d'un bâtiment qui sont en saillie par rapport à l'extrémité du mur coupe-feu, y compris les balcons, paliers, auvents, débords de toit et escaliers, sont interdits à moins de 2,4 m des baies de portes ou de fenêtres et des éléments combustibles en saillie situés sur le bâtiment adjacent (voir l'article 3.2.3.6.).","qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.10.7.(2),Combustible Projections,"If buildings are separated by a firewall, combustible projections on the exterior of one building, including balconies, platforms, canopies, eave projections and stairs, that extend outward beyond the end of the firewall, shall not be permitted within 1.2 m of the centreline of the firewall. (See also Article 3.2.3.6.) (See also Article 3.2.3.6.)",Éléments combustibles en saillie,"Si des bâtiments sont séparés par un mur coupe-feu, les éléments combustibles d'un bâtiment qui sont en saillie par rapport à l'extrémité du mur coupe-feu, y compris les balcons, paliers, auvents, débords de toit et escaliers, sont interdits à moins de 2,4 m des baies de portes ou de fenêtres et des éléments combustibles en saillie situés sur le bâtiment adjacent 1,2 m de l’axe du mur coupe-feu (voir l'article 3.2.3.6.).",Common Sentence,Yes,,,,,,,,
2015,QC,NBC,Div B,3.1.11.5.(3),Fire Blocks in Horizontal Concealed Spaces,"Except as provided in Sentence 3.1.11.5.(4), in buildings conforming to Article 3.2.2.50.or 3.2.2.58., horizontal concealed spaces within a floor assembly or roof assembly of combustible construction shall be separated by construction conforming to Article 3.1.11.7. into compartments that are not more than 600 m2 in area with no dimension more than 60 m, if the exposed construction materials within the space have a flame-spread rating not more than 25, and not more than 300 m2 in area with no dimension more than 20 m, if the exposed construction materials within the space have a flame-spread rating more than 25. (See note A-3.1.11.5.(3).)",Pare-feu des vides de construction horizontaux,"Sous réserve du paragraphe 4), dans un bâtiment confnorme aux exigences de l’article 3.2.2.50. ou 3.2.2.58., les vides de construction horizontaux d'un plancher ou d'un toit de construction combustible doivent être divisés par une construction confnorme à l'article 3.1.11.7. en compartiments :a) d'au plus 600 m2 de surface, sans dimension supérieure à 60 m, si les matériaux de construction exposés à l'intérieur de ces vides ont un Indice de propagation de la flamme d'au plus 25; etb) d'au plus 300 m2 de surface, sans dimension supérieure à 20 m, si les matériaux de construction exposés à l'intérieur de ces vides ont un Indice de propagation de la flamme supérieur à 25.(Voir la note A-3.1.11.5. 3).)","qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.11.5.(3),Fire Blocks in Horizontal Concealed Spaces,"Except for crawl spaces conforming to Sentence 3.1.11.6.(1) and except as permitted by Sentence 3.1.11.5.(3), horizontal concealed spaces within a floor assembly or roof assembly of combustible construction, in which sprinklers are not installed, shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than 600 m2 in area with no dimension more than 60 m if the exposed construction materials within the space have a flame-spread rating not more than 25, and 300 m2 in area with no dimension more than 20 m if the exposed construction materials within the space have a flame-spread rating more than 25. (See note A-3.1.11.5.(1).)",Pare-feu des vides de construction horizontaux,"Les vides de construction horizontaux d’un plancher ou d’un toit dans un bâtiment confnorme à l’article 3.2.2.50. ou 3.2.2.58., doivent:a) être remplis d’isolant incombustible; oub) être protégés par gicleurs conformément à la norme NFPA 13, « Installation of Sprinkler Systems ».(Voir la note A-3.1.11.5. 3).)",Common Sentence,Yes,,,,,,,,
2015,QC,NBC,Div B,3.1.11.5.(4),Fire Blocks in Horizontal Concealed Spaces,Fire blocks conforming to Sentence 3.1.11.5.(3) are not required where the horizontal concealed space within the floor or roof assembly is entirely filled with noncombustible insulation such that any air gap between the top of the insulation and the floor or roof deck does not exceed 50 mm.,Pare-feu des vides de construction horizontaux,Des pare-feu confnormes au paragraphe 3) ne sont pas requis si le vide de construction horizontal d'un plancher ou d'un toit est entièrement rempli d'isolant.,"qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.11.5.(4),Fire Blocks in Horizontal Concealed Spaces,Horizontal concealed spaces within a floor assembly or roof assembly of a building conforming to Sentence 3.2.2.50.(3) or Sentence 3.2.2.57.(3) shall be entirely filled with noncombustible insulation; or sprinklered in conformance with NFPA 13-2013 Installation of Sprinkler Systems (See note A-3.1.11.5.(3).),Pare-feu des vides de construction horizontaux,Des pare-feu confnormes au paragraphe 3) ne sont pas requis si le vide de construction horizontal d'un plancher ou d'un toit est entièrement rempli d'isolant.,Common Sentence,Yes,,,,,,,,
2015,QC,NBC,Div B,3.1.13.11.(1),High Buildings,"1) The wall and ceiling surfaces of elevator cars shall have a flame-spread rating
not more than 75.",Cabines d'ascenseurs,1) Les parois et le plafond des cabines d'ascenseurs doivent avoir un indice de propagation de la flamme d'au plus 75.,"qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.13.11.(1),,,Cabines d'ascenseurs et de monte-charge,1) Les parois et le plafond des cabines d'ascenseurs et de monte-charges doivent avoir un indice de propagation de la flamme d'au plus 75.,Common Sentence,No,,,,,,,,
2015,QC,NBC,Div B,3.1.13.11.(2),High Buildings,"2) The wall, ceiling and floor surfaces of elevator cars shall have a smoke
developed classification not more than 450.",Cabines d'ascenseurs,1) Les parois et le plafond des cabines d'ascenseurs doivent avoir un indice de propagation de la flamme d'au plus 75.,"qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.13.11.(2),,,Cabines d'ascenseurs et de monte-charge,"2) Les parois, le plafond et le plancher des cabines d'ascenseurs et de monte-charges doivent avoir un indice de dégagement des fumées d'au plus 450.",Common Sentence,No,,,,,,,,
2015,QC,NBC,Div B,3.1.13.7.(2),High Buildings,"2) Except for a building of Group B major occupancy and elevator cars, the
flame-spread rating and smoke developed classification of interior wall, floor and ceiling
finishes need not conform to the values in Table 3.1.13.7., provided the building is
sprinklered.",Bâtiments de grande hauteur,"2) Sauf pour les bâtiments dont l'usage principal est du groupe B et pour les cabines d'ascenseur, il n'est pas obligatoire que l'Indice de propagation de la flamme et l'indice de dégagement des fumées des revêtements intérieurs de finition des murs, planchers et plafonds soient confnormes aux valeurs du tableau 3.1.13.7. si le bâtiment est protégé par gicleurs.","qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.13.7.(2),High Buildings,,Bâtiments de grande hauteur,"2) Sauf pour les bâtiments dont l'usage principal est du groupe B et pour les cabines d'ascenseur ou de monte-charge, il n'est pas obligatoire que l'Indice de propagation de la flamme et l'indice de dégagement des fumées des revêtements intérieurs de finition des murs, planchers et plafonds soient confnormes aux valeurs du tableau 3.1.13.7. si le bâtiment est protégé par gicleurs.",Common Sentence,No,,,,,,,,
2015,QC,NBC,Div B,3.1.15.2.(3),Roof Coverings,"Except as provided in Sentence 3.1.15.2.(4), roof coverings on buildings conforming to Article 3.2.2.50.or 3.2.2.58. shall have a Class A classification where the roof height is greater than 25 m measured from the floor of the first storey to the highest point of the roof.",Couvertures,"Sous réserve du paragraphe 4), la couverture des bâtiments confnormes à l’article 3.2.2.50. ou 3.2.2.58. doit être de classe A si la hauteur du toit, mesurée entre le plancher du premier étage et le point le plus haut du toit, est supérieure à 25 m.","qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.15.2.(3),Roof Coverings,"Where a building conforming to Sentence 3.2.2.50.(3) or Sentence 3.2.2.57.(3) has a rooftop terrace, the roof covering shall have a Class A classification.",Couvertures,"Lorsqu’une terrasse est aménagée sur la toiture d’un bâtiment confnorme au paragraphe 3.2.2.50. ou 3.2.2.58., la couverture de ce bâtiment doit être de classe A.Sous réserve du paragraphe 4), la couverture des bâtiments confnormes à l’article 3.2.2.50. ou 3.2.2.58. doit être de classe A si la hauteur du toit, mesurée entre le plancher du premier étage et le point le plus haut du toit, est supérieure à 25 m.",Common Sentence,Yes,,,,,,,,
2015,QC,NBC,Div B,3.1.3.1.(3),Separation of Major Occupancies,"In a building conforming to the requirements of Articles 3.2.8.2.to 3.2.8.8., the requirements of Sentence 3.1.3.1.(1) for fire separations between major occupancies do not apply at the vertical plane around the perimeter of an opening through the horizontal fire separation.",Séparation des usages principaux ,"Dans un bâtiment confnorme aux articles 3.2.8.2. à 3.2.8.8., les exigences du paragraphe 1) relatives à une séparation coupe-feu entre des usages principaux contigus ne s'appliquent pas à un plan de séparation vertical situé au pourtour d'une ouverture au travers d'une séparation coupe-feu horizontale.","qcc2019 (CNB2015modifierQC)_
proposer",Div B,3.1.3.1.(3),Separation of Major Occupancies,"In a building conforming to the requirements of Sentence 3.2.2.50.(3), the fire-resistance rating of the fire separation between a Group A, Division 2 major occupancy and a Group C major occupancy shall be 1 h 30 min.",Séparation des usages principaux ,"Dans le cas des bâtiments construits conformément à l’article 3.2.2.50., une séparation coupe-feu de 2 1 h 30est requise entre des usages principauxdu groupe C et du groupe A, division 2",Common Sentence,Yes,,,,,,,,
