Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Article Title (FR),National Sentence Number (FR),National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Article Title (FR),P/T Sentence Number (FR),P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,Code Part,Code Article,Code Section,Code Subsection,Code Sentence,National Sentence Text (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated,Code Type
2015.0,AB,NBC,Div B,1.1.2.1.(1),Attributions to Acceptable Solutions ,,,"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3.10., 4.5., 5.10., 6.4., 7.5., 8.3., 9.38., 10.8. and 11.3. (See Note A-1.1.2.1.(1).)",NBC AB2019,Div B,1.1.2.1.(1),Attributions to Acceptable Solutions ,,,"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3.10., 4.5., 5.10., 6.4., 7.5., 8.3., 9.38., 10.8. and 11.3. (See Note A-1.1.2.1.(1).)",,Common Sentence,No,,No,,1.0,1.1.2.1,1.1,1.1.2,1.1.2.1.(1),,,,,,,Building
2015.0,AB,NBC,Div B,1.1.4.1.(1),Fire Safety Plan ,,,"Where a fire safety plan is required, it shall conform to Section 2.8. of Division B of the NFC(AE).",NBC AB2019,Div B,1.1.4.1.(1),Fire Safety Plan ,,,"Where a fire safety plan is required, it shall conform to Section 2.8. of Division B of the NFC(AE).",,Common Sentence,No,,Yes,,1.0,1.1.4.1,1.1,1.1.4,1.1.4.1.(1),,,,,,,Building
2015.0,AB,NBC,Div B,1.2.1.1.(1),Non-defined Terms ,,,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",NBC AB2019,Div B,1.2.1.1.(1),Non-defined Terms ,,,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",,Common Sentence,Yes,,No,,1.0,1.2.1.1,1.2,1.2.1,1.2.1.1.(1),,,,,,,Building
2015.0,AB,NBC,Div B,,Non-defined Terms ,,,"For words not defined by Sentence 1.2.1.1.(1), reference should be made to the Oxford University Press June 2004 Canadian Oxford Dictionary, 2nd Edition",NBC AB2019,Div B,1.2.1.1.(4),Non-defined Terms ,,,"For words not defined by Sentence 1.2.1.1.(1), reference should be made to the Oxford University Press June 2004 Canadian Oxford Dictionary, 2nd Edition",,P/T Only,Yes,,No,,1.0,1.2.1.1,1.2,1.2.1,1.2.1.1.(4),,,,,,,Building
2015.0,AB,NBC,Div B,1.3.1.1.(1),Effective Date ,,,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 01 April 2019.",NBC AB2019,Div B,1.3.1.1.(1),Effective Date ,,,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 01 April 2019.",,Common Sentence,Yes,,No,,1.0,1.3.1.1,1.3,1.3.1,1.3.1.1.(1),,,,,,,Building
2015.0,AB,NBC,Div B,1.3.2.1.(1),Abbreviations of Proper Names ,,,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.AAMAAmerican Architectural Manufacturers Association (www.aamanet.org)ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)AHAMAssociation of Home Appliance Manufacturers (www.aham.org)AHRIAir-Conditioning, Heating and Refrigeration Institute (www.ahrinet.org)AISIAmerican Iron and Steel Institute (www.steel.org)ANSIAmerican National Standards Institute (www.ansi.org)APSPAssociation of Pool and Spa Professionals (www.apsp.org)ASCEAmerican Society of Civil Engineers (www.asce.org)ASHRAEAmerican Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) AWPAAmerican Wood Protection Association (www.awpa.com)BIABrick Industry Association (www.bia.org)BNQBureau de normalisation du Québec (www.bnq.qc.ca)CANNational Standard of Canada designation (The number or name following the CAN designation represents the agency under whose auspices the standard is issued.)CAN3 designates CSACAN4 designates ULCCCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMCCanadian Construction Materials Centre (www.nrc-cnrc.gc.ca/eng/solutions/advisory/ccmc_index.html)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFIACanadian Food Inspection Agency (www.inspection.gc.ca)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CHCCanadian Hydronics Council (www.ciph.com)CISCCanadian Institute of Steel Construction (www.cisc.ca)CMHCCanada Mortgage and Housing Corporation (www.cmhc.ca)CRCACanadian Roofing Contractors Association (www.roofingcanada.com)CSACSA Group (www.csagroup.org)CTICooling Technology Institute (www.cti.org)CWCCanadian Wood Council (www.cwc.ca)DOEDepartment of Energy (www.energy.gov)ECEnvironment Canada (www.ec.gc.ca)ECCEIFS Council of Canada (www.eifscouncil.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FEMAFederal Emergency Management Agency (www.fema.gov)FINAFédération Internationale de Natation Amateur (www.fina.org)FLLGerman Landscape Research, Development and Construction Society (www.fll.de/shop/english-publications.html)FPIFPInnovations Wood Products (formerly FCC Forintek Canada (www.fpinnovations.ca)FUSFire Underwriters Survey (www.fireunderwriters.ca)GRHCGreen Roofs for Healthy Cities (www.greenroofs.org)HCHealth Canada (www.hc-sc.gc.ca)HPVAHardwood Plywood &amp; Veneer Association (www.hpva.org)HRAIHeating, Refrigeration and Air Conditioning Institute of Canada (www.hrai.ca)HVIHome Ventilating Institute (www.hvi.org)IAPMOInternational Association of Plumbing and Mechanical Officials (www.iapmo.org)ICCInternational Code Council (www.iccsafe.org)IECInternational Electrotechnical Commission (www.iec.ch)ILBAInternational Log Builders Association (www.logassociation.org)ISOInternational Organization for Standardization (www.iso.org)NBCNational Building Code of Canada 2015 NBC(AE)National Building Code 2019 Alberta EditionNCMANational Concrete Masonry Association (www.ncma.org)NECBNational Energy Code of Canada for Buildings 2017NEMANational Electrical Manufacturers Association (www.nema.org)NFC(AE)National Fire Code 2019 Alberta EditionNFPANational Fire Protection Association (www.nfpa.org)NFRCNational Fenestration Rating Council (www.nfrc.org)NLGANational Lumber Grades Authority (www.nlga.org)NPCNational Plumbing Code of Canada 2015NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCANational Roofing Contractors Association (www.nrca.net)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)NRC-IRCNational Research Council, Institute for Research in Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)NSFNSF International (www.nsf.org)NYCDHNew York City Department of Health and Mental Hygiene (www.nyc.gov/health)OMMAHOntario Ministry of Municipal Affairs and Housing (www.mah.gov.on.ca)PHACPublic Health Agency of Canada (www.phac-aspc.gc.ca)SEIStructural Engineering Institute (www.asce.org/structural-engineering/ structural-engineering)SMACNASheet Metal and Air Conditioning Contractors National Association (www.smacna.org)SPRISingle Ply Roofing Industry (www.spri.org)TCTransport Canada (www.tc.gc.ca)TIACThermal Insulation Association of Canada (www.tiac.ca)TPICTruss Plate Institute of Canada (www.tpic.ca)TWCTarion Warranty Corporation (formerly Ontario New Home Warranty (www.tarion.com)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)WCLIBWest Coast Lumber Inspection Bureau (www.wclib.org)WWPAWestern Wood Products Association (www.wwpa.org)",NBC AB2019,Div B,1.3.2.1.(1),Abbreviations of Proper Names ,,,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.AAMAAmerican Architectural Manufacturers Association (www.aamanet.org)ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)AHAMAssociation of Home Appliance Manufacturers (www.aham.org)AHRIAir-Conditioning, Heating and Refrigeration Institute (www.ahrinet.org)AISIAmerican Iron and Steel Institute (www.steel.org)ANSIAmerican National Standards Institute (www.ansi.org)APSPAssociation of Pool and Spa Professionals (www.apsp.org)ASCEAmerican Society of Civil Engineers (www.asce.org)ASHRAEAmerican Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) AWPAAmerican Wood Protection Association (www.awpa.com)BIABrick Industry Association (www.bia.org)BNQBureau de normalisation du Québec (www.bnq.qc.ca)CANNational Standard of Canada designation (The number or name following the CAN designation represents the agency under whose auspices the standard is issued.)CAN3 designates CSACAN4 designates ULCCCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMCCanadian Construction Materials Centre (www.nrc-cnrc.gc.ca/eng/solutions/advisory/ccmc_index.html)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFIACanadian Food Inspection Agency (www.inspection.gc.ca)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CHCCanadian Hydronics Council (www.ciph.com)CISCCanadian Institute of Steel Construction (www.cisc.ca)CMHCCanada Mortgage and Housing Corporation (www.cmhc.ca)CRCACanadian Roofing Contractors Association (www.roofingcanada.com)CSACSA Group (www.csagroup.org)CTICooling Technology Institute (www.cti.org)CWCCanadian Wood Council (www.cwc.ca)DOEDepartment of Energy (www.energy.gov)ECEnvironment Canada (www.ec.gc.ca)ECCEIFS Council of Canada (www.eifscouncil.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FEMAFederal Emergency Management Agency (www.fema.gov)FINAFédération Internationale de Natation Amateur (www.fina.org)FLLGerman Landscape Research, Development and Construction Society (www.fll.de/shop/english-publications.html)FPIFPInnovations Wood Products (formerly FCC Forintek Canada (www.fpinnovations.ca)FUSFire Underwriters Survey (www.fireunderwriters.ca)GRHCGreen Roofs for Healthy Cities (www.greenroofs.org)HCHealth Canada (www.hc-sc.gc.ca)HPVAHardwood Plywood &amp; Veneer Association (www.hpva.org)HRAIHeating, Refrigeration and Air Conditioning Institute of Canada (www.hrai.ca)HVIHome Ventilating Institute (www.hvi.org)IAPMOInternational Association of Plumbing and Mechanical Officials (www.iapmo.org)ICCInternational Code Council (www.iccsafe.org)IECInternational Electrotechnical Commission (www.iec.ch)ILBAInternational Log Builders Association (www.logassociation.org)ISOInternational Organization for Standardization (www.iso.org)NBCNational Building Code of Canada 2015 NBC(AE)National Building Code 2019 Alberta EditionNCMANational Concrete Masonry Association (www.ncma.org)NECBNational Energy Code of Canada for Buildings 2017NEMANational Electrical Manufacturers Association (www.nema.org)NFC(AE)National Fire Code 2019 Alberta EditionNFPANational Fire Protection Association (www.nfpa.org)NFRCNational Fenestration Rating Council (www.nfrc.org)NLGANational Lumber Grades Authority (www.nlga.org)NPCNational Plumbing Code of Canada 2015NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCANational Roofing Contractors Association (www.nrca.net)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)NRC-IRCNational Research Council, Institute for Research in Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)NSFNSF International (www.nsf.org)NYCDHNew York City Department of Health and Mental Hygiene (www.nyc.gov/health)OMMAHOntario Ministry of Municipal Affairs and Housing (www.mah.gov.on.ca)PHACPublic Health Agency of Canada (www.phac-aspc.gc.ca)SEIStructural Engineering Institute (www.asce.org/structural-engineering/ structural-engineering)SMACNASheet Metal and Air Conditioning Contractors National Association (www.smacna.org)SPRISingle Ply Roofing Industry (www.spri.org)TCTransport Canada (www.tc.gc.ca)TIACThermal Insulation Association of Canada (www.tiac.ca)TPICTruss Plate Institute of Canada (www.tpic.ca)TWCTarion Warranty Corporation (formerly Ontario New Home Warranty (www.tarion.com)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)WCLIBWest Coast Lumber Inspection Bureau (www.wclib.org)WWPAWestern Wood Products Association (www.wwpa.org)",,Common Sentence,Yes,,No,,1.0,1.3.2.1,1.3,1.3.2,1.3.2.1.(1),,,,,,,Building
2015.0,AB,NBC,Div B,3.1.1.3.(1),,,,"For the purposes of this Part, the term ""storage tank"" shall mean a vessel for flammable liquids or combustible liquids having a capacity of more than 230 L and designed to be installed in a fixed location.",NBC AB2019,Div B,3.1.1.3.(1),-,,,,,National Only,Yes,,Yes,"Changes shown are correct. Note that this article was not deleted, it was reserved to retain numbering.",3.0,3.1.1.3,3.1,3.1.1,3.1.1.3.(1),,,,,,,Building
2015.0,AB,NBC,Div B,3.1.8.5.(6),Installation of Closures ,,,"A leakage-rated door assembly complying with Sentence 3.1.8.4.(4) shall be installed in fire separations in protected floor areas referred to in Sentence Clause 3.3.1.7.(1)(b), fire separations in care or treatment occupancies referred to in Sentence 3.3.3.5.(4), and firewalls that are a horizontal exit referred to in Sentence 3.3.3.5.(3).",NBC AB2019,Div B,3.1.8.5.(6),Installation of Closures ,,,"A leakage-rated door assembly complying with Sentence 3.1.8.4.(4) shall be installed in fire separations in protected floor areas referred to in Sentence Clause 3.3.1.7.(1)(b), fire separations in care or treatment occupancies referred to in Sentence 3.3.3.5.(4), and firewalls that are a horizontal exit referred to in Sentence 3.3.3.5.(3).",,Common Sentence,Yes,Part 3 Residential,Yes,,3.0,3.1.8.5,3.1,3.1.8,3.1.8.5.(6),,,,,,,Building
2015.0,AB,NBC,Div B,3.1.8.5.(8),,,,"A leakage-rated door assembly need not be installed where a dwelling unit served by a public corridor has a second and separate means of egress, or an open-air balcony that is sized to accommodate the number of occupants for which the dwelling unit is intended.",NBC AB2019,Div B,,,,,,,National Only,Yes,Part 3 Residential,No,,3.0,3.1.8.5,3.1,3.1.8,3.1.8.5.(8),,,,,,,Building
2015.0,AB,NBC,Div B,3.1.13.1.(1),"Interior Finishes, Furnishings and Decorative Materials ",,,"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.",NBC AB2019,Div B,3.1.13.1.(1),"Interior Finishes, Furnishings and Decorative Materials ",,,"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC(AE).",,Common Sentence,No,,Yes,,3.0,3.1.13.1,3.1,3.1.13,3.1.13.1.(1),,,,,,,Building
