Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Article Title (FR),National Sentence Number (FR),National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Article Title (FR),P/T Sentence Number (FR),P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,Code Part,Code Article,Code Section,Code Subsection,Code Sentence,National Sentence Text (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated,Code Type
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,,afc2019,Div B,1.3.1.2.(1),,,,AER Directive 055 Storage Requirements for the Upstream Petroleum Industry,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,ASME/CSA ASME A17.1-2010/CSAB44-10 Safety Code for Elevators and Escalators,afc2019,Div B,1.3.1.2.(1),,,,ASME/CSA ASME A17.1-2013/CSA B44-13 Safety Code for Elevators and Escalators,,Common Sentence,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,Govt. of Alberta Child Care Licensing Act and its Regulations,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,CFA PACEReport 87-1 Impressed Current Method of Cathodic Protection of Underground Storage Tanks,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,CSA B139-09 Installation Code for Oil-Burning Equipment,afc2019,Div B,1.3.1.2.(1),,,,CSA B139-15 Installation Code for Oil-Burning Equipment,,Common Sentence,No,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,"CSA C22.1-12 Canadian Electrical Code, Part I",afc2019,Div B,1.3.1.2.(1),,,,"CSA C22.1-18 Canadian Electrical Code, Part I",,Common Sentence,No,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,FM Global Data Sheet7-83 (2013) Drainage and Containment Systems for Ignitable Liquids,afc2019,Div B,1.3.1.2.(1),,,,FM Global Data Sheet 7-83 (2013) Drainage and Containment Systems for Ignitable Liquids,,Common Sentence,No,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,"HC S.C.2002, c. 28 Pest Control Products Act",afc2019,Div B,1.3.1.2.(1),,,,"HC S.C. 2002, c. 28 Pest Control Products Act",,Common Sentence,No,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,NFPA 101 2018 Life Safety Code,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,NFPA 1142-2017 Standard on Water Supplies for Suburban and Rural Fire Fighting,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,NFPA 13D-2016 Installation of Sprinkler Systems in One- and Two-Family Dwellings and Manufactured Homes,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,NFPA 13R-2013 Installation of Sprinkler Systems in Residential Occupancies up to and Including Four Stories in Height,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,"NFPA 1962-2018 Standard for the Care, Use, Inspection, Service Testing, and Replacement of Fire Hose, Couplings, Nozzles, and Fire Hose Appliances",,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,NFPA 2001-2018 Standard on Clean Agent Fire Extinguishing Systems,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,"NFPA 241-2019 Standard for Safeguarding Construction, Alteration, and Demolition Operations",,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,"NFPA NY-FPS-93 Fire Protection Systems: Inspection, Test and Maintenance Manual",,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,"NFPA 51B-2019 Standard for Fire Prevention During Welding, Cutting, and Other Hot Work",,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,NFPA 705-2013 Field Flame Test for Textiles and Films,afc2019,Div B,1.3.1.2.(1),,,,NFPA 705-2018 Recommended Practice for a Field Flame Test for Textiles and Films,,Common Sentence,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,NFPA 750-2019 Standard on Water Mist Fire Protection Systems,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,NFPA 96-2014 Ventilation Control and Fire Protection of Commercial Cooking Operations,afc2019,Div B,1.3.1.2.(1),,,,NFPA 96-2017 Ventilation Control and Fire Protection of Commercial Cooking Operations,,Common Sentence,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,CCBFC NRCC-CONST-56272E National Building Code of Canada 2015,,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,CCBFC NRCC 30619 National Building Code of Canada 1990,afc2019,Div B,1.3.1.2.(1),,,,CCBFC National Building Code of Canada 1990,,Common Sentence,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,CCBFC NRCC 47666 National Building Code of Canada 2005,afc2019,Div B,1.3.1.2.(1),,,,,,National Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,1.3.1.2.(1),,,,CCBFC NRCC 56190 National Building Code of Canada 2015,afc2019,Div B,1.3.1.2.(1),,,,CCBFC NRCC-CONST-56272E National Building Code of Canada 2015,,Common Sentence,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,"Oxford University Press June 2004 Canadian Oxford Dictionary, 2nd Edition",,P/T Only,Yes,,,,,,,,,,,,,,,Fire
2015.0,AB,NFC,Div B,,,,,,afc2019,Div B,1.3.1.2.(1),,,,"Govt. of Alberta R.S.A. 2000,ch. S-1 Safety Codes Act",,P/T Only,Yes,,,,,,,,,,,,,,,Fire
