Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,National Article Title (FR),National Sentence Text (FR),P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,P/T Article Title (FR),P/T Sentence Text (FR),Difference Type,Variation,Variation Label,Text Difference Tracked,Exception,Comments,Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(a)	 ""Act"" means the Buildings Accessibility Act ; ",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(b)	 ""architect"" means an architect registered in accordance with the Architects Act ; ",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(c) ""assembly occupancy"" means the occupancy or the use of a building or part of it by a gathering of persons for civic, political, travel, religious, social, educational, recreational or like purposes, or for the consumption of food or drink",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(d) ""barrier-free"" means that a building and its facilities can be approached, entered and used by persons with physical or sensory disabilities; ",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(e) ""building addition"" means an increase in the size of the building; ",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(f) ""curb ramp"" means a ramp cut in the sidewall having flared sides with the lower edge of the ramp blending to the common surface of the finished grade; ",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(g) ""existing building"" means a completed building or partially completed or proposed building for which plans have been approved and a permit issued before December 24, 1981 ; ",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(h) ""exit"" means that part of a means of egress, including doorways, that leads from the floor area it serves to a separate building, an open public thoroughfare or an exterior open space protected from fire exposure from the building and having access to an open public thoroughfare;",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(i) ""firewall"" means a type of fire separation of 0ncombustible construction which subdivides a building or separates adjoining buildings to resist the spread of fire and which has a fire-resistance rating as prescribed in the National Building Code of Canada 1990 and has structural stability to remain intact under fire conditions for the required fire-rated time; ",,,P/T Only,Yes,,,,,,,,
2015,NL,NBC,Div B,,,,,,R.2,,3.8.8.1.(1),Definitions ,"(j) ""first storey"" means the uppermost storey having its floor level 0t more than 2 metres above grade; ",,,P/T Only,Yes,,,,,,,,
