Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Sentence Text,National Article Title (FR),National Sentence Text (FR),P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Sentence Text,P/T Sentence Text (FR),Difference Type,Variation,Variation Label,Text Difference Tracked,P/T Article Title (FR),Exception,Comments,Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated
2015,NS,NPC,Div B,2.4.9.1.(1),No Reduction in Size," A soil-or-waste pipe shall be of a size not less than the size of
a) a vent pipe that is connected to it, or
b) the largest soil-or-waste pipe that drains into it.",,,nspc2015_divb,Div B,2.4.9.1.(1),No Reduction in Size,"Except as permitted in Sentence (3), no drainage pipe that is of minimum size required by this Part for the purpose for which it is installed shall be so connected as to drain to other drainage pipe of lesser size.  ",,Common Sentence,Yes,No Reduction in Size,,,,,,,,
2015,NS,NPC,Div B,,,,,,nspc2015_divb,Div B,2.4.9.1.(2),No Reduction in Size,"Where a building drain connects to a stack through a wall or floor, the drain shall retain its full size through the wall or floor.",,P/T Only,Yes,No Reduction in Size,,,,,,,,
2015,NS,NPC,Div B,,,,,,nspc2015_divb,Div B,2.4.9.1.(3),No Reduction in Size,"A sanitary drainage pipe may be connected to a pre-engineered waste water heat recovery system that incorporates piping of a lesser size than required by Sentence (1) if the drainage pipe does not convey sewage a) from a sanitary unit, or b) that contains solids.",,P/T Only,Yes,No Reduction in Size,,,,,,,,
2015,NS,NPC,Div B,,,,,,nspc2015_divb,Div B,2.6.1.6.(4),Flushing Devices," Sentence (3) does not apply to a fixture located in a heritage building, care or detention occupancy or passenger station.",,P/T Only,Yes,Flushing Devices,,,,,,,,
2015,NS,NPC,Div B,2.6.1.8.(1),Solar Domestic Hot Water Systems,"Systems for solar heating of potable water shall be installed in conformance with
CAN/CSA-F383, “Installation of Packaged Solar Domestic Hot Water Systems.”",,,nspc2015_divb,Div B,2.6.1.8.(2),Solar Domestic Hot Water Systems,"Systems for solar heating of potable water in residential occupancies shall be installed in conformance with CAN/CSA-F383, “Installation Code for Solar Domestic Hot Water Systems”.",,Common Sentence,Yes,Solar Domestic Hot Water Systems,,,,,,,,
2015,NS,NPC,Div B,,,,,,nspc2015_divb,Div B,2.6.1.8.(1),Solar Domestic Hot Water Systems," Except as provided in Sentence (2), a system for solar heating of potable water shall be installed in accordance with good engineering practice. ",,P/T Only,Yes,Solar Domestic Hot Water Systems,,,,,,,,
2015,PEI,NPC,Div B,2.2.5.10.(2),"Plastic Pipe, Fittings and Solvent Cement Used in Buildings","Requirements for combustible piping in relation to fire safety shall conform to Sentences 3.1.5.10.(1) and 9.10.9.6.(3) to (11), and Articles 3.1.9.5. and 9.10.9.7. of Division B of the NBC.",,,pepc2015_divb,Div B,,"Plastic Pipe, Fittings and Solvent Cement Used in Buildings",-,,National Only,Yes,Deletion,,,,,,,,
2015,PEI,NPC,Div B,2.2.5.10.(3),"Plastic Pipe, Fittings and Solvent Cement Used in Buildings","Where noncombustible piping pierces a fire separation or a fire stop, the requirements of fire stopping of Subsection 3.1.9., Sentances 9.10.9.6.(1) and Article 9.10.16.4. of Division B of the NBC shall apply.",,,pepc2015_divb,Div B,,"Plastic Pipe, Fittings and Solvent Cement Used in Buildings",-,,National Only,Yes,Deletion,,,,,,,,
2015,PEI,NPC,Div B,,Serving Water Closets,-,,,pepc2015_divb,Div B,2.4.9.2.(5),Serving Water Closets,"The minimum diameter of drainage pipe to be used underground shall be 2"".",,P/T Only,Yes,Addition,,,,,,,,
2015,BC,NPC,Div B,,,,,,bcpc2018_divb_terms,Div B,,,Alteration - means a change or extension to any matter or thing or to any occupancy regulated by this Code.,,P/T Only,Yes,,,,,,,,,
