Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Article Title (FR),National Sentence Number (FR),National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Article Title (FR),P/T Sentence Number (FR),P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,Code Part,Code Article,Code Section,Code Subsection,Code Sentence,National Sentence Text (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated,Code Type
2015.0,BC,NBC,Div B,1.1.2.1.(1),Attributions to Acceptable Solutions ,,,"For the purpose of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in 3.10., 4.5., 5.10., 6.4., 7.2., 8.3. and 9.37.(See Note A-1.1.2.1.(1).)",BCBC,Div B,1.1.2.1.(1), Attributions to Acceptable Solutions ,,,"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3.10., 4.5., 5.10., 6.4., 7.2., 8.3. and 9.38. and 10.3. (See Note A-1.1.2.1.(1).)",,Common Sentence,Yes,,,No material difference,1.0,1.1.2.1,1.1,1.1.2,1.1.2.1.(1),,,,,,,Building
2015.0,BC,NBC,Div B,1.1.3.1.(1),Climatic and Seismic Values ,,,"The climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence 1.1.3.1.(2) and the climatic and seismic values in Appendix C. (See Note A-1.1.3.1.(1).)",BCBC,Div B,1.1.3.1.(1), Climatic and Seismic Values ,,,"Except as required by Sentence 9.7.4.3.(2), the climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence (2) and the climatic and seismic values in Appendix C. (See Note A-1.1.3.1.(1).)",,Common Sentence,Yes,,,BC variation. We've created a new table for windows and doors.,1.0,1.1.3.1,1.1,1.1.3,1.1.3.1.(1),,,,,,,Building
2015.0,BC,NBC,Div B,,,,,,BCBC,Div B,1.1.3.3.(1),Soil Gas ,,,"Except as provided in Sentence (2), the geographical locations requiring rough-ins for a subfloor depressurization system conforming to Article 9.13.4.3 shall be those areas identified in Table C-4 in Appendix C.",,P/T Only,Yes,,,BC variation relating to radon.,1.0,1.1.3.3,1.1,1.1.3,1.1.3.3.(1),,,,,,,Building
2015.0,BC,NBC,Div B,,,,,,BCBC,Div B,1.1.3.3.(2),Soil Gas ,,,"In addition to those areas identified in Sentence (1), the authority having jurisdiction may identify additional geographical locations requiring rough-ins for a subfloor depressurization system conforming to Article 9.13.4.3. if data obtained by the authority having jurisdiction indicates the location is at an elevated risk of the presence of indoor radon levels exceeding Health Canada guidelines.",,P/T Only,Yes,,,BC variation relating to radon.,1.0,1.1.3.3,1.1,1.1.3,1.1.3.3.(2),,,,,,,Building
2015.0,BC,NBC,Div B,1.1.4.1.(1),Fire Safety Plan ,,,"Where a fire safety plan is required, it shall conform to Section 2.8. of Division B of the NFC.",BCBC,Div B,1.1.4.1.(1), Fire Safety Plan ,,,Fire safety plans shall conform to the British Columbia Fire Code.,,Common Sentence,Yes,,,BC variation. Possibly an oversight in NBC: fire safety plans aren't just addressed in s.2.8.,1.0,1.1.4.1,1.1,1.1.4,1.1.4.1.(1),,,,,,,Building
2015.0,BC,NBC,Div B,1.2.1.1.(3),Non-defined Terms ,,,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3 to 9.",BCBC,Div B,1.2.1.1.(3), Non-defined Terms ,,,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 3 to 10.",,Common Sentence,No,,,Not material. Part 10 is for energy efficiency and this is addressed in the NECB,1.0,1.2.1.1,1.2,1.2.1,1.2.1.1.(3),,,,,,,Building
2015.0,BC,NBC,Div B,1.3.1.1.(1),Effective Date ,,,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.",BCBC,Div B,1.3.1.1.(1), Effective Date ,,,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2014.",,Common Sentence,No,,,BC variation. Issue with an updated standard (steel storage racks).,1.0,1.3.1.1,1.3,1.3.1,1.3.1.1.(1),,,,,,,Building
2015.0,BC,NBC,Div B,1.3.2.1.(1),Abbreviations of Proper Names ,,,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.AAMAAmerican Architectural Manufacturers Association (www.aamanet.org)ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)AHAMAssociation of Home Appliance Manufacturers (www.aham.org)AHRIAir-Conditioning, Heating and Refrigeration Institute (www.ahrinet.org)AISIAmerican Iron and Steel Institute (www.steel.org)ANSIAmerican National Standards Institute (www.ansi.org)ASCEAmerican Society of Civil Engineers (www.asce.org)ASHRAEAmerican Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) AWPAAmerican Wood Protection Association (www.awpa.com)BIABrick Industry Association (www.bia.org)BNQBureau de normalisation du Québec (www.bnq.qc.ca)CANNational Standard of Canada designation (The number or name following the CAN designation represents the agency under whose auspices the standard is issued.)CAN3 designates CSACAN4 designates ULCCCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CHCCanadian Hydronics Council (www.ciph.com)CISCCanadian Institute of Steel Construction (www.cisc.ca)CMHCCanada Mortgage and Housing Corporation (www.cmhc.ca)CRCACanadian Roofing Contractors Association (www.roofingcanada.com)CSACSA Group (www.csagroup.org)CTICooling Technology Institute (www.cti.org)CWCCanadian Wood Council (www.cwc.ca)DOEDepartment of Energy (www.energy.gov)ECEnvironment Canada (www.ec.gc.ca)ECCEIFS Council of Canada (www.eifscouncil.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FEMAFederal Emergency Management Agency (www.fema.gov)FLLGerman Landscape Research, Development and Construction Society (www.fll.de/shop/english-publications.html)FPIFPInnovations Wood Products (formerly FCC Forintek Canada (www.fpinnovations.ca)GRHCGreen Roofs for Healthy Cities (www.greenroofs.org)HCHealth Canada (www.hc-sc.gc.ca)HPVAHardwood Plywood &amp; Veneer Association (www.hpva.org)HRAIHeating, Refrigeration and Air Conditioning Institute of Canada (www.hrai.ca)HVIHome Ventilating Institute (www.hvi.org)ICCInternational Code Council (www.iccsafe.org)IECInternational Electrotechnical Commission (www.iec.ch)ISOInternational Organization for Standardization (www.iso.org)NBCNational Building Code of Canada 2015NCMANational Concrete Masonry Association (www.ncma.org)NECBNational Energy Code of Canada for Buildings 2017NEMANational Electrical Manufacturers Association (www.nema.org)NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NFRCNational Fenestration Rating Council (www.nfrc.org)NLGANational Lumber Grades Authority (www.nlga.org)NPCNational Plumbing Code of Canada 2015NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCANational Roofing Contractors Association (www.nrca.net)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)NRC-IRCNational Research Council, Institute for Research in Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)NYCDHNew York City Department of Health and Mental Hygiene (www.nyc.gov/health)OMMAHOntario Ministry of Municipal Affairs and Housing (www.mah.gov.on.ca)SEIStructural Engineering Institute (www.asce.org/structural-engineering/structural-engineering)SMACNASheet Metal and Air Conditioning Contractors National Association (www.smacna.org)SPRISingle Ply Roofing Industry (www.spri.org)TCTransport Canada (www.tc.gc.ca)TIACThermal Insulation Association of Canada (www.tiac.ca)TPICTruss Plate Institute of Canada (www.tpic.ca)TWCTarion Warranty Corporation (formerly Ontario New Home Warranty (www.tarion.com)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)WCLIBWest Coast Lumber Inspection Bureau (www.wclib.org)WWPAWestern Wood Products Association (www.wwpa.org)",BCBC,Div B,1.3.2.1.(1), Abbreviations of Proper Names ,,,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article. AAMA...........American Architectural Manufacturers Association (www.aamanet.org) ACGIH..........American Conference of Governmental Industrial Hygienists (www.acgih.org) AHAM...........Association of Home Appliance Manufacturers (www.aham.org) AHRI.............Air-Conditioning, Heating and Refrigeration Institute (www.ahrinet.org) AISI...............American Iron and Steel Institute (www.steel.org) ANSI..............American National Standards Institute (www.ansi.org) ASCE............American Society of Civil Engineers (www.asce.org) ASHRAE......American Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org) ASME............American Society of Mechanical Engineers (www.asme.org) ASTM............American Society for Testing and Materials International (www.astm.org) AWPA...........American Wood Protection Association (www.awpa.com) BIA................Brick Industry Association (www.bia.org) BNQ..............Bureau de normalisation du Québec (www.bnq.qc.ca) CAN ..............National Standard of Canada designation (The number or name following the CAN designation represents the agency under whose auspices the standard is issued.) Division B 1-34 Division B: Acceptable Solutions CAN3 ........... designates CSA CAN4 ........... designates ULC CCBFC......... Canadian Commission on Building and Fire Codes (see CCME........... Canadian Council of Ministers of the Environment (www.ccme.ca) CGSB........... Canadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html) CHC.............. Canadian Hydronics Council (www.ciph.com) CISC............. Canadian Institute of Steel Construction (www.cisc.ca) CMHC........... Canada Mortgage and Housing Corporation (www.cmhc.ca) CoV............... City of Vancouver (www.vancouver.ca) CRCA........... Canadian Roofing Contractors Association (www.roofingcanada.com) CSA.............. CSA Group (www.csagroup.org) CTI................ Cooling Technology Institute (www.cti.org) CWC............. Canadian Wood Council (www.cwc.ca) DOE.............. Department of Energy (www.energy.gov) EC................. Environment Canada (www.ec.gc.ca) ECC.............. EIFS Council of Canada (www.eifscouncil.org) EPA .............. Environmental Protection Agency (U.S.) (www.epa.gov) FEMA........... Federal Emergency Management Agency (www.fema.gov) FLL............... German Landscape Research, Development and Construction Society (www.fll.de/shop/english-publications.html) FPI ................ FPInnovations Wood Products (formerly FCC Forintek Canada (www.fpinnovations.ca) GRHC........... Green Roofs for Healthy Cities (www.greenroofs.org) HC................. Health Canada (www.hc-sc.gc.ca) HPVA............ Hardwood Plywood &amp; Veneer Association (www.hpva.org) HRAI............. Heating, Refrigeration and Air Conditioning Institute of Canada (www.hrai.ca) HVI................ Home Ventilating Institute (www.hvi.org) ICC................ International Code Council (www.iccsafe.org) IEC................ International Electrotechnical Commission (www.iec.ch) ISO................ International Organization for Standardization (www.iso.org) NBC.............. National Building Code of Canada 2015 NCMA........... National Concrete Masonry Association (www.ncma.org) NECB........... National Energy Code of Canada for Buildings 2015 NEMA........... National Electrical Manufacturers Association (www.nema.org) NFPA............ National Fire Protection Association (www.nfpa.org) NFRC............ National Fenestration Rating Council (www.nfrc.org) NLGA........... National Lumber Grades Authority (www.nlga.org) NRC.............. National Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca) NRCA........... National Roofing Contractors Association (www.nrca.net) NRCan......... Natural Resources Canada (www.nrcan.gc.ca) NRC Const. NRC Construction (see (www.nrc.gc.ca/construction) NRC-IRC...... National Research Council, Institute for Research in Construction (former name of NRC NYCDH ........ New York City Department of Health and Mental Hygiene (www.nyc.gov/health) OMMAH....... Ontario Ministry of Municipal Affairs and Housing (www.mah.gov.on.ca) SMACNA..... Sheet Metal and Air Conditioning Contractors National Association (www.smacna.org) SPRI............. Single Ply Roofing Industry (www.spri.org) TC................. Transport Canada (www.tc.gc.ca) TECA.............Thermal Environmental Comfort Association (www.teca.ca) TIAC..............Thermal Insulation Association of Canada (www.tiac.ca) TPIC..............Truss Plate Institute of Canada (www.tpic.ca) TWC..............Tarion Warranty Corporation (formerly Ontario New Home Warranty (www.tarion.com) UL..................Underwriters Laboratories Inc. (www.ul.com) ULC...............ULC Standards (canada.ul.com/ulcstandards) USACE.........United States Army Corps of Engineers (www.erdc.usace.army.mil/Locations/CERL) WCLIB..........West Coast Lumber Inspection Bureau (www.wclib.org) WWPA..........Western Wood Products Association (www.wwpa.org)",,Common Sentence,No,,,Not material.,1.0,1.3.2.1,1.3,1.3.2,1.3.2.1.(1),,,,,,,Building
2015.0,BC,NBC,Div B,10.1.1.1.(1), Scope ,,,,BCBC,Div B,10.1.1.1.(1), Scope ,,,The scope of this Part shall be as described in Subsection 1.3.3. of Division A.,,P/T Only,Yes,,,BC variation for energy efficiency.,10.0,10.1.1.1,10.1,10.1.1,10.1.1.1.(1),,,,,,,Building
2015.0,BC,NBC,Div B,,,,,,BCBC,Div B,10.1.1.2.(1), Application ,,,The application of this Part shall be as described in Subsection 1.3.3. of Division A.,,P/T Only,Yes,,,BC variation for energy efficiency.,10.0,10.1.1.2,10.1,10.1.1,10.1.1.2.(1),,,,,,,Building
