Division,P/T Section ID,Section Number,P/T Subsection ID,Subsection Number,P/T Article Title,P/T Sentence Number,P/T Sentence Text
A,ep001005.1,1.1,ep001005.1.1,1.1.1,Application of this Code,es007168,"This Code applies to all new and existing buildings and facilities, and to building construction, renovation or demolition sites. (See en001080.)"
A,ep001005.1,1.1,ep001005.1.1,1.1.1,Application of this Code,es014875,"Part 4 of Division B of this Code does not apply to the storage of flammable liquids or combustible liquids on farms for individual farm use and on isolated construction projects (see en001822), the storage of aerosol products covered under ep001015.2.5, liquified petroleum gas-burning appliances and equipment within the scope of the gas regulations made pursuant to the rsa2000a, the production, storage or handling of liquified natural gas within the scope of the gas regulations made pursuant to the rsa2000a, liquids such as certain halogenated hydrocarbons and mixtures containing hydrocarbons which are without flash points, but which may be flammable under certain conditions, the storage and handling of raw production flammable liquids or combustible liquids and the incidental storage and handling of hydrocarbon-based chemicals resulting from or used during crude oil or natural gas exploration, production or transmission as mandated under the scope of aer-d055 or spills and leaks pertaining to products other than flammable liquids and combustible liquids that do not fall within the requirements of ep001016.3. (See en001823)."
A,ep001005.1,1.1,ep001005.1.1,1.1.1,Application of this Code,es005970,Secondary suites shall conform to the requirements of the Code in force at the time the permit was issued.
A,ep001005.2,1.2,ep001005.2.1,1.2.1,Compliance with this Code,es007176,"Compliance with this Code shall be achieved by complying with the applicable acceptable solutions in Division B (see en001087), or using alternative solutions that will achieve at least the minimum level of performance required by Division B in the areas defined by the objectives and functional statements attributed to the applicable acceptable solutions (see en001094)."
A,ep001005.2,1.2,ep001005.2.1,1.2.1,Compliance with this Code,es007177,"For the purposes of compliance with this Code as required in es007176b, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements referred to in ep001013.1.2."
A,ep001005.3,1.3,ep001005.3.1,1.3.1,Scope of Division A,es007252,"Division A contains the compliance and application provisions, objectives and functional statements of this Code."
A,ep001005.3,1.3,ep001005.3.1,1.3.1,Scope of Division B,es007253,Division B contains the acceptable solutions of this Code.
A,ep001005.3,1.3,ep001005.3.1,1.3.1,Scope of Division C,es007254,Division C contains the administrative provisions of this Code.
A,ep001005.3,1.3,ep001005.3.1,1.3.1,Internal Cross-references,es007255,"Where the Division of a referenced provision is not specified in this Code, it shall mean that the referenced provision is in the same Division as the referencing provision."
A,ep001005.3,1.3,ep001005.3.2,1.3.2,"Application of Parts 1, 2 and 3",es007169,"Parts 1, 2 and 3 of Division A apply to all buildings and facilities covered in this Code. (See ea004094)"
A,ep001005.3,1.3,ep001005.3.3,1.3.3,Application of Parts 1 to 6,es007170,Parts 1 to 6 of Division B apply to all buildings and facilities covered in this Code. (See ea004094)
A,ep001005.3,1.3,ep001005.3.3,1.3.3,Application of Part 7,es007171,Part 7 of Division B applies to high buildings as defined in the nrcc-nbcae23..
A,ep001005.3,1.3,ep001005.3.4,1.3.4,Application of Parts 1 and 2,es007172,Parts 1 and 2 of Division C apply to all buildings and facilities covered in this Code. (See ea004094)
A,ep001005.4,1.4,ep001005.4.1,1.4.1,Non-defined Terms,es008674,"Words and phrases used in this Code that are not included in the list of definitions in ea004241 shall have the meanings defined in the rsa2000a, or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies."
A,ep001005.4,1.4,ep001005.4.1,1.4.1,Non-defined Terms,es007260,"Where objectives and functional statements are referred to in this Code, they shall be the objectives and functional statements described in Parts 2 and 3."
A,ep001005.4,1.4,ep001005.4.1,1.4.1,Non-defined Terms,es007173,"Where acceptable solutions are referred to in this Code, they shall be the provisions stated in Parts 2 to 7 of Division B."
