ID,Division,Article Title,Sentence Number,Sentence Text
ID152,A,Scope of Division A,1.1.1.1.(1),Division A contains compliance and application provisions and the objectives and functional statements of this Code.
ID158,A,Scope of Division B,1.1.1.2.(1),Division B contains the acceptable solutions of this Code.
ID163,A,Scope of Division C,1.1.1.3.(1),Division C contains the administrative provisions of this Code.
ID167,A,Internal Cross-references,1.1.1.4.(1),"If a provision of this Code contains a reference to another provision of this Code but no Division is specified, both provisions are in the same Division of this Code. 1.1.2. Application of Division B"
ID175,A,"Application of Parts 1, 7 and 12",1.1.2.1.(1),Part 1 of Division B applies to all buildings.
ID178,A,"Application of Parts 1, 7 and 12",1.1.2.1.(2),"Subject to Article 1.1.2.6., Parts 7 and 12 of Division B apply to all buildings."
ID182,A,"Application of Parts 3, 4, 5 and 6",1.1.2.2.(1),"Subject to Articles 1.1.2.6. and 1.3.1.2., Parts 3, 5 and 6 of Division B apply to all buildings, (a) used for major occupancies classified as, (i) Group A, assembly occupancies, (ii) Group B, care, care and treatment or detention occupancies, or (iii) Group F, Division 1, high hazard industrial occupancies, (b) exceeding 600 m 2 in building area or exceeding three storeys in building height and used for major occupancies classified as, (i) Group C, residential occupancies, (ii) Group D, business and personal services occupancies, (iii) Group E, mercantile occupancies, (iv) Group F, Divisions 2 and 3, medium hazard industrial occupancies and low hazard industrial occupancies, or (c) used for retirement homes."
ID213,A,"Application of Parts 3, 4, 5 and 6",1.1.2.2.(2),"Subject to Articles 1.1.2.6. and 1.3.1.2., Part 4 of Division B applies to, (a) post-disaster buildings, (b) buildings described in Sentence (1), (c) a retaining wall exceeding 1 000 mm in exposed height adjacent to, (i) public property, (ii) access to a building, or (iii) private property to which the public is admitted, (d) a pedestrian bridge appurtenant to a building, (e) a crane runway, (f) an exterior storage tank and its supporting structure that is not regulated by the Technical Standards and Safety Act, 2000, (g) signs regulated by Section 3.15. of Division B that are not structurally supported by a building, (h) a structure that supports a wind turbine generator having a rated output of more than 3 kW, (i) an outdoor pool that has a water depth greater than 3.5 m at any point, and (j) a permanent solid nutrient storage facility with supporting walls exceeding 1 000 mm in exposed height."
ID236,A,"Application of Parts 3, 4, 5 and 6",1.1.2.2.(3),Section 3.11. of Division B applies to public pools.
ID239,A,"Application of Parts 3, 4, 5 and 6",1.1.2.2.(4),Section 3.12. of Division B applies to public spas.
ID242,A,"Application of Parts 3, 4, 5 and 6",1.1.2.2.(5),Section 3.15. of Division B applies to signs.
ID244,A,"Application of Parts 3, 4, 5 and 6",1.1.2.2.(6),Section 3.16A. of Division B applies to demountable stages and demountable support structures.
