DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.1.13.11.(1),Elevator Cars,The wall and ceiling surfaces of elevator cars shall have a flame-spread rating not more than 75.,3.0,1,13,11,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,6.2.1.2.(2),Outdoor Design Conditions,"Except as provided in Sentence 6.3.2.14.(1), the outdoor air quality conditions of the geographic area of the building site to be used in designing ventilation systems shall be equal to or less than the maximum acceptable levels stated in the Canada-wide Standards for Particulate Matter and Ozone as follows: a 24 hour average of 30 µg/m3 for particulate matter that is 2.5 µm or less in diameter (PM2.5), and an 8 hour average of 65 ppb for ground-level ozone.",6.0,2,1,2,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,4.1.6.4.(1),Specified Rain Load,"Except as provided in Sentence 4.1.6.4.(4), the specified load, S, due to the accumulation of rainwater on a surface whose position, shape and deflection under load make such an accumulation possible, is that resulting from the one-day rainfall determined in conformance with part 1. and applied over the horizontal projection of the surface and all tributary surfaces. (See Note A-4.1.6.4.(1).)",4.0,1,6,4,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.6.6.(2),Venting to Aid Firefighting,Fixed glass windows shall not be used for the venting required by Sentence 3.2.6.6. if the breaking of the windows could endanger pedestrians below.,3.0,2,6,6,2
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.27.10.3.(1),Panel Cladding,OSB and waferboard applied in panels shall have all edges supported and treated with a primer or sealer.,9.0,27,10,3,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.26.11.8.(1),Roofing over Wood-Based Sheathing,"Except as permitted in Sentence 9.26.11.8.(2), built-up roofing applied over wood, plywood, OSB or waferboard roof sheathing shall be laid over an additional base layer of felt laid dry over the entire roof deck with not less than a 50 mm headlap and a 50 mm sidelap between each sheet.",9.0,26,11,8,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,9.31.6.4.(1),Fuel-Burning Heaters,Fuel-burning service water heaters shall be connected to a chimney flue conforming to part 9.,9.0,31,6,4,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.2.4.23.(1),One-Way Voice Communication Systems,"Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under part 3., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.",3.0,2,4,23,1
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,3.6.5.5.(5),Insulation and Coverings,"No flame-spread rating or smoke developed classification limits are required for combustible insulation and coverings used on piping located within a concealed space in a wall, floor slab, or noncombustible enclosure.",3.0,6,5,5,5
B,AB,2015,NBC,Div B,EN,abc2019_divb,B,6.3.2.16.(1),"Evaporative Air Coolers, Misters, Atomizers,",The filter and water evaporation medium of every air washer and evaporative air cooler enclosed within a building shall be made of noncombustible material.,6.0,3,2,16,1
