DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.2.5.11.(3),3.2.5.11. Hose Stations ,Hose stations shall be located in the floor area within 5 m of exits and at other locations to provide coverage of the entire floor area.,3.0,2,5,11,3
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.23.9.8.(1),9.23.9.8. Support of Walls ,Non-loadbearing walls parallel to the floor joists shall be supported by joists beneath the wall or on blocking between the joists.,9.0,23,9,8,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.23.14.11.(6),9.23.14.11. Roof Trusses ,"Where the ability of a truss design to satisfy the requirements of Sentence is demonstrated by analysis, it shall be carried out in accordance with good engineering practice such as that described in TPIC 2014, ""Truss Design Procedures and Specifications for Light Metal Plate Connected Wood Trusses (Limit States Design).""",9.0,23,14,11,6
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.23.8.2.(1),9.23.8.2. Priming of Steel Beams ,Exterior steel beams shall be shop primed.,9.0,23,8,2,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.3.2.15.(1),3.3.2.15. Risers for Stairs ,"In a Group A, Division 2 occupancy used for the serving of food and beverages, an interior flight of stairs with fewer than 3 risers is permitted provided it is not less than 900 mm wide, is illuminated at all times that occupants are on the premises, and has a handrail on each side.",3.0,3,2,15,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.10.14.4.(3),9.10.14.4. Openings in Exposing Building Face ,"Except for buildings that are sprinklered and for openable windows having an unobstructed opening equal to 0.35 m2 installed in accordance with Sentences 9.9.10.1. and , where the limiting distance is 2 m or less, individual unprotected openings shall be no greater than the area stated in Table 9.10.14.4.-B, or where the limiting distance is equal to or greater than 1.2 m, the area calculated by Area 0.24 (2 LD – 1.2)² where Area = area of the unprotected opening, and LD = limiting distance.",9.0,10,14,4,3
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.2.2.72.(1),"3.2.2.72. Group F, Division 1, up to 2 Storeys, Sprinklered ","A building classified as Group F, Division 1 is permitted to conform to Sentence provided except as permitted by Sentences 3.2.2.7. and 3.2.2.18.(2), the building is sprinklered throughout, it is not more than 2 storeys in building height, and it hasa building area not more than 2 400m2 if 1 storey in building height, or 1 200m2 if 2 storeys in building height.",3.0,2,2,72,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.3.4.3.(2),3.3.4.3. Storage Rooms ,"Except as permitted by Sentence , a storage room referred to in Sentence shall be separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h.",3.0,3,4,3,2
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.3.2.4.(1),3.3.2.4. Fixed Seats ,"Except for the requirements of Article 3.3.2.8. for bench-type seats and except as required or permitted by Sentence and Articles 3.3.2.11. and 3.3.2.12., fixed seats in places of assembly shall be attached or secured to the floor, platform or platform riser, provided with arms and back, and arranged in rows having an unobstructed passage not less than 400 mm wide measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row in the unoccupied position.",3.0,3,2,4,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,4.1.6.7.(3),4.1.6.7. Areas Adjacent to Roof Projections ,"Where the longest horizontal dimension of the roof projection, l0, is less than 3 m, the drift surcharge adjacent to the projection need not be considered.",4.0,1,6,7,3
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.33.6.7.(6),9.33.6.7. Installation of Ducts and Plenums ,"Ducts in or beneath concrete slabs-on-ground shall be watertight and corrosion-, decay-, and mildew-resistant.",9.0,33,6,7,6
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.33.10.1.(1),9.33.10.1. Requirement for Venting ,"Except as provided in Articles 9.33.10.2. and 9.33.10.3., the products of combustion from oil-, gas- and solid-fuel-burning appliances, including stoves, cooktops, ovens and space heaters, shall be vented in conformance with the applicable appliance installation standard listed in Sentences 9.33.5.2. and 9.33.5.3.(1).",9.0,33,10,1,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.33.5.2.(1),9.33.5.2. Installation Standards ,"Except as provided in Articles 9.33.5.3. and 9.33.5.4., the installation of heating and air-conditioning equipment, including mechanical refrigeration equipment, and including provisions for mounting, clearances and air supply, shall conform to the Safety Standards Act and the following of its regulations: the Gas Safety Regulation, the Electrical Safety Regulation, and the Power Engineers, Boiler, Pressure Vessel and Refrigeration Safety Regulation, CSA B139, ""Installation Code for Oil-Burning Equipment,"" and CSA C448 Series, ""Design and Installation of Earth Energy Systems."" (See also Sentence 9.33.5.3.(1).)",9.0,33,5,2,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.13.2.3.(4),9.13.2.3. Preparation of Surface ,Unit masonry walls to be dampproofed shall be parged on the exterior face below ground level with not less than 6 mm of mortar conforming to Section 9.20. coved over the footing.,9.0,13,2,3,4
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,1.3.2.1.(1),1.3.2.1. Abbreviations of Proper Names ,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article. AAMA...........American Architectural Manufacturers Association (www.aamanet.org) ACGIH..........American Conference of Governmental Industrial Hygienists (www.acgih.org) AHAM...........Association of Home Appliance Manufacturers (www.aham.org) AHRI.............Air-Conditioning, Heating and Refrigeration Institute (www.ahrinet.org) AISI...............American Iron and Steel Institute (www.steel.org) ANSI..............American National Standards Institute (www.ansi.org) ASCE............American Society of Civil Engineers (www.asce.org) ASHRAE......American Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org) ASME............American Society of Mechanical Engineers (www.asme.org) ASTM............American Society for Testing and Materials International (www.astm.org) AWPA...........American Wood Protection Association (www.awpa.com) BIA................Brick Industry Association (www.bia.org) BNQ..............Bureau de normalisation du Québec (www.bnq.qc.ca) CAN ..............National Standard of Canada designation (The number or name following the CAN designation represents the agency under whose auspices the standard is issued.) Division B 1-34 Division B: Acceptable Solutions CAN3 ........... designates CSA CAN4 ........... designates ULC CCBFC......... Canadian Commission on Building and Fire Codes (see CCME........... Canadian Council of Ministers of the Environment (www.ccme.ca) CGSB........... Canadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html) CHC.............. Canadian Hydronics Council (www.ciph.com) CISC............. Canadian Institute of Steel Construction (www.cisc.ca) CMHC........... Canada Mortgage and Housing Corporation (www.cmhc.ca) CoV............... City of Vancouver (www.vancouver.ca) CRCA........... Canadian Roofing Contractors’ Association (www.roofingcanada.com) CSA.............. CSA Group (www.csagroup.org) CTI................ Cooling Technology Institute (www.cti.org) CWC............. Canadian Wood Council (www.cwc.ca) DOE.............. Department of Energy (www.energy.gov) EC................. Environment Canada (www.ec.gc.ca) ECC.............. EIFS Council of Canada (www.eifscouncil.org) EPA .............. Environmental Protection Agency (U.S.) (www.epa.gov) FEMA........... Federal Emergency Management Agency (www.fema.gov) FLL............... German Landscape Research, Development and Construction Society (www.fll.de/shop/english-publications.html) FPI ................ FPInnovations – Wood Products (formerly FCC – Forintek Canada (www.fpinnovations.ca) GRHC........... Green Roofs for Healthy Cities (www.greenroofs.org) HC................. Health Canada (www.hc-sc.gc.ca) HPVA............ Hardwood Plywood &amp; Veneer Association (www.hpva.org) HRAI............. Heating, Refrigeration and Air Conditioning Institute of Canada (www.hrai.ca) HVI................ Home Ventilating Institute (www.hvi.org) ICC................ International Code Council (www.iccsafe.org) IEC................ International Electrotechnical Commission (www.iec.ch) ISO................ International Organization for Standardization (www.iso.org) NBC.............. National Building Code of Canada 2015 NCMA........... National Concrete Masonry Association (www.ncma.org) NECB........... National Energy Code of Canada for Buildings 2015 NEMA........... National Electrical Manufacturers Association (www.nema.org) NFPA............ National Fire Protection Association (www.nfpa.org) NFRC............ National Fenestration Rating Council (www.nfrc.org) NLGA........... National Lumber Grades Authority (www.nlga.org) NRC.............. National Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca) NRCA........... National Roofing Contractors Association (www.nrca.net) NRCan......... Natural Resources Canada (www.nrcan.gc.ca) NRC Const. NRC Construction (see (www.nrc.gc.ca/construction) NRC-IRC...... National Research Council, Institute for Research in Construction (former name of NRC NYCDH ........ New York City Department of Health and Mental Hygiene (www.nyc.gov/health) OMMAH....... Ontario Ministry of Municipal Affairs and Housing (www.mah.gov.on.ca) SMACNA..... Sheet Metal and Air Conditioning Contractors’ National Association (www.smacna.org) SPRI............. Single Ply Roofing Industry (www.spri.org) TC................. Transport Canada (www.tc.gc.ca) TECA.............Thermal Environmental Comfort Association (www.teca.ca) TIAC..............Thermal Insulation Association of Canada (www.tiac.ca) TPIC..............Truss Plate Institute of Canada (www.tpic.ca) TWC..............Tarion Warranty Corporation (formerly Ontario New Home Warranty (www.tarion.com) UL..................Underwriters Laboratories Inc. (www.ul.com) ULC...............ULC Standards (canada.ul.com/ulcstandards) USACE.........United States Army Corps of Engineers (www.erdc.usace.army.mil/Locations/CERL) WCLIB..........West Coast Lumber Inspection Bureau (www.wclib.org) WWPA..........Western Wood Products Association (www.wwpa.org)",1.0,3,2,1,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.9.12.3.(6),9.9.12.3. Emergency Lighting ,"Where incandescent lighting is provided, lighting equal to 1 W/m2 of floor area shall be considered to meet the requirement in Sentence .",9.0,9,12,3,6
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.10.17.11.(1),9.10.17.11. Walls and Ceilings in Bathrooms ,The interior finish of walls and ceilings in bathrooms within suites of residential occupancy shall have a surface flame-spread rating of not more than 200.,9.0,10,17,11,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.10.18.2.(1),9.10.18.2. Fire Alarm System Required ,"Except as permitted in Sentences and , a fire alarm system shall be installed in buildings in which a sprinkler system is required by this Part.",9.0,10,18,2,1
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,6.3.1.4.(5),6.3.1.4. Ventilation of Storage Garages ,"Except as provided in Sentence , ticket and attendant booths of storage garages shall be pressurized with a supply of uncontaminated air.",6.0,3,1,4,5
