DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,3.2.3.1.(10),3.2.3.1. Limiting Distance and Area of Unprotected Openings,"Unless a closure used to protect an opening in an exposing building face has a protective performance equivalent to that required for the wall assembly in which it is located, an equivalent area of unprotected opening, determined in accordance with the procedures of Sentence shall be added to the greater of, the actual area of unprotected openings, or the corrected area of unprotected openings.",3.0,2,3,1,10
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,3.2.3.6.(2),3.2.3.6. Combustible Projections,"Except as provided in Sentence (3.1), where the exposing building face has a limiting distance of not more than 0.45 m, projecting roof soffits shall not be constructed above the exposing building face. (See Appendix A.)",3.0,2,3,6,2
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,3.2.3.6.(4),3.2.3.6. Combustible Projections,"Where roof soffits project to less than 1.2 m from the centre line of a lane or public thoroughfare or from an imaginary line between two buildings or fire compartments on the same property, they shall, have no openings, and be protected by, not less than 0.38 mm thick sheet steel, unvented aluminum conforming to CAN/CGSB-93.2-M, ""Prefinished Aluminum Siding, Soffits and Fascia, for Residential Use"", not less than 12.7 mm thick gypsum soffit board or gypsum ceiling board installed according to CSA A82.31 M, ""Gypsum Board Application"", not less than 11 mm thick plywood, not less than 12.5 mm thick OSB or waferboard, or not less than 11 mm thick lumber.",3.0,2,3,6,4
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.27.3.1.(1),9.27.3.1. Elements of the Second Plane of Protection  (See,The second plane of protection shall consist of a drainage plane with appropriate inner boundary and flashing to dissipate rainwater to the exterior.,9.0,27,3,1,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.23.15.7.(1),9.23.15.7. Thickness or Rating,The thickness or rating of roof sheathing on a flat roof used as a walking deck shall conform to either Table 9.23.14.5.A. or Table 9.23.14.5.B. for subfloors.,9.0,23,15,7,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.27.8.1.(1),9.27.8.1. Material Standards,"Plywood cladding shall be exterior type conforming to, ANSI/HPVA HP-1, ""Hardwood and Decorative Plywood"", CSA O121, ""Douglas Fir Plywood"", CSA O151, ""Canadian Softwood Plywood"", or CSA O153, ""Poplar Plywood"".",9.0,27,8,1,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.26.9.8.(1),9.26.9.8. Eave Protection,Eave protection shall conform to Subsection 9.26.5.,9.0,26,9,8,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.30.1.1.(1),9.30.1.1. Required Finish Flooring,Finished flooring shall be provided in all residential occupancies.,9.0,30,1,1,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.22.9.3.(2),9.22.9.3. Clearance to Combustible Framing,"Not less than a 50 mm clearance shall be provided between the back and sides of the smoke chamber of a solid fuel-burning fireplace and combustible framing, except that a 25 mm clearance is permitted where the fireplace is located in an exterior wall.",9.0,22,9,3,2
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.15.5.3.(2),9.15.5.3. Pilasters,Pilasters required in Sentence shall be not less than 90 mm by 290 mm and shall be bonded or tied into the wall.,9.0,15,5,3,2
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.32.3.4.(2),9.32.3.4. Principal Exhaust,"Except as permitted in Sentence , the principal exhaust fan shall be controlled by a manual switch.",9.0,32,3,4,2
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,3.3.1.24.(1),3.3.1.24. Welding and Cutting,"Except as provided in Sentence , welding and cutting operations shall be located in a room, separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h, or protected by an automatic fire extinguishing system.",3.0,3,1,24,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.18.5.1.(4),9.18.5.1. Drainage,Drains shall conform to Section 9.14.,9.0,18,5,1,4
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,7.2.3.1.(1),7.2.3.1. Traps,"Except as provided for in Sentence , every trap shall, have a trap seal depth of at least 38 mm, be so designed that failure of the seal walls will cause exterior leakage, and have a water seal that does not depend on the action of moving parts.",7.0,2,3,1,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,6.2.9.5.(1),6.2.9.5. Protection,"Where a pipe carrying steam or hot water at a temperature above 120°C passes through a combustible floor, ceiling or wall, the construction shall be protected by a sleeve of metal or other noncombustible material not less than 50 mm larger in diameter than the pipe.",6.0,2,9,5,1
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,7.4.8.1.(1),7.4.8.1. Minimum Slope,"Except as provided in Sentences and , every drainage pipe that has a size of 3 in. or less shall have a downward slope in the direction of flow of at least 1 in 50.",7.0,4,8,1,1
