Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Article Title (FR),National Sentence Number (FR),National Sentence Text,P/T Document,Matched P/T Division,Matched P/T Sentence Number,Matched P/T Article Title,Matched P/T Article Title (FR),Matched P/T Sentence Number (FR),Matched P/T Sentence Text,Text Difference Tracked,Difference Type,Variation?,Variation Label,Exception?,Comments,Code Part,Code Article,Code Section,Code Subsection,Code Sentence,National Sentence Text (FR),Matched P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated?,Exception Updated?,Variation Updated?
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.1.(1),Fire Separations 2h,"Except for F1 occupancies, 1 h fire separation is acceptable, if the building is fully sprinklered.",,,,P/T Only,Yes,,,,10,10.1.1.1,10.1,10.1.1,10.1.1.1.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.2.(1),Fire Separations 1h,½ h fire separation is acceptable if the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.2,10.1,10.1.1,10.1.1.2.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.3.(1),Non-combustible Construction,Roofs may be of combustible construction provided the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.3,10.1,10.1.1,10.1.1.3.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.3.(2),Non-combustible Construction,Up to 10% gross floor area to a maximum of 10% of any one floor area may be of combustible construction provided the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.3,10.1,10.1.1,10.1.1.3.(2),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.4.(1),Fire-resistance Rating,"A fire-resistance rating may also be used based on: HUD No. 8 Guideline on Fire Ratings of Archaic Materials and Assemblies. Fire Endurance of Protected Steel Columns and Beams, DBR Technical Paper No. 194. Fire Endurance of Unit Masonry Walls, DBR Technical Paper No. 207. Fire Endurance of Light-Framed and Miscellaneous Assemblies, DBR Technical Paper No. 222.",,,,P/T Only,Yes,,,,10,10.1.1.4,10.1,10.1.1,10.1.1.4.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.5.(1),Rating of Supporting Construction,Supporting assemblies that use heavy timber construction are permitted to have a fire resistance rating less than would be required by the Code provided the building is fully sprinklered; and does not exceed 5 stories in building height.,,,,P/T Only,Yes,,,,10,10.1.1.5,10.1,10.1.1,10.1.1.5.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.6.(1),Continuity of Fire Separations,Fire separations are not required to be continuous above the ceiling space where the ceiling space is non-combustible construction; both fire compartments are sprinklered; or the ceiling has a minimum fire resistance rating of 30 minutes.,,,,P/T Only,Yes,,,,10,10.1.1.6,10.1,10.1.1,10.1.1.6.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.7.(1),Wired Glass,"For fixed transoms or sidelights, 6 mm wired glass fixed to a wood frame of at least 50 mm thickness with steel stops is permitted in a required fire separation.",,,,P/T Only,Yes,,,,10,10.1.1.7,10.1,10.1.1,10.1.1.7.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.8.(1),Mezzanines,Mezzanines may enclose up to 20% above the horizontal plane and not be considered a storey in building height if the building is fully sprinklered.,,,,P/T Only,Yes,,,,10,10.1.1.8,10.1,10.1.1,10.1.1.8.(1),,,,,,
2015,PE,NBC,Div B,,,,,,NBC PEI2015,Div B,10.1.1.9.(1),Spatial Separation,"The area of unprotected opening is not limited provided: the exterior walls have a interior thermo barrier of 12.7 mm, thick gypsum board or lath and plaster in good condition; the limiting distance is a minimum 1 m; the entire building has a supervised sprinkler system in conformance with Sentence 3.2.4.9.(2),(Part 3, Division B); and the sprinkler system is connected to the fire department in conformance with Sentence 3.2.4.7.(4). (Part 3, Division B).",,,,P/T Only,Yes,,,,10,10.1.1.9,10.1,10.1.1,10.1.1.9.(1),,,,,,
