Code Year,Province/Territory,Code Book,National Division,National Sentence Number,National Article Title,National Article Title (FR),National Sentence Number (FR),National Sentence Text,P/T Document,P/T Division,P/T Sentence Number,P/T Article Title,P/T Article Title (FR),P/T Sentence Number (FR),P/T Sentence Text,Text Difference Tracked,Difference Type,Variation,Variation Label,Exception,Comments,Code Part,Code Article,Code Section,Code Subsection,Code Sentence,National Sentence Text (FR),P/T Sentence Text (FR),Text Difference Tracked (FR),Difference Type Updated,Exception Updated,Variation Updated,Code Type
2015.0,ON,NECB,Div B,1.3.1.2.(1),1.3.1.2. Applicable Editions,,,"Where documents are referenced in this Code, they shall be the editions designated in Table 1.3.1.2. (See also Note A-1.5.1.1. of Division A.)",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,1.3.2.1.(1),1.3.2.1. Abbreviations of Proper Names,,,The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.,obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.1.1.5.(3),3.1.1.5. Thermal Characteristics of Building Assemblies,,,"Except as provided in Sentence , the overall thermal transmittance of fenestration and doors shall be determined for the reference sizes listed in accordance with CSA A440.2/A440.3, Fenestration Energy Performance/User Guide to CSA A440.2-14, Fenestration Energy Performance, or NFRC 100, Determining Fenestration Product U-factors.",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,1.1.1.6.(8),"1.1.1.6. Enhancements to Division B, Part 3 Building Envelope of the 2015 NECB",,,"Thermal characteristics of fenestration are permitted to be determined in conformance with;  CAN/CSA-A440.2, Fenestration Energy Performance , or  NFRC 100, Procedure for Determining Fenestration Product U-factors and NFRC 200, Procedure for Determining Fenestration Product Solar Heat Gain Coefficient and Visible Transmittance at Normal Incidence .",,Common Sentence,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.1.1.5.(5),3.1.1.5. Thermal Characteristics of Building Assemblies,,,"The thermal characteristics of building assemblies other than fenestration and doors shall be determined from calculations carried out using the procedures described in the ASHRAE Handbook Fundamentals, or ISO 14683, Thermal bridges in building construction Linear thermal transmittance Simplified methods and default values, (see Note A-3.1.1.5.(5)(a)), two- or three-dimensional thermal modeling, or laboratory tests performed in accordance with ASTM C 1363, Thermal Performance of Building Materials and Envelope Assemblies by Means of a Hot Box Apparatus, using an indoor air temperature of 21±1°C and an outdoor air temperature of 18±1°C.",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.1.1.7.(1),3.1.1.7. Calculation of Overall Thermal Transmittance,,,"In calculating the overall thermal transmittance of assemblies for purposes of comparison with the provisions in Section 3.2., the effect of thermal bridging shall be considered for closely spaced repetitive structural members, such as studs and joists, and ancillary members, such as lintels, sills and plates, major structural elements that penetrate or intersect the building envelope (see Note A-3.1.1.7.(1)(b)), the junctions between the following building envelope materials, components, and assemblies: glazing assemblies, spandrels, parapets, roof-to-wall junctions, corners, and edges of walls or floors, and secondary structural members (see Note A-3.1.1.7.(1)(d)).",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.1.1.7.(2),3.1.1.7. Calculation of Overall Thermal Transmittance,,,"In calculating the overall thermal transmittance of assemblies for purposes of comparison with the provisions in Section 3.2., pipes, ducts, equipment with through-the-wall venting, packaged terminal air conditioners or heat pumps need not be taken into account. (See Note A-3.1.1.7.(2).)",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.1.1.7.(3),3.1.1.7. Calculation of Overall Thermal Transmittance,,,"In calculating the overall thermal transmittance of assemblies for purposes of comparison with the provisions in Section 3.2., fasteners need not be taken into account.",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.1.1.7.(7),3.1.1.7. Calculation of Overall Thermal Transmittance,,,"For the purposes of this Article, wall assemblies shall be considered to include all related structural framing and perimeter areas of intersecting interior walls.",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,Thermal Bridging,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.2.1.3.(1),3.2.1.3. Spaces Heated to Different Temperatures,,,"The overall thermal transmittance, U1, of building assemblies separating conditioned spaces that are intended to be heated to temperatures that differ by more than 10°C shall not be greater than that obtained with the following equation: where t1 = indoor heating design temperature of the colder conditioned space, in °C, t2 = indoor heating design temperature of the warmer conditioned space, in °C, t0 = outdoor 2.5% January design temperature as specified in Article 1.1.4.1., in °C, and U =overall thermal transmittance required in Sentences 3.2.2.2.(1), 3.2.2.3. and 3.2.2.4.(1), in W/(m2·K). (See Note A-3.2.1.3.(1).)",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
2015.0,ON,NECB,Div B,3.2.1.4.(1),3.2.1.4. Allowable Fenestration and Door Area,,,"The maximum allowable total vertical fenestration and door area to gross wall area ratio (FDWR), determined in accordance with Article 3.1.1.6., shall be as follows: where HDD = the heating degree-days of the location of the building determined according to Sentence 1.1.4.1.(1). (See Note A-3.2.1.4.(1).)",obc2019_SB-10_Div3_Ch3,obc2019_SB-10_Div3_Ch3,,,,,,,National Only,Yes,,,,,,,,,,,,,,,Energy
