Variation Sentence Number,Variation Sentence,Full Code Sentence,Similarity,Added
3.8.3.11.(1),"Water-closet stalls and enclosures required by Sentence 3.8.2.8. shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Clause 3.8.3.8.(1)(b), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet.","Water-closet stalls and enclosures required by Sentence 3.8.2.8. shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Clause 3.8.3.8.(1)(b), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet. (See Note A-3.8.3.12.)",0.9941176470588236,True
3.7.2.9.(1),"Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Sentence 3.8.3.8.(1), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.","Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.",0.9931506849315068,True
2.8.2.4.(1),"In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Sentence 2.8.2.4.(1), and the procedures established to facilitate fire department access to the building and fire location within the building.","In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Clause 2.8.2.4.(1)(c), and the procedures established to facilitate fire department access to the building and fire location within the building.",0.9914529914529915,True
5.6.3.7.(1),"During construction and in addition to the means of access required by Sentences 5.6.1.4. and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the NBC, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), , , , , and  of Division B of the NBC, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.","During construction and in addition to the means of access required by Sentences 5.6.1.4.(2)and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the NBC, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), , , , , and  of Division B of the NBC, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.",0.9911504424778761,True
3.8.2.7.(1),"Except as provided in Sentences 3.8.2.7. and 3.8.2.7.(3), every door that provides a barrier-free path of travel through an entrance referred to in Article 3.8.2.2., including the interior doors of a vestibule where provided, shall be equipped with a power door operator that complies with Subsection 3.8.3. and allows persons to activate the opening of the door in the intended direction of travel, where the entrance serves a hotel, a building of Group B, Division 2 major occupancy, or a building of Group A, Group B, Division 3, Group D or E major occupancy more than 500 m2 in building area.","Except as provided in Sentences 3.8.2.7.(2)and 3.8.2.7.(3), every door that provides a barrier-free path of travel through an entrance referred to in Article 3.8.2.2., including the interior doors of a vestibule where provided, shall be equipped with a power door operator that complies with Subsection 3.8.3. and allows persons to activate the opening of the door in the intended direction of travel, where the entrance serves a hotel, a building of Group B, Division 2 major occupancy, or a building of Group A, Group B, Division 3, Group D or E major occupancy more than 500 m2 in building area.",0.9900990099009901,True
3.8.2.3.(2),"A barrier-free path of travel for persons in wheelchairs is not required to service rooms, to elevator machine rooms, to janitor s rooms, to service spaces, to crawl spaces, to attic or roof spaces, to floor levels not served by a passenger elevator, a platform-equipped passenger-elevating device, an escalator, or an inclined moving walk, to high-hazard industrial occupancies, within portions of a floor area with fixed seats in an assembly occupancy where those portions are not part of the barrier-free path of travel to spaces designated for wheelchair use, within floor levels of a suite of residential occupancy that are not at the same level as the entry level to the suite, within a suite of residential occupancy that has not been designated by an authority having jurisdiction to be accessible for use by persons with physical disabilities, or within those parts of a floor area that are not at the same level as the entry level, provided amenities and uses provided on any raised or sunken level are accessible on the entry level by means of a barrier-free path of travel.","A barrier-free path of travel for persons in wheelchairs is not required to service rooms, to elevator machine rooms, to janitor’s rooms, to service spaces, to crawl spaces, to attic or roof spaces, to floor levels not served by a passenger elevator, a platform-equipped passenger-elevating device, an escalator, or an inclined moving walk, to high-hazard industrial occupancies, within portions of a floor area with fixed seats in an assembly occupancy where those portions are not part of the barrier-free path of travel to spaces designated for wheelchair use, within floor levels of a suite of residential occupancy that are not at the same level as the entry level to the suite, within a suite of residential occupancy that has not been designated by an authority having jurisdiction to be accessible for use by persons with physical disabilities, or within those parts of a floor area that are not at the same level as the entry level, provided amenities and uses provided on any raised or sunken level are accessible on the entry level by means of a barrier-free path of travel.",0.989010989010989,True
8.2.1.1.(1),"Where the construction may constitute a hazard to the public, work shall not commence on the construction, alteration or repair of a building until a covered way has been provided as described in Article 8.2.1.2. to protect the public, except where the work is done within a solid enclosure, the building is at a distance of 2 m or more from a public way used by pedestrians, or site conditions warrant a distance greater than provided in Clause (b).","Where the construction may constitute a hazard to the public, work shall not commence on the construction, alteration or repair of a building until a covered way has been provided as described in Article 8.2.1.2. to protect the public, except where the work is done within a solid enclosure, the building is at a distance of 2 m or more from a public way used by pedestrians, or site conditions warrant a distance greater than provided in Clause 8.2.1.1.(1)(b).",0.9873417721518988,True
3.8.3.17.(1),"Bathtubs required by Sentence 3.8.2.8. shall be located in a room with a clear floor space not less than 1 500 mm in diameter, be not less than 1 500 mm long, have a clear floor space not less than 750 mm wide adjacent to its entire length, be capable of being accessed along its full length with no tracks mounted on its rim, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), and are located on the centre line or between the centre line of the bathtub and the exterior edge of the bathtub rim, at a maximum height of 450 mm above the rim, have three grab bars that conform to Sentence 3.7.2.8.(1), that are not less than 1 200 mm long, two of which are located vertically at each end of the bathtub, set 80 mm to 120 mm in from the outside edge of the bathtub, with their lower end 180 mm to 280 mm above the bathtub rim, and one of which is located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, have a slip-resistant bottom surface, and be equipped with a hand-held shower head with not less than 1 800 mm of flexible hose that can be used in a fixed position at a height of 1 200 mm and 2 030 mm.","Bathtubs required by Sentence 3.8.2.8. shall be located in a room with a clear floor space not less than 1 500 mm in diameter, be not less than 1 500 mm long, have a clear floor space not less than 750 mm wide adjacent to its entire length, be capable of being accessed along its full length with no tracks mounted on its rim, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), and are located on the centre line or between the centre line of the bathtub and the exterior edge of the bathtub rim, at a maximum height of 450 mm above the rim, have three grab bars that conform to Sentence 3.7.2.8.(1), that are not less than 1 200 mm long, two of which are located vertically at each end of the bathtub, set 80 mm to 120 mm in from the outside edge of the bathtub, with their lower end 180 mm to 280 mm above the bathtub rim, and one of which is located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, have a slip-resistant bottom surface, and be equipped with a hand-held shower head with not less than 1 800 mm of flexible hose that can be used in a fixed position at a height of 1 200 mm and 2 030 mm. (See Note A-3.8.3.18.)",0.9870689655172413,True
3.8.3.5.(1),"A ramp located in a barrier-free path of travel shall have a clear width not less than 870 mm (see Note A-3.4.3.4.), have a slope not more than 1 in 12 (see Note A-3.8.3.5.(1)(b)), have a level area not less than 1 500 by 1 500 mm at the top and bottom and at intermediate levels of a ramp leading to a door, so that on the latch side the level area extends not less than 600 mm beyond the edge of the door opening where the door opens towards the ramp, or 300 mm beyond the edge of the door opening where the door opens away from the ramp, (see Note A-3.8.3.5.(1)(c)), have a level area not less than 1 200 mm long and at least the same width as the ramp at intervals not more than 9 m along its length, and where there is an abrupt change in the direction of the ramp, and except as provided in Sentences 3.8.3.5. and 3.8.3.5.(3), be equipped with handrails conforming to Article 3.4.6.5., except that they shall be not less than 865 mm and not more than 965 mm high, and be equipped with guards conforming to Article 3.4.6.6.","A ramp located in a barrier-free path of travel shall have a clear width not less than 870 mm (see Note A-3.4.3.4.), have a slope not more than 1 in 12 (see Note A-3.8.3.5.(1)(b)), have a level area not less than 1 500 by 1 500 mm at the top and bottom and at intermediate levels of a ramp leading to a door, so that on the latch side the level area extends not less than 600 mm beyond the edge of the door opening where the door opens towards the ramp, or 300 mm beyond the edge of the door opening where the door opens away from the ramp, have a level area not less than 1 200 mm long and at least the same width as the ramp at intervals not more than 9 m along its length, and where there is an abrupt change in the direction of the ramp, and except as provided in Sentences 3.8.3.5.(2)and 3.8.3.5.(3), be equipped with handrails conforming to Article 3.4.6.5., except that they shall be not less than 865 mm and not more than 965 mm high, and be equipped withguards conforming to Article 3.4.6.6.",0.9849246231155779,True
6.3.4.4.(1),"The power-ventilated enclosure required by Sentence 5.5.4.2. of Division B of the NFC and its exhaust duct system shall except as provided in Sentences 6.3.4.4. and 6.3.4.4.(3), be constructed of noncombustible materials compatible with and chemically resistant to the dangerous goods vapours and particles being exhausted, and be provided with access doors to permit inspection and maintenance of the fan assembly and exhaust ducts.","The power-ventilated enclosure required by Sentence 5.5.4.2. of Division B of the NFC and its exhaust duct system shall except as provided in Sentences 6.3.4.4.(2)and 6.3.4.4.(3), be constructed of noncombustible materials compatible with and chemically resistant to the dangerous goods vapours and particles being exhausted, and be provided with access doors to permit inspection and maintenance of the fan assembly and exhaust ducts.",0.984375,True
