Variation Sentence Number,Variation Sentence,Full Code Sentence,Similarity,Added
3.2.4.18.(11),"Audible signal devices within dwelling units that are wired on separate signal circuits need not include a means for silencing as required by Sentence 3.2.4.18. provided the fire alarm system includes a provision for an automatic signal silence within dwelling units, where the automatic signal silence cannot occur within the first 60 s of operation or within the zone of initiation, a subsequent alarm elsewhere in the building will reactuate the silenced audible signal devices within dwelling units, after a period of not more than 10 min, the silenced audible signal devices will be restored to continuous audible signal if the alarm is not acknowledged, and the voice communication systems referred to in Articles 3.2.4.22. and 3.2.4.23. have a provision to override the automatic signal silence to allow the transmission of voice messages through silenced audible signal device circuits that serve the dwelling units. (See Note A-3.2.4.18.(7).)","Audible signal devices within dwelling units that are wired on separate signal circuits need not include a means for silencing as required by Sentence 3.2.4.18. provided the fire alarm system includes a provision for an automatic signal silence within dwelling units, where the automatic signal silence cannot occur within the first 60 s of operation or within the zone of initiation, a subsequent alarm elsewhere in the building will reactuate the silenced audible signal devices within dwelling units, after a period of not more than 10 min, the silenced audible signal devices will be restored to continuous audible signal if the alarm is not acknowledged, and the voice communication systems referred to in Articles 3.2.4.22.and 3.2.4.23. have a provision to override the automatic signal silence to allow the transmission of voice messages through silenced audible signal device circuits that serve the dwelling units. (See Note A-3.2.4.18.(7).)",0.9931972789115646,True
3.7.2.9.(1),"Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Sentence 3.8.3.8.(1), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.","Where a bathtub is installed in a hotel or a motel, it shall have a clear floor space at least 750 mm wide along its length, except that a water closet or a lavatory is permitted to encroach this space, have faucets and other controls that conform to Clause 3.8.3.8.(1)(b), have a slip-resistant bottom surface, have grab bars that conform to Sentence 3.7.2.8.(1), are not less than 1 200 mm long located vertically at the end of the bathtub that is adjacent to the clear floor space, with the lower end between 180 mm and 280 mm above the bathtub rim, and are not less than 1 200 mm long located horizontally along the length of the bathtub at 180 mm to 280 mm above the bathtub rim, and be capable of being accessed along its full length with no tracks mounted on the bathtub rim.",0.9931506849315068,True
3.8.3.11.(1),"Water-closet stalls and enclosures required by Sentence 3.8.2.8. shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Sentence 3.8.3.8.(1), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet.","Water-closet stalls and enclosures required by Sentence 3.8.2.8. shall be not less than 1 500 mm wide by 1 500 mm deep, have a clear floor space of 1 500 mm by 1 500 mm in front of the accessible stall, be equipped with a door that can be latched from the inside with a mechanism conforming to Clause 3.8.3.8.(1)(b), is aligned with either the transfer space adjacent to the water closet or with a clear floor space not less than 1 500 mm by 1 500 mm within the stall, provides a clear opening not less than 850 mm wide when it is open, is self-closing so that, when at rest, the door is ajar by not more than 50 mm beyond the jamb, swings outward, unless there is sufficient floor space within the stall for the door to swing inward in addition to a clear floor space of at least 800 mm by 1 350 mm (see Note A-3.8.3.11.(1)(c)(v)), where the door swings outward, is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the inside such that its midpoint is 200 mm to 300 mm from the hinged side of the door and 800 mm to 1 000 mm above the floor (see Note A-3.8.3.11.(1)(c)(vi)), and is provided with a horizontal, D-shaped, visually contrasting door pull not less than 140 mm long located on the outside such that its midpoint is 120 mm to 220 mm from the latch side and 800 mm to 1 000 mm above the floor, have a water closet located so that the distance between the centre line of the fixture and the wall on one side is 460 mm to 480 mm, be equipped with an L-shaped grab bar that is mounted on the side wall closest to the water closet, has horizontal and vertical components not less than 760 mm long mounted with the horizontal component 750 mm to 850 mm above the floor and the vertical component 150 mm in front of the water closet (see Note A-3.8.3.11.(1)(e)(ii)), and complies with Article 3.7.2.8., be equipped with either one grab bar at least 600 mm long and centred over the water closet, or two grab bars at least 300 mm long and located either side of the flush valve, that conform to Article 3.7.2.8., are mounted on the rear wall, and are mounted at the same height as the grab bar on the side wall or 100 mm above the top of the attached water tank, if applicable, be equipped with a coat hook mounted not more than 1 200 mm above the floor on a side wall and projecting not more than 50 mm from the wall, and be equipped with a toilet paper dispenser mounted on the side wall closest to the water closet such that the bottom of the dispenser is 600 mm to 800 mm above the floor, and the closest edge of the dispenser is 300 mm from the front of the water closet. (See Note A-3.8.3.12.)",0.9921568627450981,True
2.8.2.4.(1),"In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Sentence 2.8.2.4.(1), and the procedures established to facilitate fire department access to the building and fire location within the building.","In buildings within the scope of Subsection 3.2.6. of Division B of the NBC, the fire safety plan shall, in addition to the requirements of Sentence 2.8.2.1.(1), include the training of supervisory staff in the use of the voice communication system, the procedures for the use of elevators, the action to be taken by supervisory staff in initiating any smoke control or other fire emergency systems installed in a building in the event of fire until the fire department arrives, instructions to the supervisory staff and fire department for the operation of the systems referred to in Clause 2.8.2.4.(1)(c), and the procedures established to facilitate fire department access to the building and fire location within the building.",0.9914529914529915,True
5.6.3.7.(1),"During construction and in addition to the means of access required by Sentences 5.6.1.4. and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the NBC, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), , , , , and  of Division B of the NBC, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.","During construction and in addition to the means of access required by Sentences 5.6.1.4.(2)and 5.6.1.4.(3), at least one stairway shall be provided that consists of treads and risers complying with the dimensional requirements of Article 3.4.6.8. of Division B of the NBC, is equipped with one handrail conforming to Sentences 3.4.6.5.(5), , , , , and  of Division B of the NBC, is not less than 900 mm wide, and is equipped with guards that are not less than 920 mm high when measured vertically to the top of the guard from a line drawn through the outside edges of the stair nosings, and not less than 1070 mm high around landings.",0.9911504424778761,True
9.10.15.5.(3),"Except as provided in Sentence 9.10.15.5.(4), where the limiting distance is equal to or greater than 0.6 m and less than 1.2 m, the exposing building face and any exterior wall located above the exposing building face that encloses an attic or roof space shall have a fire-resistance rating of not less than 45 min, and the cladding shall be metal or noncombustible cladding installed in accordance with Section 9.20., Subsection 9.27.11. or Section 9.28. (see Note A-9.10.14.5.(1)), the cladding shall conform to Subsection 9.27.6., 9.27.7., 9.27.8., 9.27.9, , or 9.27.10., be installed without furring members, or on furring not more than 25 mm thick, over gypsum sheathing at least 12.7 mm thick or over masonry, and after conditioning in conformance with ASTM D 2898-10 Accelerated Weathering of Fire-Retardant-Treated Wood for Fire Testing have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), the cladding shall conform to Subsection 9.27.12., be installed with or without furring members over gypsum sheathing at least 12.7 mm thick or over masonry, have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), and not exceed 2 mm in thickness exclusive of fasteners, joints and local reinforcements, or the wall assembly shall comply with Clause 3.1.5.5.(1) when tested in conformance with ULC CAN/ULC-S134-13 Fire Test of Exterior Wall Assemblies","Except as provided in Sentence 9.10.15.5.(4), where the limiting distance is equal to or greater than 0.6 m and less than 1.2 m, the exposing building face and any exterior wall located above the exposing building face that encloses an attic or roof space shall have a fire-resistance rating of not less than 45 min, and the cladding shall be metal or noncombustible cladding installed in accordance with Section 9.20., Subsection 9.27.11. or Section 9.28. (see Note A-9.10.14.5.(1)), the cladding shall conform to Subsection 9.27.6., 9.27.7., 9.27.8., 9.27.9., or 9.27.10., be installed without furring members, or on furring not more than 25 mm thick, over gypsum sheathing at least 12.7 mm thick or over masonry, and after conditioning in conformance with ASTM D 2898-10 Accelerated Weathering of Fire-Retardant-Treated Wood for Fire Testing have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), the cladding shall conform to Subsection 9.27.12., be installed with or without furring members over gypsum sheathing at least 12.7 mm thick or over masonry, have a flame-spread rating not greater than 25 when tested in accordance with Sentence 3.1.12.1.(2), and not exceed 2 mm in thickness exclusive of fasteners, joints and local reinforcements, or the wall assembly shall comply with Clause 3.1.5.5.(1) when tested in conformance with ULC CAN/ULC-S134-13 Fire Test of Exterior Wall Assemblies",0.9910714285714286,True
9.9.4.4.(1),"Unprotected openings in exterior walls of the building shall be protected with wired glass in fixed steel frames or glass block conforming to Articles 9.10.13.5. and 9.10.13.7., where an unenclosed exterior exit stair or ramp provides the only means of egress from a suite and is exposed to fire from unprotected openings in the exterior walls of another fire compartment, or another dwelling unit, ancillary space or common space in a house with a secondary suite, and unprotected openings in the exterior walls of the building are within 3 m horizontally and less than 10 m below or less than 5 m above the exit stair or ramp.","Unprotected openings in exterior walls of the building shall be protected with wired glass in fixed steel frames or glass block conforming to Articles 9.10.13.5.and 9.10.13.7., where an unenclosed exterior exit stair or ramp provides the only means of egress from a suite and is exposed to fire from unprotected openings in the exterior walls of another fire compartment, or another dwelling unit, ancillary space or common space in a house with a secondary suite, and unprotected openings in the exterior walls of the building are within 3 m horizontally and less than 10 m below or less than 5 m above the exit stair or ramp.",0.9907407407407407,True
3.1.4.3.(2),"Except as permitted in Sentences 3.1.4.3. and 3.1.4.3.(4), optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes that are used for the transmission of voice, sound or data and are installed in a plenum in a building permitted to be of combustible construction shall exhibit the following characteristics when tested in conformance with ULC CAN/ULC-S102.4-10 Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways (FT6 rating): a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5.","Except as permitted in Sentences 3.1.4.3.(3)and 3.1.4.3.(4), optical fibre cables and electrical wires and cables with combustible insulation, jackets or sheathes that are used for the transmission of voice, sound or data and are installed in a plenum in a building permitted to be of combustible construction shall exhibit the following characteristics when tested in conformance with ULC CAN/ULC-S102.4-10 Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways (FT6 rating): a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5.",0.9905660377358491,True
3.8.3.5.(1),"A ramp located in a barrier-free path of travel shall have a clear width not less than 870 mm (see Note A-3.4.3.4.), have a slope not more than 1 in 12 (see Note A-3.8.3.5.(1)(b)), have a level area not less than 1 500 by 1 500 mm at the top and bottom and at intermediate levels of a ramp leading to a door, so that on the latch side the level area extends not less than 600 mm beyond the edge of the door opening where the door opens towards the ramp, or 300 mm beyond the edge of the door opening where the door opens away from the ramp, have a level area not less than 1 200 mm long and at least the same width as the ramp at intervals not more than 9 m along its length, and where there is an abrupt change in the direction of the ramp, and except as provided in Sentences 3.8.3.5. and 3.8.3.5.(3), be equipped with handrails conforming to Article 3.4.6.5., except that they shall be not less than 865 mm and not more than 965 mm high, and be equipped with guards conforming to Article 3.4.6.6.","A ramp located in a barrier-free path of travel shall have a clear width not less than 870 mm (see Note A-3.4.3.4.), have a slope not more than 1 in 12 (see Note A-3.8.3.5.(1)(b)), have a level area not less than 1 500 by 1 500 mm at the top and bottom and at intermediate levels of a ramp leading to a door, so that on the latch side the level area extends not less than 600 mm beyond the edge of the door opening where the door opens towards the ramp, or 300 mm beyond the edge of the door opening where the door opens away from the ramp, have a level area not less than 1 200 mm long and at least the same width as the ramp at intervals not more than 9 m along its length, and where there is an abrupt change in the direction of the ramp, and except as provided in Sentences 3.8.3.5.(2)and 3.8.3.5.(3), be equipped with handrails conforming to Article 3.4.6.5., except that they shall be not less than 865 mm and not more than 965 mm high, and be equipped withguards conforming to Article 3.4.6.6.",0.9897959183673469,True
3.8.3.15.(1),"Lavatories required by Sentence 3.8.2.8. shall be equipped with faucets complying with Sentence 3.7.2.3.(4), be located so that the distance between the centre line of the lavatory and any side wall is not less than 460 mm, have a rim height not more than 865 mm above the floor, have a clearance beneath the lavatory not less than 760 mm wide, 735 mm high at the front edge, 685 mm high at a point 200 mm back from the front edge, and 230 mm high over the distance from a point 280 mm to a point 430 mm back from the front edge (see Note A-3.8.3.15.(1)(d)), have insulated water supply and drain pipes where these pipes are exposed (see Note A-3.8.3.15.(1)(e)), have a soap dispenser that is automatic, or complies with Clause 3.8.3.8.(1) and is located not more than 1 100 mm above the floor, within 500 mm from the front of the lavatory (see Note A-3.8.3.15.(1)(f)), and have a towel dispenser or other hand-drying equipment located close to the lavatory, not more than 1 200 mm above the floor in an area that is accessible to persons in wheelchairs.","Lavatories required by Sentence 3.8.2.8. shall be equipped with faucets complying with Sentence 3.7.2.3.(4), be located so that the distance between the centre line of the lavatory and any side wall is not less than 460 mm, have a rim height not more than 865 mm above the floor, have a clearance beneath the lavatory not less than 760 mm wide, 735 mm high at the front edge, 685 mm high at a point 200 mm back from the front edge, and 230 mm high over the distance from a point 280 mm to a point 430 mm back from the front edge, (see Note A-3.8.3.15.(1)(d)) have insulated water supply and drain pipes where these pipes are exposed (see Note A-3.8.3.15.(1)(e)), have a soap dispenser that is automatic, or complies with Clause 3.8.3.8.(1) and is located not more than 1 100 mm above the floor, within 500 mm from the front of the lavatory (see Note A-3.8.3.15.(1)(f)), and have a towel dispenser or other hand-drying equipment located close to the lavatory, not more than 1 200 mm above the floor in an area that is accessible to persons in wheelchairs.",0.9894736842105263,True
