National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Where a structural member supports a tributary area of a floor or a roof, or a combination thereof, that is greater than 80 m2 and either used for assembly occupancies designed for a live load of 4.8 kPa or more, or used for storage, manufacturing, retail stores, garages or as a footbridge, the specified live load due to use and occupancy is the load specified in Article 4.1.5.3. multiplied by 0.5+20/Awhere A is the tributary area in square metres for this type of use and occupancy.",,"Where a structural member supports a tributary area of a floor or a roof, or a combination thereof, that is greater than 80 m2 and either used for assembly occupancies designed for a live load of 4.8 kPa or more, or used for storage, manufacturing, retail stores, garages or as a footbridge, the specified live load due to use and occupancy is the load specified in Article 4.1.5.3. multiplied by 0.5+20/Awhere A is the tributary area in square metres for this type of use and occupancy.",,1.0
"Except where the suite is sprinklered, each bedroom or combination bedroom shall have at least one outside window or exterior door openable from the inside without the use of keys, tools or special knowledge and without the removal of sashes or hardware. (See Article 9.5.1.2. and Note A-9.9.10.1.(1).)",,"Except where the suite is sprinklered, each bedroom or combination bedroom shall have at least one outside window or exterior door openable from the inside without the use of keys, tools or special knowledge and without the removal of sashes or hardware. (See Article 9.5.1.2. and Note A-9.9.10.1.(1).)",,1.0000000000000002
"Except as provided in Sentence 4.1.7.4.(2), the topographic factor, Ct, shall be taken as 1.0.",,"Except as provided in Sentence 4.1.7.4.(2), the topographic factor, Ct, shall be taken as 1.0.",,1.0
"Vertically applied metal siding and wood shingles and shakes are permitted to be attached to the sheathing only where the sheathing consists of not less than 14.3 mm lumber, 7.5 mm plywood, or 7.5 mm OSB or waferboard.",,"Vertically applied metal siding and wood shingles and shakes are permitted to be attached to the sheathing only where the sheathing consists of not less than 14.3 mm lumber, 7.5 mm plywood, or 7.5 mm OSB or waferboard.",,1.0
"Except as provided in Sentences 9.23.15.5.(2)and 9.23.15.5.(3), subfloors shall conform to either Table 9.23.15.5.-Aor 9.23.15.5.-B.",,"Except as provided in Sentences 9.23.15.5.(2)and 9.23.15.5.(3), subfloors shall conform to either Table 9.23.15.5.-Aor 9.23.15.5.-B.",,1.0000000000000002
"When the finish coat is other than stone dash, the base shall be dampened but not saturated before the finish coat is applied.",,"When the finish coat is other than stone dash, the base shall be dampened but not saturated before the finish coat is applied.",,1.0000000000000002
"Except as permitted in Sentence 9.26.11.8.(2), built-up roofing applied over wood, plywood, OSB or waferboard roof sheathing shall be laid over an additional base layer of felt laid dry over the entire roof deck with not less than a 50 mm headlap and a 50 mm sidelap between each sheet.",,"Except as permitted in Sentence 9.26.11.8.(2), built-up roofing applied over wood, plywood, OSB or waferboard roof sheathing shall be laid over an additional base layer of felt laid dry over the entire roof deck with not less than a 50 mm headlap and a 50 mm sidelap between each sheet.",,1.0000000000000002
Roofing nails for the attachment of fibreboard or gypsum sheathing shall not be less than 3.2 mm in diameter with a minimum head diameter of 11.1 mm.,,Roofing nails for the attachment of fibreboard or gypsum sheathing shall not be less than 3.2 mm in diameter with a minimum head diameter of 11.1 mm.,,1.0
"Coverings, linings and associated adhesives and insulation for air ducts, plenums and other parts of air duct systems that would have an exposed surface temperature more than 120°C when exposed to heated air or radiation from heat sources shall be of noncombustible material.",,"Coverings, linings and associated adhesives and insulation for air ducts, plenums and other parts of air duct systems that would have an exposed surface temperature more than 120°C when exposed to heated air or radiation from heat sources shall be of noncombustible material.",,1.0000000000000002
"In addition to the requirements of Sentences 3.2.7.3.(1)to 3.2.7.3.(3), the installation of battery-operated emergency lighting in buildings or part thereof where treatment is provided shall conform to the appropriate requirements of CSA Z32-09 Electrical Safety and Essential Electrical Systems in Health Care Facilities",,"In addition to the requirements of Sentences 3.2.7.3.(1)to 3.2.7.3.(3), the installation of battery-operated emergency lighting in buildings or part thereof where treatment is provided shall conform to the appropriate requirements of CSA Z32-09 Electrical Safety and Essential Electrical Systems in Health Care Facilities",,1.0000000000000002
Pilasters required in Sentence 9.15.5.3.(1) shall be not less than 90 mm by 290 mm and shall be bonded or tied into the wall.,,Pilasters required in Sentence 9.15.5.3.(1) shall be not less than 90 mm by 290 mm and shall be bonded or tied into the wall.,,1.0
"Where a pipe carrying steam or hot water at a temperature above 120°C passes through a combustible floor, ceiling or wall, the construction shall be protected by a sleeve of metal or other noncombustible material not less than 50 mm larger in diameter than the pipe.",,"Where a pipe carrying steam or hot water at a temperature above 120°C passes through a combustible floor, ceiling or wall, the construction shall be protected by a sleeve of metal or other noncombustible material not less than 50 mm larger in diameter than the pipe.",,0.9999999999999998
"Interior and exterior walking surfaces that are within a barrier-free path of travel shall have no opening that will permit the passage of a sphere more than 13 mm in diameter, have any elongated openings oriented approximately perpendicular to the direction of travel, be stable, firm and slip-resistant, have a cross slope no steeper than 1 in 50, be beveled at a maximum slope of 1 in 2 at changes in level between 6 mm and13 mm, and be provided with sloped floors or ramps at changes in level more than 13 mm. (See Note A-3.8.3.2.(2).)",,"Interior and exterior walking surfaces that are within a barrier-free path of travel shall have no opening that will permit the passage of a sphere more than 13 mm in diameter, have any elongated openings oriented approximately perpendicular to the direction of travel, be stable, firm and slip-resistant, have a cross slope no steeper than 1 in 50, be beveled at a maximum slope of 1 in 2 at changes in level between 6 mm and13 mm, and be provided with sloped floors or ramps at changes in level more than 13 mm.",,0.9964145087266615
"For each wall assembly, fenestration component, roof-ceiling assembly and exposed floor assembly, the energy model calculations shall account for the area of the interior side of the insulated surface, emissivity, and the effective thermal resistance or overall thermal transmittance, as applicable.",,"For each wall assembly, fenestration component, roof-ceiling assembly and exposed floor assembly, the energy model calculations shall account for the area of the interior side of the insulated surface, emissivity, and the effective thermal resistance or overall thermal transmittance, as applicable.",,1.0
"A crawl space that is not considered as a basement by Article 3.2.2.9. and in which sprinklers are not installed, shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than 600 m2 in area with no dimension more than 30 m.",,"A crawl space that is not considered as a basement by Article 3.2.2.9. and in which sprinklers are not installed, shall be separated by construction conforming to Article 3.1.11.7. into compartments not more than 600 m2 in area with no dimension more than 30 m.",,1.0
