National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,,0.9999995827674866
"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.",,"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.",,1.000000238418579
Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,,Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,,0.9999997615814208
"A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Clause 2.8.2.1.(1)(a).",,"A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Clause 2.8.2.1.(1)(a).",,1.000000238418579
Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,,Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,,1.000000238418579
"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.",,"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.",,1.0000004768371582
Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,,Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,,1.0000001192092896
A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),,A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),,1.0
"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)",,"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)",,1.0000001192092896
A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,,A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,,1.0000003576278689
"Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.",,"Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.",,0.999999701976776
"Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.",,"Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.",,1.0000001192092896
"Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.",,"Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.",,1.000000238418579
