National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Air barrier assemblies are permitted to be tested in accordance with ASTM E 2357-11 Determining Air Leakage of Air Barrier Assemblies to meet the air leakage requirement stated in Sentence 3.2.4.2.(2), provided the building is erected in an area where the 1-in-50 hourly wind pressures do not exceed 0.65 kPa, and the air barrier assembly is installed on the warm side of the thermal insulation of the opaque building assembly. (See Note A-3.2.4.2.(2) and (3).)","Air barrier assemblies are permitted to be tested in accordance with ASTM E 2357, Determining Air Leakage of Air Barrier Assemblies, to meet the air leakage requirement stated in Sentence (2), provided the building is erected in an area where the 1-in-50 hourly wind pressures do not exceed 0.65 kPa, and the air barrier assembly is installed on the warm side of the thermal insulation of the opaque building assembly. (See Note A-3.2.4.2.(2) and (3).)",Fire detectors required by Article 3.2.4.11. and heat detectors required by Sentence 3.2.4.12.(2) need not be provided within a floor area if the floor area is sprinklered and the sprinkler system is electrically supervised in conformance with Sentence 3.2.4.10.(3). (See Appendix A.),Fire detectors required by Article 3.2.4.11. and heat detectors required by Sentence 3.2.4.12.(2) need not be provided within a floor area if the floor area is sprinklered and the sprinkler system is electrically supervised in conformance with Sentence 3.2.4.10.(3).,0.8682755827903748
"Operable windows and skylights that act as environmental separators shall have an air leakage rate not greater than 0.5 L/(s·m2) when tested in accordance with CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights at a pressure differential of 75 Pa.","Operable windows and skylights that act as environmental separators shall have an air leakage rate not greater than 0.5 L/(s·m2) when tested in accordance with AAMA/WDMA/CSA 101/I.S.2/A440, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights, at a pressure differential of 75 Pa.","Windows, doors and skylights shall conform to the performance grades selected under Sentence (1) when tested in accordance with AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS - North American Fenestration Standard/Specification for Windows, Doors, and Skylights"".","Windows, doors and skylights shall conform to the performance grades selected under Sentence (1) when tested in accordance with AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS - North American Fenestration Standard/Specification for Windows, Doors, and Skylights"".",0.9099159240722656
"Luminaire wattage to be included in installed interior lighting power shall be determined in accordance with the following criteria: except as provided in Clause 4.2.1.4.(3)(b), the wattage of luminaires shall be the design operating input wattage of the lamp/auxiliary combination based on values provided by a recognized testing laboratory or, in the absence of such information, the maximum labeled wattage of the luminaire shall be used (see Note A-4.2.1.4.(3)(a)), the wattage of luminaires with ballasts designed for multiple wattages shall be the maximum labeled wattage of the luminaire, for line-voltage lighting track and plug-in busway designed to allow the addition and/or relocation of luminaires without altering the wiring of the system, the wattage shall be the specified wattage of the luminaires included in the system with a minimum of 98 W/m, the wattage limit of the system’s circuit breaker, or the wattage limit of other permanent current-limiting device(s) on the system, the wattage of low-voltage lighting track, cable conductor, rail conductor, and other flexible lighting systems that allow the addition and/or relocation of luminaires without altering the wiring of the system shall be the specified wattage of the transformer supplying the system, and the wattage of all other miscellaneous lighting equipment shall be the specified wattage of the lighting equipment.","Luminaire wattage to be included in installed interior lighting power shall be determined in accordance with the following criteria: except as provided in Clause (b), the wattage of luminaires shall be the design operating input wattage of the lamp/auxiliary combination based on values provided by a recognized testing laboratory or, in the absence of such information, the maximum labeled wattage of the luminaire shall be used (see Note A-4.2.1.4.(3)(a)), the wattage of luminaires with ballasts designed for multiple wattages shall be the maximum labeled wattage of the luminaire, for line-voltage lighting track and plug-in busway designed to allow the addition and/or relocation of luminaires without altering the wiring of the system, the wattage shall be the specified wattage of the luminaires included in the system with a minimum of 98 W/m, the wattage limit of the system s circuit breaker, or the wattage limit of other permanent current-limiting device(s) on the system, the wattage of low-voltage lighting track, cable conductor, rail conductor, and other flexible lighting systems that allow the addition and/or relocation of luminaires without altering the wiring of the system shall be the specified wattage of the transformer supplying the system, and the wattage of all other miscellaneous lighting equipment shall be the specified wattage of the lighting equipment.","Where multiple tanks are to be used to meet the requirements of Sentences (2) and (3), the tanks shall be connected in series such that,(a) the first tank in the series shall have at least a capacity as calculated in Clause (3)(a), however at no time shall a tank having a working capacity of less than 3 600 L be used, (b) all additional tanks after the first tank, excluding pump or dosing tanks shall have at least a working capacity equal to the volume required by Clause (3)(b), (c) the pipe between the outlet of one tank and the inlet of the next tank in the series shall have a minimum slope of 2 percent, (d) there shall be no partitions in the tank except where a partition is required to maintain the structural integrity of the tank, in which case openings within the partition shall be provided to allow the free movement of sanitary sewage throughout the tank, and (e) all piping between tanks shall be continuous and shall be connected to the tank through the use of flexible watertight seals that will permit differential movement between the tanks.","Where multiple tanks are to be used to meet the requirements of Sentences (2) and (3), the tanks shall be connected in series such that,(a) the first tank in the series shall have at least a capacity as calculated in Clause (3)(a), however at no time shall a tank having a working capacity of less than 3 600 L be used, (b) all additional tanks after the first tank, excluding pump or dosing tanks shall have at least a working capacity equal to the volume required by Clause (3)(b), (c) the pipe between the outlet of one tank and the inlet of the next tank in the series shall have a minimum slope of 2 percent, (d) there shall be no partitions in the tank except where a partition is required to maintain the structural integrity of the tank, in which case openings within the partition shall be provided to allow the free movement of sanitary sewage throughout the tank, and (e) all piping between tanks shall be continuous and shall be connected to the tank through the use of flexible watertight seals that will permit differential movement between the tanks.",0.8705950975418091
"Heat-recovery ventilators used to meet the requirements of Sentence 5.2.10.4.(1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CSA CAN/CSA-C439-09 Rating the Performance of Heat/Energy-Recovery Ventilators of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building’s location, as listed in Table A-. (See Note A-5.2.10.4.(2).)","Heat-recovery ventilators used to meet the requirements of Sentence (1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CAN/CSA-C439, Rating the Performance of Heat/Energy-Recovery Ventilators, of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building s location, as listed in Table C-1. (See Note A-5.2.10.4.(2).)","Where electric space heating, other than forced-air electric heating system, is provided in buildings of residential occupancy within the scope of Part 9, the mechanical ventilation system shall include heat recovery ventilators designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, ""Rating the Performance of Heat/Energy-Recovery Ventilators"", at a Station 1 test temperature of -25°C at an air flow not less than 30 L/s.","Where electric space heating, other than forced-air electric heating system, is provided in buildings of residential occupancy within the scope of Part 9, the mechanical ventilation system shall include heat recovery ventilators designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, Rating the Performance of Heat/Energy-Recovery Ventilators , at a Station 1 test temperature of -25°C at an air flow not less than 30 L/s.",0.8688634634017944
"Pump power, P, versus flow rate, V, shall be calculated using one of the following equations: IfVpartload/Vrate d&lt;d,thenPpartload=P rated eIfVpartload/Vra ted d,thenPpartload=P rated a+b Vpartload/Vra ted+c Vpartload/V rated2whereVpartload= flow rate at part-load conditions, in L/s, Vrated= flow rate at rated conditions, in L/s, Ppartload= power draw at part-load conditions, in kW, Prated= power draw at rated conditions, in kW, and a, b, c, d, e= coefficients defined in Table 8.4.4.14.","Pump power, P, versus flow rate, V, shall be calculated using one of the following equations: where Vpartload = flow rate at part-load conditions, in L/s, Vrated = flow rate at rated conditions, in L/s, Ppartload = power draw at part-load conditions, in kW, Prated = power draw at rated conditions, in kW, and a, b, c, d, e = coefficients defined in Table 8.4.4.14.","Plastic pipe, fittings and solvent cement used inside a building in a storm drainage system shall be certified to,(a) ASTM F628, ""Acrylonitrile-Butadiene-Styrene (ABS) Schedule 40 Plastic Drain, Waste, and Vent Pipe With a Cellular Core"", (b) CAN/CSA-B181.1, ""Acrylonitrile-Butadiene-Styrene (ABS) Drain, Waste, and Vent Pipe and Pipe Fittings"", (c) CAN/CSA-B181.2, ""Polyvinylchloride (PVC) and Chlorinated Polyvinylchloride (CPVC) Drain, Waste, and Vent Pipe and Pipe Fittings"", (d) CAN/CSA-B182.1, ""Plastic Drain and Sewer Pipe and Pipe Fittings"", or (e) CAN/CSA-B182.2, ""PSM Type Polyvinylchloride (PVC) Sewer Pipe and Fittings"".","Plastic pipe, fittings and solvent cement used inside a building in a storm drainage system shall be certified to,(a) ASTM F628, ""Acrylonitrile-Butadiene-Styrene (ABS) Schedule 40 Plastic Drain, Waste, and Vent Pipe With a Cellular Core"", (b) CAN/CSA-B181.1, ""Acrylonitrile-Butadiene-Styrene (ABS) Drain, Waste, and Vent Pipe and Pipe Fittings"", (c) CAN/CSA-B181.2, ""Polyvinylchloride (PVC) and Chlorinated Polyvinylchloride (CPVC) Drain, Waste, and Vent Pipe and Pipe Fittings"", (d) CAN/CSA-B182.1, ""Plastic Drain and Sewer Pipe and Pipe Fittings"", or (e) CAN/CSA-B182.2, ""PSM Type Polyvinylchloride (PVC) Sewer Pipe and Fittings"".",0.865361213684082
A building conforming to Article 3.2.2.50.or 3.2.2.58. is permitted to contain a storage garage below the fourth storey. (See Note A-3.1.3.2.(3) to (5).) (See also Sentence 4.4.2.1.(1).),A building conforming to Article 3.2.2.50.or 3.2.2.58.is permitted to contain a storage garage below the fourth storey. (See Note A-3.1.3.2.(3) to (5).) (See also Sentence 4.4.2.1.(1).),,,0.0
,,A storage garage below the third storey is permitted in a building within the scope of Article 3.2.2.43A. or 3.2.2.50A.,A storage garage below the third storey is permitted in a building within the scope of Article 3.2.2.43A. or 3.2.2.50A.,0.0
"Except as permitted by Sentences 3.1.5.1.(2)to 3.1.5.1.(4) and Articles 3.1.5.2.to 3.1.5.24., Article 3.1.13.4. and Article 3.2.2.16., a building or part of a building required to be of noncombustible construction shall be constructed with noncombustible materials. (See also Subsection 3.1.13. for the requirements regarding the flame-spread rating of interior finishes.)","Except as permitted by Sentences 3.1.5.1.(2) to 3.1.5.1.(4) and Articles 3.1.5.2. to 3.1.5.24., Article 3.1.13.4. and Article 3.2.2.16., a building or part of a building required to be of noncombustible construction shall be constructed with noncombustible materials. (See also part 3. for the requirements regarding the flame-spread rating of interior finishes.)",,,0.0
,,"Except as permitted by Sentences (2) to (4) and Articles 3.1.5.2. to 3.1.5.25., 3.1.13.4. and 3.2.2.16., a building or part of a building required to be of noncombustible construction, shall be constructed with noncombustible materials.","Except as permitted by Sentences (2) to (4) and Articles 3.1.5.2. to 3.1.5.25., 3.1.13.4. and 3.2.2.16., a building or part of a building required to be of noncombustible construction, shall be constructed with noncombustible materials.",0.0
"Except as permitted by Sentence 3.1.8.13.(2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as permitted by Sentence (2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.",0.9086729288101196
,,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,0.0
,,"In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.",0.0
