National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.","Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.",,,0.0
,,"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the British Columbia Fire Code.","Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the British Columbia Fire Code.",0.0
A building conforming to Article 3.2.2.50.or 3.2.2.58. is permitted to contain a storage garage below the fourth storey. (See Note A-3.1.3.2.(3) to (5).) (See also Sentence 4.4.2.1.(1).),A building conforming to Article 3.2.2.50. or 3.2.2.58. is permitted to contain a storage garage below the fourth storey. (See Note A-3.1.3.2.(3).) (See also Sentence 4.4.2.1.(1).),"Group A, Division 2 major occupancies, Group E major occupancies, Group F, Division 2 and 3 major occupancies and storage garages located in a building or part of a building within the scope of this Article are permitted to be constructed in accordance with this Article provided the Group A, Division 2 major occupancy, and Group E major occupancy, and Group F, Division 2 and 3 major occupancy is located below the third storey, and the storage garage is located below the fourth storey (See also Sentence 4.4.2.1.(1)). (See Note A-3.2.2.50.(5) and 3.2.2.58.(4).)","Group A, Division 2 major occupancies, Group E major occupancies, Group F, Division 2 and 3 major occupancies and storage garages located in a building or part of a building within the scope of this Article are permitted to be constructed in accordance with this Article provided the Group A, Division 2 major occupancy, and Group E major occupancy, and Group F, Division 2 and 3 major occupancy is located below the third storey, and the storage garage is located below the fourth storey (See also Sentence 4.4.2.1.(1)). (See Note A-3.2.2.50.(5) and 3.2.2.58.(4).)",tensor(0.8440)
"Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.",tensor(0.9433)
"Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)",tensor(0.9688)
"Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under part 3., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.",tensor(0.9842)
This Section is concerned with the barrier-free design of buildings.,This Section is concerned with the barrier-free design of buildings.,,,0.0
,,This Section is concerned with the design and construction of buildings and occupancies to make them accessible.,This Section is concerned with the design and construction of buildings and occupancies to make them accessible.,0.0
Exterior passenger-loading zones shall comply with Subsection 3.8.3.,Exterior passenger-loading zones shall comply with part 3.,,,0.0
,,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,0.0
Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,tensor(1.0000)
"Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.","Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.",,,0.0
,,Every plumbing system shall be designed and installed in conformance with Book II (Plumbing of this Code.,Every plumbing system shall be designed and installed in conformance with Book II (Plumbing of this Code.,0.0
