National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,,tensor(1.0000)
"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.",,"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.",,tensor(1.0000)
Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,,Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,,tensor(1.0000)
"A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Clause 2.8.2.1.(1)(a).",,"A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Sentence 2.8.2.1.(1).",,tensor(0.9954)
Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,,Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,,tensor(1.)
"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.",,"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.",,tensor(1.)
Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,,Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,,tensor(1.0000)
A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),,A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),,tensor(1.0000)
"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)",,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)",,tensor(0.9924)
A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,,A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,,tensor(1.0000)
"Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.",,"Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.",,tensor(1.)
"Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.",,"Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.",,tensor(1.0000)
"Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.",,"Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.",,tensor(1.0000)
"Work on ducts involving the use of heat-producing devices for cutting, welding or soldering shall not be undertaken before the system has been shut down, the duct has been cleaned of any accumulations of combustible deposits, and any combustible lining and covering material that could be ignited by such work has been removed.",,"Work on ducts involving the use of heat-producing devices for cutting, welding or soldering shall not be undertaken before the system has been shut down, the duct has been cleaned of any accumulations of combustible deposits, and any combustible lining and covering material that could be ignited by such work has been removed.",,tensor(1.0000)
"Where field test methods are included in the storage tank construction standards referred to in Articles 4.3.1.2.and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.",,"Where field test methods are included in the storage tank construction standards referred to in Articles 4.3.1.2.and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.",,tensor(1.0000)
Attendants shall be trained on how to conduct their duties.,,Attendants shall be trained on how to conduct their duties.,,tensor(1.)
"Except as provided in Subsection 3.1.1., this Subsection applies to the indoor storage of dangerous goods classified as compressed gases.",,"Except as provided in part 3., this Subsection applies to the indoor storage of dangerous goods classified as compressed gases.",,tensor(0.9589)
Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,,Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,,tensor(1.0000)
"In a sprinkleredbuilding, the storage of combustible pallets is permitted to exceed the values stated in Sentence 3.2.2.4.(2) provided such storage conforms to NFPA 13-2013 Installation of Sprinkler Systems (See Note A-3.2.2.4.(3).)",,"In a sprinkleredbuilding, the storage of combustible pallets is permitted to exceed the values stated in Sentence 3.2.2.4.(2) provided such storage conforms to NFPA 13-2013 Installation of Sprinkler Systems (See Note A-3.2.2.4.(3).)",,tensor(1.)
Means of egress shall be maintained in good repair and free of obstructions.,,Means of egress shall be maintained in good repair and free of obstructions.,,tensor(1.0000)
"Quantities of flammable liquids and combustible liquids in excess of those permitted in Sentence 5.5.5.1.(1) shall be stored in cabinets conforming to Subsection 4.2.10. except that, in laboratories described in Clause 5.5.5.1.(1)(b), the total quantity of flammable liquids and combustible liquids stored in such cabinets shall not exceed the quantity permitted for one cabinet, or a room conforming to Subsection 4.2.9.",,"Quantities of flammable liquids and combustible liquids in excess of those permitted in Sentence 5.5.5.1.(1) shall be stored in cabinets conforming to part 4. except that, in laboratories described in Sentence 5.5.5.1.(1), the total quantity of flammable liquids and combustible liquids stored in such cabinets shall not exceed the quantity permitted for one cabinet, or a room conforming to part 4.",,tensor(0.9780)
"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 5.7.1.1. (See Note A-1.1.2.1.(1).)",,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 5.7.1.1. (See Note A-1.1.2.1.(1).)",,tensor(0.9929)
"Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids",,"Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids",,tensor(1.)
Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2. (See Note A-4.7.4.),,Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2.,,tensor(0.9794)
Commercial cooking equipment that is certified shall be installed and maintained in conformance with its certification.,,Commercial cooking equipment that is certified shall be installed and maintained in conformance with its certification.,,tensor(1.0000)
