National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"A floor drain or other fixture located in an oil transformer vault, a high voltage room or any room where flammable, dangerous or toxic chemicals are stored or handled shall not be connected to a drainage system.",,"A floor drain or other fixture located in an oil transformer vault, a high voltage room or any room where flammable, dangerous or toxic chemicals are stored or handled shall not be connected to a drainage system.",,tensor(1.0000)
Interior leaders shall be provided with a cleanout fitting at the bottom of the leader or not more than 3 m upstream from the bottom of the leader.,,,,0.0
,,Interior leaders shall be provided with a cleanout fitting at the bottom of the leader or not more than 3 m upstream from the bottom of the leader.,,0.0
"Except as provided in Sentences 2.4.5.1.(2) to 2.4.5.1.(5) and in Article 2.4.5.2., fixtures shall be protected by a separate trap.",,,,0.0
,,"Except as provided in Sentences 2.4.5.1.(2)to 2.4.5.1.(5) and in Article 2.4.5.2., fixtures shall be protected by a separate trap.",,0.0
An indirectly connected fixture that can discharge only clear-water waste other than a drinking fountain need not be protected by a trap. (See Clause 2.4.2.1.(1)(e) for indirect connections.),,,,0.0
,,An indirectly connected fixture that can discharge only clear-water waste other than a drinking fountain need not be protected by a trap. (See Sentence 2.4.2.1.(1) for indirect connections.),,0.0
"Except as provided in Sentence 2.3.3.12.(2), joints in copper tubes installed underground shall be made with either flared or compression fittings, or be brazed using a brazing alloy within the American Welding Society's AWS-BCuP range.",,,,0.0
,,"Except as provided in Sentence 2.3.3.12.(2), joints in copper tubes installed underground shall be made with either flared or compression fittings, or be brazed using a brazing alloy within the American Welding Society's AWS-BCuP range.",,0.0
Cleanouts shall be installed so that the cumulative change in direction is not more than 90° between cleanouts in a drip pipe from a food receptacle or in a fixture drain serving a kitchen sink in a non-residential occupancy. (See Note A-2.4.7.1.(9).),,Cleanouts shall be installed so that the cumulative change in direction is not more than 90° between cleanouts in a drip pipe from a food receptacle or in a fixture drain serving a kitchen sink in a non-residential occupancy. (See Note A-2.4.7.1.(9).),,tensor(1.)
Direct-acting water-pressure-reducing valves for domestic water supply systems shall conform to CSA CAN/CSA-B356-10 Water Pressure Reducing Valves for Domestic Water Supply Systems,,Direct-acting water-pressure-reducing valves for domestic water supply systems shall conform to CSA CAN/CSA-B356-10 Water Pressure Reducing Valves for Domestic Water Supply Systems,,tensor(1.0000)
A length of hub and spigot pipe and pipe fittings in a drainage system shall be installed with the hub at the upstream end.,,A length of hub and spigot pipe and pipe fittings in a drainage system shall be installed with the hub at the upstream end.,,tensor(1.)
"For the purposes of Table 2.5.8.4., the length of a stack vent or vent stack shall be its developed length from its lower end to outside air.",,"For the purposes of Table 2.5.8.4., the length of a stack vent or vent stack shall be its developed length from its lower end to outside air.",,tensor(1.0000)
"Backflow caused by back pressure of toxic substances into a potable water system shall be prevented by the installation of an air gap, or a reduced pressure principle backflow preventer.",,,,0.0
