National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.",1.0000000000000002
"Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)",0.9534625892455921
"Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under part 3., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.",1.0000000000000004
Exterior passenger-loading zones shall comply with Subsection 3.8.3.,Exterior passenger-loading zones shall comply with part 3.,,,0.0
,,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,0.0
A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,,,0.0
,,"A passenger-elevating device in an accessible path of travel shall conform to Appendix E of ASME A17.1/CSA B44, ""Safety Code for Elevators and Escalators,"" (see also Sentence 3.5.2.1.(3)), or CSA B355, ""Lifts for Persons with Physical Disabilities."" (See also Sentence 3.5.4.1.(3).)","A passenger-elevating device in an accessible path of travel shall conform to Appendix E of ASME A17.1/CSA B44, ""Safety Code for Elevators and Escalators,"" (see also Sentence 3.5.2.1.(3)), or CSA B355, ""Lifts for Persons with Physical Disabilities."" (See also Sentence 3.5.4.1.(3).)",0.0
"Except as provided in Sentences 3.9.3.1.(2)to 3.9.3.1.(6), the requirements of Section 3.3. shall apply. (See Note A-3.9.3.1.(1).)","Except as provided in Sentences 3.9.3.1.(2) to 3.9.3.1.(6), the requirements of part 3. shall apply. (See Note A-3.9.3.1.(1).)",Construction of a secondary suite and alterations to an existing building to accommodate a secondary suite shall conform to the requirements in this Part except as provided in this Section. (See Note A-9.37.1.2.).),Construction of a secondary suite and alterations to an existing building to accommodate a secondary suite shall conform to the requirements in this Part except as provided in this Section. (See Note A-9.37.1.2.).),0.6154574548966636
"Windows, doors and skylights shall conform to the requirements in CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights and CSA A440S1-17 Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440-11, NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights","Windows, doors and skylights shall conform to the requirements in CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights and CSA A440S1-17 Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440-11, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights","Except as permitted by Sentence (2) and Article 9.7.4.3., windows, doors and skylights and their components shall conform to AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights"" (Harmonized Standard), and CSA A440S1, ""Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440, NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights"". (See Note A-9.7.4.2.(1).)","Except as permitted by Sentence (2) and Article 9.7.4.3., windows, doors and skylights and their components shall conform to AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights"" (Harmonized Standard), and CSA A440S1, ""Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights"". (See Note A-9.7.4.2.(1).)",0.6722139969935249
,,"Windows, doors, skylights, and their components shall be designed and constructed in accordance with Subsection 5.1.4., Section 5.3., 5.4. and Section 5.6., or the following standards AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights,"" and except as permitted by Sentence (3), CSA A440S1, ""Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440, NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights."" (See Note A-5.9.2.2.(1)","Windows, doors, skylights, and their components shall be designed and constructed in accordance with Subsection 5.1.4., Section 5.3., 5.4. and Section 5.6., or the following standards AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights,"" and except as permitted by Sentence (3), CSA A440S1, ""Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights."" (See Note A-5.9.2.2.(1)",0.0
