National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as provided in Sentence 8.4.4.9.(2), the heating system serving each thermal block of the reference building shall be determined in accordance with Table 8.4.4.7.-A and this Article.","Except as provided in Sentence (2), the heating system serving each thermal block of the reference building shall be determined in accordance with Table 8.4.4.7.-A and this Article.","Except as provided in Sentence (3), the minimum number of water closets for tents shall be determined in accordance with Table 3.7.4.3.E.","Except as provided in Sentence (3), the minimum number of water closets for tents shall be determined in accordance with Table 3.7.4.3.E.",0.6218743352054218
"Except as permitted by Sentence 3.1.8.13.(2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as permitted by Sentence (2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.",0.7881104062391003
,,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,0.0
"A self-closing device need not be provided on a door that is located between a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, a patients’ sleeping room and a corridor serving the patients’ sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or a patients’ sleeping room and an adjacent room that serves the patients’ sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","A self-closing device need not be provided on a door that is located between (a) a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, (b) a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, (c) a patients sleeping room and a corridor serving the patients sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or (d) a patients sleeping room and an adjacent room that serves the patients sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, a patient’s or resident’s sleeping room and a corridor serving the patient’s or resident’s sleeping room, or a patient’s or resident’s sleeping room and an adjacent room that serves the patient’s or resident’s sleeping room.","Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, (a) a patient s or resident s sleeping room and a corridor serving the patient s or resident s sleeping room, or (b) a patient s or resident s sleeping room and an adjacent room that serves the patient s or resident s sleeping room.",0.6956655929999346
,,"In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.",0.0
,,"In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door between a public corridor and an adjacent room or suite of business and personal services occupancy if the door is not located in, a dead-end portion of the corridor, or a corridor that serves a hotel.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door between a public corridor and an adjacent room or suite of business and personal services occupancy if the door is not located in, (a) a dead-end portion of the corridor, or (b) a corridor that serves a hotel.",0.0
"A self-closing device need not be provided on a door that is located between a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, a patients’ sleeping room and a corridor serving the patients’ sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or a patients’ sleeping room and an adjacent room that serves the patients’ sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","A self-closing device need not be provided on a door that is located between (a) a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, (b) a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, (c) a patients sleeping room and a corridor serving the patients sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or (d) a patients sleeping room and an adjacent room that serves the patients sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, a patient’s or resident’s sleeping room and a corridor serving the patient’s or resident’s sleeping room, or a patient’s or resident’s sleeping room and an adjacent room that serves the patient’s or resident’s sleeping room.","Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, (a) a patient s or resident s sleeping room and a corridor serving the patient s or resident s sleeping room, or (b) a patient s or resident s sleeping room and an adjacent room that serves the patient s or resident s sleeping room.",0.6956655929999346
"Except as provided in Sentences 3.1.9.1.(2)and 3.1.9.1.(3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence 3.1.9.4.(1), provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and 3.1.9.1.(3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence 3.1.9.4.(1), provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and (3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence (1), provided, they do not exceed, 160 cm² in area, and an aggregate area of 650 cm² in any 9.3 m² of surface area, and the annular space between the membrane and noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and (3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence (1), provided, they do not exceed, 160 cmÃÂ² in area, and an aggregate area of 650 cmÃÂ² in any 9.3 mÃÂ² of surface area, and the annular space between the membrane and noncombustible electrical outlet boxes does not exceed 3 mm.",0.9443568758679044
,,"Noncombustible electrical outlet boxes that penetrate a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not meet the requirements of Article 3.1.9.1. provided, they do not exceed, 100 cm2 each in area, and an aggregate area of 650 cm2 in any 9.3 m2 of surface area, and the annular space between the membrane and the box does not exceed 3 mm.","Noncombustible electrical outlet boxes that penetrate a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not meet the requirements of Article 3.1.9.1. provided, they do not exceed, 100 cm2 each in area, and an aggregate area of 650 cm2 in any 9.3 m2 of surface area, and the annular space between the membrane and the box does not exceed 3 mm.",0.0
,,Combustible piping that is part of a system described in Sentence (1) shall not be located in a vertical service space.,Combustible piping that is part of a system described in Sentence (1) shall not be located in a vertical service space.,0.0
