National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.",0.9961055339603062
"Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)",0.949551667681459
"Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under part 3., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.",0.9712158562992556
"Except as permitted by Sentence 3.4.6.8.(10), the top of the nosing of stair treads shall have a rounded or beveled edge extending not less than 6 mm and not more than 13 mm measured horizontally from the front of the nosing.","Except as permitted by Sentence 3.4.6.8.(10), the top of the nosing of stair treads shall have a rounded or beveled edge extending not less than 6 mm and not more than 13 mm measured horizontally from the front of the nosing.",,,0.0
,,"The top of the nosing of stair treads shall except as permitted in Sentence (10), have either a radius or a bevel between 6 mm and 10 mm in horizontal dimension, have no abrupt angles on the underside, and not project more than 38 mm.","The top of the nosing of stair treads shall except as permitted in Sentence (10), have either a radius or a bevel between 6 mm and 10 mm in horizontal dimension, have no abrupt angles on the underside, and not project more than 38 mm.",0.0
"Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1)and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.) (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)","Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1) and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)",,,0.0
,,"Except as permitted by Sentence (2), access from the accessible entrances required by Sentences 3.8.2.2.(1) and (2) shall be provided throughout the entrance storey or storeys and within all other normally occupied floor areas as required by Sentence 3.8.2.1.(1).","Except as permitted by Sentence (2), access from the accessible entrances required by Sentences 3.8.2.2.(1) and (2) shall be provided throughout the entrance storey or storeys and within all other normally occupied floor areas as required by Sentence 3.8.2.1.(1).",0.0
Only the active leaf in a multiple leaf door in a barrier-free path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple leaf door in a barrier-free path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple-leaf door in an accessible path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple-leaf door in an accessible path of travel need conform to the requirements of this Article.,0.9211180503640287
Only the active leaf in a multiple-leaf door in a barrier-free path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple-leaf door in a barrier-free path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple leaf door in an accessible path of travel need conform to the requirements of this Article.,Only the active leaf in a multiple leaf door in an accessible path of travel need conform to the requirements of this Article.,0.9211180503640287
"Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.","Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.",,,0.0
,,"Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with Article 2.4.10.4. of Division B of Book II (Plumbing of this Code.","Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with Article 2.4.10.4. of Division B of Book II (Plumbing of this Code.",0.0
