National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as otherwise required by this Code, portable extinguishers shall be selected and installed in accordance with NFPA 10-2013 Portable Fire Extinguishers","Except as otherwise required by this Code, portable extinguishers shall be selected and installed in accordance with NFPA 10-2013 Portable Fire Extinguishers",Portable extinguishers shall be provided in accordance with Section 6.2.,Portable extinguishers shall be provided in accordance with Section 6.2.,0.5355694441217915
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",Doors in fire separations required in Sentence (1) shall be equipped with self-closing devices.,,0.5658550266598794
,,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,0.0
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",Doors in fire separations required in Sentence (1) shall be equipped with self-closing devices.,,0.5658550266598794
,,"Sentences (1) and (2) do not apply to a door designed to close automatically in the event of a fire emergency, or a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.","Sentences (1) and (2) do not apply to (a) a door designed to close automatically in the event of a fire emergency, or (b) a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.",0.0
"Except for fires used for cooking in fireplaces, grills or barbecues, open air fires shall not be set unless appropriate measures are taken to limit their spread. (See Note A-2.4.5.1.(1).)","Except for fires used for cooking in fireplaces, grills or barbecues, open air fires shall not be set unless appropriate measures are taken to limit their spread. (See Note A-2.4.5.1.(1).)",,,0.0
,,"Open-air burning shall not take place unless it has been approved, or the open-air burning consists of a small, confined fire that is used to cook food on a grill, barbecue or spit, commensurate with the type and quantity of food being cooked, and supervised at all times.","Open-air burning shall not take place unless (a) it has been approved, or (b) the open-air burning consists of a small, confined fire that is (i) used to cook food on a grill, barbecue or spit, (ii) commensurate with the type and quantity of food being cooked, and (iii) supervised at all times.",0.0
Coal and wood bins shall be located not less than 1.2 m from the appliance served.,Coal and wood bins shall be located not less than 1.2 m from the appliance served.,,,0.0
,,Bins containing solid fuel shall be located at least 1.2 m from any appliance.,Bins containing solid fuel shall be located at least 1.2 m from any appliance.,0.0
The number of occupants permitted to enter a room shall not exceed the maximum occupant load calculated in conformance with Sentence 2.7.1.3.(1).,The number of occupants permitted to enter a room shall not exceed the maximum occupant load calculated in conformance with Sentence 2.7.1.3.(1).,,,0.0
,,The number of persons occupying a room or floor space in an assembly occupancy shall not exceed the occupant load for the intended use as determined in Sentence (2).,The number of persons occupying a room or floor space in an assembly occupancy shall not exceed the occupant load for the intended use as determined in Sentence (2).,0.0
,,Nonfixed row seating in an assembly occupancy shall be arranged as described in Sentences (2) to (8).,Nonfixed row seating in an assembly occupancy shall be arranged as described in Sentences (2) to (8).,0.0
"When nonfixed seats are provided in assembly occupancies, except as provided in Sentence 2.7.1.5.(3), the seats shall be arranged in rows having an unobstructed passage of not less than 400 mm between rows measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row behind in the unoccupied position, except as provided in Sentence 2.7.1.5.(2), aisles shall be located so that there are not more than 7 seats between every seat and the nearest aisle, except as provided in Sentence 2.7.1.5.(2), the clear width of an aisle in millimetres shall be not less than the greater of 1 100 or the product of the number of seats served by that aisle and 6.1, the width of an aisle is permitted to be reduced to not less than 750 mm when serving 60 seats or fewer, dead-end aisles shall not be longer than 6 m, and except as provided in Sentence 2.7.1.5.(3), when the occupant load exceeds 200 persons, the seats in a row shall be fastened together in units of no fewer than 8 seats, or where there are 7 seats or fewer in a row, all the seats in the row shall be fastened together.","When nonfixed seats are provided in assembly occupancies, except as provided in Sentence 2.7.1.5.(3), the seats shall be arranged in rows having an unobstructed passage of not less than 400 mm between rows measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row behind in the unoccupied position, except as provided in Sentence 2.7.1.5.(2), aisles shall be located so that there are not more than 7 seats between every seat and the nearest aisle, except as provided in Sentence 2.7.1.5.(2), the clear width of an aisle in millimetres shall be not less than the greater of 1 100 or the product of the number of seats served by that aisle and 6.1, the width of an aisle is permitted to be reduced to not less than 750 mm when serving 60 seats or fewer, dead-end aisles shall not be longer than 6 m, and except as provided in Sentence 2.7.1.5.(3), when the occupant load exceeds 200 persons, the seats in a row shall be fastened together in units of no fewer than 8 seats, or where there are 7 seats or fewer in a row, all the seats in the row shall be fastened together.","If non-fixed row seating is provided for more than 200 persons in an assembly occupancy, the seats shall be fastened in units of not less than 4 and not more than 12 seats, or each end seat abutting an aisle shall be securely fastened to the floor.","If non-fixed row seating is provided for more than 200 persons in an assembly occupancy, the seats shall be fastened in units of not less than 4 and not more than 12 seats, or each end seat abutting an aisle shall be securely fastened to the floor.",0.5697683249722632
"When nonfixed seats are provided in outdoor assembly occupancies, aisles shall be located so that there are not more than 15 seats between every seat and the nearest aisle, and the clear width of an aisle in millimetres shall be not less than the greater of 1 200 or the product of the number of seats served by that aisle and 1.8.","When nonfixed seats are provided in outdoor assembly occupancies, aisles shall be located so that there are not more than 15 seats between every seat and the nearest aisle, and the clear width of an aisle in millimetres shall be not less than the greater of 1 200 or the product of the number of seats served by that aisle and 1.8.",Aisles leading to exits shall be provided so that there are not more than seven seats between any seat and the nearest aisle.,Aisles leading to exits shall be provided so that there are not more than seven seats between any seat and the nearest aisle.,0.6038153555476092
"When nonfixed seats are provided in assembly occupancies, except as provided in Sentence 2.7.1.5.(3), the seats shall be arranged in rows having an unobstructed passage of not less than 400 mm between rows measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row behind in the unoccupied position, except as provided in Sentence 2.7.1.5.(2), aisles shall be located so that there are not more than 7 seats between every seat and the nearest aisle, except as provided in Sentence 2.7.1.5.(2), the clear width of an aisle in millimetres shall be not less than the greater of 1 100 or the product of the number of seats served by that aisle and 6.1, the width of an aisle is permitted to be reduced to not less than 750 mm when serving 60 seats or fewer, dead-end aisles shall not be longer than 6 m, and except as provided in Sentence 2.7.1.5.(3), when the occupant load exceeds 200 persons, the seats in a row shall be fastened together in units of no fewer than 8 seats, or where there are 7 seats or fewer in a row, all the seats in the row shall be fastened together.","When nonfixed seats are provided in assembly occupancies, except as provided in Sentence 2.7.1.5.(3), the seats shall be arranged in rows having an unobstructed passage of not less than 400 mm between rows measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row behind in the unoccupied position, except as provided in Sentence 2.7.1.5.(2), aisles shall be located so that there are not more than 7 seats between every seat and the nearest aisle, except as provided in Sentence 2.7.1.5.(2), the clear width of an aisle in millimetres shall be not less than the greater of 1 100 or the product of the number of seats served by that aisle and 6.1, the width of an aisle is permitted to be reduced to not less than 750 mm when serving 60 seats or fewer, dead-end aisles shall not be longer than 6 m, and except as provided in Sentence 2.7.1.5.(3), when the occupant load exceeds 200 persons, the seats in a row shall be fastened together in units of no fewer than 8 seats, or where there are 7 seats or fewer in a row, all the seats in the row shall be fastened together.","If non-fixed row seating is provided for more than 200 persons in an assembly occupancy, the seats shall be fastened in units of not less than 4 and not more than 12 seats, or each end seat abutting an aisle shall be securely fastened to the floor.","If non-fixed row seating is provided for more than 200 persons in an assembly occupancy, the seats shall be fastened in units of not less than 4 and not more than 12 seats, or each end seat abutting an aisle shall be securely fastened to the floor.",0.5697683249722632
