National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,,1.0
"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.",,"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.",,1.0000000000000002
Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,,Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,,0.9999999999999999
"A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Clause 2.8.2.1.(1)(a).",,"A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Sentence 2.8.2.1.(1).",,0.9711558436476048
Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,,Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,,1.0000000000000002
"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.",,"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.",,1.0000000000000002
Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,,Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,,1.0000000000000002
A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),,A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),,1.0000000000000002
"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)",,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 5.7.1.1. (See Note A-1.1.2.1.(1).)",,0.9811120356107769
A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,,A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,,1.0000000000000002
"Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.",,"Self-contained emergency lighting unit equipment shall be tested at intervals not greater than one month to ensure that the emergency lights will function upon failure of the primary power supply, and at intervals not greater than 12 months to ensure that the unit will provide emergency lighting for a duration equal to the design criterion under simulated power failure conditions.",,1.0
"Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.",,"Except as permitted in Sentence 4.10.8.1.(2), in maturing warehouses, at least one portable extinguisher having a rating of 4-A:30-B:C shall be located adjacent to each exit.",,1.0
"Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.",,"Except as provided in Sentence 4.10.8.2.(2), standpipe and hose systems shall be provided and installed in distilleries in conformance with Article 2.1.3.1.",,1.0000000000000002
"Work on ducts involving the use of heat-producing devices for cutting, welding or soldering shall not be undertaken before the system has been shut down, the duct has been cleaned of any accumulations of combustible deposits, and any combustible lining and covering material that could be ignited by such work has been removed.",,"Work on ducts involving the use of heat-producing devices for cutting, welding or soldering shall not be undertaken before the system has been shut down, the duct has been cleaned of any accumulations of combustible deposits, and any combustible lining and covering material that could be ignited by such work has been removed.",,1.0000000000000002
"Where field test methods are included in the storage tank construction standards referred to in Articles 4.3.1.2.and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.",,"Where field test methods are included in the storage tank construction standards referred to in Articles 4.3.1.2.and 4.3.1.3., such tests shall be permitted for storage tanks conforming to those standards.",,1.0000000000000002
Attendants shall be trained on how to conduct their duties.,Attendants shall be trained on how to conduct their duties.,"Attendants shall be trained on how to conduct their duties, including inventory reconciliation practices, proper and safe product transfer procedures, and responsibilities identified in this Code.","Attendants shall be trained on how to conduct their duties, including inventory reconciliation practices, proper and safe product transfer procedures, and responsibilities identified in this Code.",0.6072275739636765
"Except as provided in Subsection 3.1.1., this Subsection applies to the indoor storage of dangerous goods classified as compressed gases.",,"Except as provided in part 3., this Subsection applies to the indoor storage of dangerous goods classified as compressed gases.",,0.9548905905770364
Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,,Warning signs shall be posted in a conspicuous location near every entrance to the premises being fumigated.,,1.0
"In a sprinkleredbuilding, the storage of combustible pallets is permitted to exceed the values stated in Sentence 3.2.2.4.(2) provided such storage conforms to NFPA 13-2013 Installation of Sprinkler Systems (See Note A-3.2.2.4.(3).)",,"In a sprinkleredbuilding, the storage of combustible pallets is permitted to exceed the values stated in Sentence 3.2.2.4.(2) provided such storage conforms to NFPA 13-2013 Installation of Sprinkler Systems (See Note A-3.2.2.4.(3).)",,1.0
Means of egress shall be maintained in good repair and free of obstructions.,,Means of egress shall be maintained in good repair and free of obstructions.,,1.0000000000000002
"Quantities of flammable liquids and combustible liquids in excess of those permitted in Sentence 5.5.5.1.(1) shall be stored in cabinets conforming to Subsection 4.2.10. except that, in laboratories described in Clause 5.5.5.1.(1)(b), the total quantity of flammable liquids and combustible liquids stored in such cabinets shall not exceed the quantity permitted for one cabinet, or a room conforming to Subsection 4.2.9.",,"Quantities of flammable liquids and combustible liquids in excess of those permitted in Sentence 5.5.5.1.(1) shall be stored in cabinets conforming to part 4. except that, in laboratories described in Sentence 5.5.5.1.(1), the total quantity of flammable liquids and combustible liquids stored in such cabinets shall not exceed the quantity permitted for one cabinet, or a room conforming to part 4.",,0.9304021988334775
"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 5.7.1.1. (See Note A-1.1.2.1.(1).)",,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 7.4.1.1. (See Note A-1.1.2.1.(1).)",,0.9811120356107769
"Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids","Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-16 Hose Nozzle Valves for Flammable and Combustible Liquids","Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-07 Hose Nozzle Valves for Flammable and Combustible Liquids","Every hose nozzle valve through which a Class I or II liquid is dispensed by a motorized dispenser into a vehicle tank shall be automatic closing as required in Sentence 4.6.5.2.(2), and conform to ULC CAN/ULC-S620-07 Hose Nozzle Valves for Flammable and Combustible Liquids",0.9535081376707459
Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2. (See Note A-4.7.4.),,Class I liquids shall not be dispensed into a metal container or storage tank unless it is electrically connected in conformance with Article 4.1.8.2.,,0.96987204303192
Commercial cooking equipment that is certified shall be installed and maintained in conformance with its certification.,,Commercial cooking equipment that is certified shall be installed and maintained in conformance with its certification.,,1.0
"Where piping passes through a secondary containment, such passages shall conform to Sentences 4.3.7.2.(1)and 4.3.7.2.(2). (See Note A-4.1.6.1.(1).)",,"Where piping passes through a secondary containment, such passages shall conform to Sentences 4.3.7.2.(1)and 4.3.7.2.(2).",,0.9656299911101074
"Any access route, gateway or clear space required in this Section shall be maintained in conformance with Section 2.5., and kept free of obstructions and piles of snow.",,"Any access route, gateway or clear space required in this Section shall be maintained in conformance with part 2., and kept free of obstructions and piles of snow.",,0.9746836424594976
"When barriers required in Sentence 4.1.6.1.(1) are provided to contain accidental spillage from aboveground storage tanks, they shall conform to the requirements for secondary containment in Subsection 4.3.7.",,"When barriers required in Sentence 4.1.6.1.(1) are provided to contain accidental spillage from aboveground storage tanks, they shall conform to the requirements for secondary containment in part 4.",,0.9679954124749932
Piping shall be installed outdoors whenever possible and located so it will not create a hazard to buildings or equipment.,,Piping shall be installed outdoors whenever possible and located so it will not create a hazard to buildings or equipment.,,1.0000000000000004
"Storage tanks, wooden vats, barrels, drums or containers used for the storage or processing of distilled beverage alcohols shall be designed, fabricated and tested for the anticipated maximum working pressure, operating temperature, internal corrosion conditions and structural stresses to which they could be subjected. (See Note A-4.10.3.2.)",,"Storage tanks, wooden vats, barrels, drums or containers used for the storage or processing of distilled beverage alcohols shall be designed, fabricated and tested for the anticipated maximum working pressure, operating temperature, internal corrosion conditions and structural stresses to which they could be subjected.",,0.9823180572913999
"Where an exit door leading directly to the outside is subject to being obstructed by parked vehicles or storage because of its location, a visible sign or a physical barrier prohibiting such obstructions shall be installed on the exterior side of the door.",,"Where an exit door leading directly to the outside is subject to being obstructed by parked vehicles or storage because of its location, a visible sign or a physical barrier prohibiting such obstructions shall be installed on the exterior side of the door.",,1.0000000000000004
An outdoor area used for the container storage of flammable liquids or combustible liquids shall be fenced in conformance with Article 3.3.2.6.,,An outdoor area used for the container storage of flammable liquids or combustible liquids shall be fenced in conformance with Article 3.3.2.6.,,1.0000000000000002
"This Section applies to hot works involving open flames or producing heat or sparks, including but not limited to, cutting, welding, soldering, brazing, grinding, adhesive bonding, roofing operations, thermal spraying and thawing pipes.",,"This Section applies to hot works involving open flames or producing heat or sparks, including but not limited to, cutting, welding, soldering, brazing, grinding, adhesive bonding, roofing operations, thermal spraying and thawing pipes.",,1.0
"A tank vehicle is permitted to be left unattended by the vehicle operator outside a building for more than 1 h, but only in a parking space that is located not less than 15 m from a building, and where the tank vehicle is not exposed to undue hazard from accident or collision.",,"A tank vehicle is permitted to be left unattended by the vehicle operator outside a building for more than 1 h, but only in a parking space that is located not less than 15 m from a building, and where the tank vehicle is not exposed to undue hazard from accident or collision.",,1.0000000000000002
Battery-powered industrial trucks shall conform to ULC ULC/ORD-C583-14 Guide for the Investigation of Electric Battery Powered Industrial Trucks,,Battery-powered industrial trucks shall conform to ULC ULC/ORD-C583-14 Guide for the Investigation of Electric Battery Powered Industrial Trucks,,0.9999999999999998
"In buildings not required to be equipped with a standpipe and hose system by the NBC, hose stations shall be provided in the vicinity of the storage room, such that all parts of the room are within reach of a hose stream. (See Note A-4.3.14.4.(1).)","In buildings not required to be equipped with a standpipe and hose system by the NBC, hose stations shall be provided in the vicinity of the storage room, such that all parts of the room are within reach of a hose stream. (See Note A-4.3.14.4.(1).)","In buildings not required to be equipped with a standpipe and hose system by the NBC(AE), hose stations shall be provided in the vicinity of the storage room, such that all parts of the room are within reach of a hose stream. (See Note A-4.3.14.4.(1).)","In buildings not required to be equipped with a standpipe and hose system by the NBC(AE), hose stations shall be provided in the vicinity of the storage room, such that all parts of the room are within reach of a hose stream. (See Note A-4.3.14.4.(1).)",0.9871500418703656
"Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC.","Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC.","Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC(AE).","Rooms, corridors, shafts and other spaces shall be separated where practicable by fire separations conforming to the NBC(AE).",0.9686376563969863
"Except as provided in Sentences 4.1.3.1.(3)and 4.1.3.1.(4), the flash point of liquids having a kinematic viscosity of 6 cSt or more at 37.8°C or a flash point of 93.3°C or higher shall be determined in conformance with ASTM D 93-13e1 Flash Point by Pensky-Martens Closed Cup Tester",,"Except as provided in Sentences 4.1.3.1.(3)and 4.1.3.1.(4), the flash point of liquids having a kinematic viscosity of 6 cSt or more at 37.8°C or a flash point of 93.3°C or higher shall be determined in conformance with ASTM D 93-13e1 Flash Point by Pensky-Martens Closed Cup Tester",,1.0000000000000002
"Except as provided in Article 4.2.7.9., main aisles, access aisles and aisles defining individual storage areas shall be in conformance with Article 3.2.2.2.",,"Except as provided in Article 4.2.7.9., main aisles, access aisles and aisles defining individual storage areas shall be in conformance with Article 3.2.2.2.",,1.0
"Self-contained emergency lighting unit equipment shall be inspected at intervals not greater than one month to ensure that pilot lights are functioning and not obviously damaged or obstructed, the terminal connections are clean, free of corrosion and lubricated when necessary, the terminal clamps are clean and tight as per manufacturer's specifications, and the battery surface is kept clean and dry.",,"Self-contained emergency lighting unit equipment shall be inspected at intervals not greater than one month to ensure that pilot lights are functioning and not obviously damaged or obstructed, the terminal connections are clean, free of corrosion and lubricated when necessary, the terminal clamps are clean and tight as per manufacturer's specifications, and the battery surface is kept clean and dry.",,1.0
"In assembly occupancies, flaming meals or drinks shall be ignited only at the location of serving.",,"In assembly occupancies, flaming meals or drinks shall be ignited only at the location of serving.",,1.0000000000000002
"Dangerous goods shall be stored in packages or containers made of materials that are compatible with the product they contain, and of durable construction and designed to resist damage from normal material handling activities.",,"Dangerous goods shall be stored in packages or containers made of materials that are compatible with the product they contain, and of durable construction and designed to resist damage from normal material handling activities.",,0.9999999999999999
"Where vestibules or stairshafts are pressurized as a means of smoke control, all doors in the path of exit travel shall be tested to ensure that they can be operated as required in Article 2.7.2.1. when the entire smoke control system is being tested.",,"Where vestibules or stairshafts are pressurized as a means of smoke control, all doors in the path of exit travel shall be tested to ensure that they can be operated as required in Article 2.7.2.1. when the entire smoke control system is being tested.",,1.0000000000000002
"Except as provided in Subsection 4.2.12. regarding self-service storage buildings, this Subsection applies to the storage of flammable liquids and combustible liquids in closed containers in industrial occupancies.",,"Except as provided in part 4. regarding self-service storage buildings, this Subsection applies to the storage of flammable liquids and combustible liquids in closed containers in industrial occupancies.",,0.9460553454156598
