National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",0.9522461049946922
"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",,0.9925637762566941
"In an assembly occupancy, the number of spaces designated for wheelchair use within rooms or areas with fixed seats shall conform to Table 3.8.2.3. (See also Article 3.8.3.21. for additional requirements.)","In an assembly occupancy, the number of spaces designated for wheelchair use within rooms or areas with fixed seats shall conform to Table 3.8.2.3. (See also Article 3.8.3.21. for additional requirements.)",,,0.0
,,"Unless a barrier-free path of travel is not required in an assembly occupancy by Sentence 3.8.2.3.(2), the number of spaces designated for use by persons using wheelchairs within rooms or areas with fixed seats shall conform to Table 3.8.2.3. and be dispersed in each floor level of seating, in each price range of seating, and in each viewing section of seating.","Unless a barrier-free path of travel is not required in an assembly occupancy by Clause 3.8.2.3.(2)(i), the number of spaces designated for use by persons using wheelchairs within rooms or areas with fixed seats shall conform to Table 3.8.2.3. and be dispersed in each floor level of seating, in each price range of seating, and in each viewing section of seating. (See Article 3.8.3.21. for the design requirements.)",0.0
At least one water-closet stall or enclosure in a washroom required to be barrier-free shall comply with Subsection 3.8.3.,At least one water-closet stall or enclosure in a washroom required to be barrier-free shall comply with Subsection 3.8.3.,,,0.0
,,"If more than one water closet is provided in a washroom required to be barrier-free, a barrier-free stall complying with part 3. shall be provided for every 10 stalls or part thereof.","If more than one water closet is provided in a washroom required to be barrier-free, a barrier-free stall complying with Subsection 3.8.3. shall be provided for every 10 stalls or part thereof.",0.0
Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).) (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 850 mm when the doors are in the open position. (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 850 mm when the doors are in the open position. (See Note A-3.8.3.6,0.9114654303753004
A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,,,0.0
,,A platform-equipped passenger-elevating device used in a barrier-free path of travel shall conform to the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act.,A platform-equipped passenger-elevating device used in a barrier-free path of travel shall conform to the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act.,0.0
"Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.","Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.",,,0.0
