National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",0.9147718701405306
"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",,0.9932990048915499
"In an assembly occupancy, the number of spaces designated for wheelchair use within rooms or areas with fixed seats shall conform to Table 3.8.2.3. (See also Article 3.8.3.21. for additional requirements.)","In an assembly occupancy, the number of spaces designated for wheelchair use within rooms or areas with fixed seats shall conform to Table 3.8.2.3. (See also Article 3.8.3.21. for additional requirements.)",,,0.0
,,"Unless a barrier-free path of travel is not required in an assembly occupancy by Sentence 3.8.2.3.(2), the number of spaces designated for use by persons using wheelchairs within rooms or areas with fixed seats shall conform to Table 3.8.2.3. and be dispersed in each floor level of seating, in each price range of seating, and in each viewing section of seating.","Unless a barrier-free path of travel is not required in an assembly occupancy by Clause 3.8.2.3.(2)(i), the number of spaces designated for use by persons using wheelchairs within rooms or areas with fixed seats shall conform to Table 3.8.2.3. and be dispersed in each floor level of seating, in each price range of seating, and in each viewing section of seating. (See Article 3.8.3.21. for the design requirements.)",0.0
Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).) (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 850 mm when the doors are in the open position. (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 850 mm when the doors are in the open position. (See Note A-3.8.3.6,0.8532554740231941
A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,,,0.0
,,A platform-equipped passenger-elevating device used in a barrier-free path of travel shall conform to the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act.,A platform-equipped passenger-elevating device used in a barrier-free path of travel shall conform to the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act.,0.0
"Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.","Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming with the relevant provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, with Article 2.4.10.4. of Division B of the NPC.",,,0.0
,,"Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming to the Plumbing Code Regulation made pursuant to the Safety Codes Act.","Where precipitation can accumulate on sloped or horizontal assemblies, provision shall be made for drainage conforming to the Plumbing Code Regulation made pursuant to the Safety Codes Act.",0.0
"Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.","Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.",,,0.0
,,Every plumbing system and private sewage disposal system shall be designed and installed in conformance with the Plumbing Code Regulation and Private Sewage Disposal Systems Regulation made pursuant to the Safety Codes Act.,Every plumbing system and private sewage disposal system shall be designed and installed in conformance with the Plumbing Code Regulation and Private Sewage Disposal Systems Regulation made pursuant to the Safety Codes Act.,0.0
Glass other than safety glass shall not be used for a shower or bathtub enclosure.,Glass other than safety glass shall not be used for a shower or bathtub enclosure.,Glass used in shower and bathtub enclosures shall comply with Sentence 9.6.1.4.(6).,Glass used in shower and bathtub enclosures shall comply with Sentence 9.6.1.4.(6).,0.6266910932573662
"Glass, other than safety glass, shall not be used for a shower or bathtub enclosure.","Glass, other than safety glass, shall not be used for a shower or bathtub enclosure.",Glass other than laminated or tempered safety glass shall not be used for a shower or bathtub enclosure.,Glass other than laminated or tempered safety glass shall not be used for a shower or bathtub enclosure.,0.867127792664246
"Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I","Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I",,,0.0
