National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Luminaire wattage to be included in installed interior lighting power shall be determined in accordance with the following criteria: except as provided in Clause 4.2.1.4.(3)(b), the wattage of luminaires shall be the design operating input wattage of the lamp/auxiliary combination based on values provided by a recognized testing laboratory or, in the absence of such information, the maximum labeled wattage of the luminaire shall be used (see Note A-4.2.1.4.(3)(a)), the wattage of luminaires with ballasts designed for multiple wattages shall be the maximum labeled wattage of the luminaire, for line-voltage lighting track and plug-in busway designed to allow the addition and/or relocation of luminaires without altering the wiring of the system, the wattage shall be the specified wattage of the luminaires included in the system with a minimum of 98 W/m, the wattage limit of the system’s circuit breaker, or the wattage limit of other permanent current-limiting device(s) on the system, the wattage of low-voltage lighting track, cable conductor, rail conductor, and other flexible lighting systems that allow the addition and/or relocation of luminaires without altering the wiring of the system shall be the specified wattage of the transformer supplying the system, and the wattage of all other miscellaneous lighting equipment shall be the specified wattage of the lighting equipment.","Luminaire wattage to be included in installed interior lighting power shall be determined in accordance with the following criteria: except as provided in Clause (b), the wattage of luminaires shall be the design operating input wattage of the lamp/auxiliary combination based on values provided by a recognized testing laboratory or, in the absence of such information, the maximum labeled wattage of the luminaire shall be used (see Note A-4.2.1.4.(3)(a)), the wattage of luminaires with ballasts designed for multiple wattages shall be the maximum labeled wattage of the luminaire, for line-voltage lighting track and plug-in busway designed to allow the addition and/or relocation of luminaires without altering the wiring of the system, the wattage shall be the specified wattage of the luminaires included in the system with a minimum of 98 W/m, the wattage limit of the system s circuit breaker, or the wattage limit of other permanent current-limiting device(s) on the system, the wattage of low-voltage lighting track, cable conductor, rail conductor, and other flexible lighting systems that allow the addition and/or relocation of luminaires without altering the wiring of the system shall be the specified wattage of the transformer supplying the system, and the wattage of all other miscellaneous lighting equipment shall be the specified wattage of the lighting equipment.","Every sewage system shall be operated in accordance with,(a) the basis on which the construction and use of the sewage system was approved or required under the Act or predecessor legislation, as the case may be, and (b) the requirements of the manufacturer of the sewage system.","Every sewage system shall be operated in accordance with,(a) the basis on which the construction and use of the sewage system was approved or required under the Act or predecessor legislation, as the case may be, and (b) the requirements of the manufacturer of the sewage system.",0.7580236726280286
"The depth of the primary sidelighted area shall be calculated as the horizontal distance perpendicular to the glazing that is the smaller of the following values: one window head height, which is the distance from the floor to the top of the glazing, or the distance to any vertical obstruction that is 1.5 m or more in height.","The depth of the primary sidelighted area shall be calculated as the horizontal distance perpendicular to the glazing that is the smaller of the following values: one window head height, which is the distance from the floor to the top of the glazing, or the distance to any vertical obstruction that is 1.5mor more in height.","For the purpose of Clauses (3)(c) and (d), if the room or suite in which the mezzanine is located is permitted to have one egress doorway, the travel distance is measured from any point on the mezzanine to that doorway, or if the room or suite in which the mezzanine is located is required to have more than one egress doorway, the travel distance is measured from any point on the mezzanine to the nearest egress facility leading from the mezzanine.","For the purpose of Clauses (3)(c) and (d), (a) if the room or suite in which the mezzanine is located is permitted to have one egress doorway, the travel distance is measured from any point on the mezzanine to that doorway, or (b) if the room or suite in which the mezzanine is located is required to have more than one egress doorway, the travel distance is measured from any point on the mezzanine to the nearest egress facility leading from the mezzanine.",0.7348836679370009
"The daylighted area under each roof monitor shall be calculated as the product of Clauses 4.2.2.4.(2)(a)and 4.2.2.4.(2)(b): the width of the vertical glazing above the ceiling plus the smallest of the following measurements applied to each side of the glazing: 0.6 m, the distance to any vertical obstruction that is 1.5 m or more in height, or the distance to the edge of any primary sidelighted area, and the smallest of the following measurements applied horizontally from the bottom edge of the glazing: the monitor’s sill height, which is the vertical distance from the floor to the bottom edge of the monitor’s glazing, or the distance to the nearest face of any vertical obstruction where any part of the obstruction is farther away than the difference between the height of the obstruction and the monitor’s sill height. (See Note A-4.2.2.4.(2).)","The daylighted area under each roof monitor shall be calculated as the product of Clauses (a) and (b): the width of the vertical glazing above the ceiling plus the smallest of the following measurements applied to each side of the glazing: 0.6 m, the distance to any vertical obstruction that is 1.5 m or more in height, or the distance to the edge of any primary sidelighted area, and the smallest of the following measurements applied horizontally from the bottom edge of the glazing: the monitor s sill height, which is the vertical distance from the floor to the bottom edge of the monitor s glazing, or the distance to the nearest face of any vertical obstruction where any part of the obstruction is farther away than the difference between the height of the obstruction and the monitor s sill height. (See Note A-4.2.2.4.(2).)","Leaching bed fill that does not meet the requirements of Sentence (2) may be used to form the leaching bed if, (a) the distance from the bottom of the absorption trench to the underlying soil is not less than 900 mm, or (b) where the distance from the bottom of the absorption trench to the underlying soil is less than 900 mm, the percolation time of the least permeable soil or leaching bed fill within 900 mm from the bottom of the absorption trench is used to calculate the length of the distribution pipe under Article 8.7.3.1. or the leaching chamber under Article 8.7.3.1A.","Leaching bed fill that does not meet the requirements of Sentence (2) may be used to form the leaching bed if, (a) the distance from the bottom of the absorption trench to the underlying soil is not less than 900 mm, or (b) where the distance from the bottom of the absorption trench to the underlying soil is less than 900 mm, the percolation time of the least permeable soil or leaching bed fill within 900 mm from the bottom of the absorption trench is used to calculate the length of the distribution pipe under Article 8.7.3.1. or the leaching chamber under Article 8.7.3.1A.",0.7952898216015615
"The insulated surface areas of wall assemblies in contact with the ground shall be calculated using dimensions measured horizontally to the exterior surfaces of perimeter wall assemblies in contact with the ground, and vertically from the exterior ground level to the underside of intersecting floors in contact with the ground.","The insulated surface areas of wall assemblies in contact with the ground shall be calculated using dimensions measured horizontally to the exterior surfaces of perimeter wall assemblies in contact with the ground, and vertically from the exterior ground level to the underside of intersecting floors in contact with the ground.","Except as provided in Sentence (2), all wall, roof and floor assemblies in contact with the ground shall be constructed to resist the leakage of soil gas from the ground into the building.","Except as provided in Sentence (2), all wall, roof and floor assemblies in contact with the ground shall be constructed to resist the leakage of soil gas from the ground into the building.",0.7549875015197142
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",,,0.0
,,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,0.0
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",,,0.0
,,"Sentences (1) and (2) do not apply to a door designed to close automatically in the event of a fire emergency, or a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.","Sentences (1) and (2) do not apply to (a) a door designed to close automatically in the event of a fire emergency, or (b) a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.",0.0
"Except for fires used for cooking in fireplaces, grills or barbecues, open air fires shall not be set unless appropriate measures are taken to limit their spread. (See Note A-2.4.5.1.(1).)","Except for fires used for cooking in fireplaces, grills or barbecues, open air fires shall not be set unless appropriate measures are taken to limit their spread. (See Note A-2.4.5.1.(1).)",,,0.0
,,"Open-air burning shall not take place unless it has been approved, or the open-air burning consists of a small, confined fire that is used to cook food on a grill, barbecue or spit, commensurate with the type and quantity of food being cooked, and supervised at all times.","Open-air burning shall not take place unless (a) it has been approved, or (b) the open-air burning consists of a small, confined fire that is (i) used to cook food on a grill, barbecue or spit, (ii) commensurate with the type and quantity of food being cooked, and (iii) supervised at all times.",0.0
