National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Operable windows and skylights that act as environmental separators shall have an air leakage rate not greater than 0.5 L/(s·m2) when tested in accordance with CSA AAMA/WDMA/CSA 101/I.S.2/A440-11 NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights at a pressure differential of 75 Pa.","Operable windows and skylights that act as environmental separators shall have an air leakage rate not greater than 0.5 L/(s·m2) when tested in accordance with AAMA/WDMA/CSA 101/I.S.2/A440, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights, at a pressure differential of 75 Pa.","Windows, doors and skylights shall conform to the performance grades selected under Sentence (1) when tested in accordance with AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS - North American Fenestration Standard/Specification for Windows, Doors, and Skylights"".","Windows, doors and skylights shall conform to the performance grades selected under Sentence (1) when tested in accordance with AAMA/WDMA/CSA 101/I.S.2/A440, ""NAFS - North American Fenestration Standard/Specification for Windows, Doors, and Skylights"".",0.7206488060622751
Each dwelling unit shall be controlled by at least one thermostatic control device.,Each dwelling unit shall be controlled by at least one thermostatic control device.,"Except as provided in Sentence (3) and except where space heating energy is provided by a solid fuel-burning appliance or a ground source heat pump,(a) where a house contains two dwelling units and each dwelling unit is served by a separate heating system, the indoor air temperature in each dwelling unit shall be controlled by at least one programmable thermostatic control device located in the dwelling unit, (b) where a house contains one dwelling unit or contains two dwelling units and both dwelling units are served by one heating system, the indoor air temperature in the house shall be controlled by at least one programmable thermostatic control device located in the house, and (c) the indoor air temperature in an individual dwelling unit in a building other than a house shall be controlled by at least one programmable thermostatic control device located in the dwelling unit.","Except as provided in Sentence (3) and except where space heating energy is provided by a solid fuel-burning appliance or a ground source heat pump,(a) where a house contains two dwelling units and each dwelling unit is served by a separate heating system, the indoor air temperature in each dwelling unit shall be controlled by at least one programmable thermostatic control device located in the dwelling unit, (b) where a house contains one dwelling unit or contains two dwelling units and both dwelling units are served by one heating system, the indoor air temperature in the house shall be controlled by at least one programmable thermostatic control device located in the house, and (c) the indoor air temperature in an individual dwelling unit in a building other than a house shall be controlled by at least one programmable thermostatic control device located in the dwelling unit.",0.6498672443275301
"Heat-recovery ventilators used to meet the requirements of Sentence 5.2.10.4.(1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CSA CAN/CSA-C439-09 Rating the Performance of Heat/Energy-Recovery Ventilators of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building’s location, as listed in Table A-. (See Note A-5.2.10.4.(2).)","Heat-recovery ventilators used to meet the requirements of Sentence (1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CAN/CSA-C439, Rating the Performance of Heat/Energy-Recovery Ventilators, of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building s location, as listed in Table C-1. (See Note A-5.2.10.4.(2).)","Heat recovery ventilators shall be designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, ""Rating the Performance of Heat/Energy-Recovery Ventilators"", at a Station 1 test temperature of –25°C at an air flow not less than 30 L/s.","Heat recovery ventilators shall be designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, ""Rating the Performance of Heat/Energy-Recovery Ventilators"", at a Station 1 test temperature of Ã¢â¬""25ÃÂ°C at an air flow not less than 30 L/s.",0.7577428189275844
"The insulated surface areas of wall assemblies in contact with the ground shall be calculated using dimensions measured horizontally to the exterior surfaces of perimeter wall assemblies in contact with the ground, and vertically from the exterior ground level to the underside of intersecting floors in contact with the ground.","The insulated surface areas of wall assemblies in contact with the ground shall be calculated using dimensions measured horizontally to the exterior surfaces of perimeter wall assemblies in contact with the ground, and vertically from the exterior ground level to the underside of intersecting floors in contact with the ground.","Except as provided in Sentence (2), all wall, roof and floor assemblies in contact with the ground shall be constructed to resist the leakage of soil gas from the ground into the building.","Except as provided in Sentence (2), all wall, roof and floor assemblies in contact with the ground shall be constructed to resist the leakage of soil gas from the ground into the building.",0.5213309704835577
"Except as otherwise required by this Code, portable extinguishers shall be selected and installed in accordance with NFPA 10-2013 Portable Fire Extinguishers","Except as otherwise required by this Code, portable extinguishers shall be selected and installed in accordance with NFPA 10-2013 Portable Fire Extinguishers","Maintenance and testing of portable extinguishers shall be in conformance with NFPA 10, Portable Fire Extinguishers.","Maintenance and testing of portable extinguishers shall be in conformance with NFPA 10, ""Portable Fire Extinguishers"".",0.6945244658387056
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",Doors in fire separations required in Sentence (1) shall be equipped with self-closing devices.,,0.558079871725631
,,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,0.0
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",Doors in fire separations required in Sentence (1) shall be equipped with self-closing devices.,,0.558079871725631
,,"Sentences (1) and (2) do not apply to a door designed to close automatically in the event of a fire emergency, or a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.","Sentences (1) and (2) do not apply to (a) a door designed to close automatically in the event of a fire emergency, or (b) a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.",0.0
"Except for fires used for cooking in fireplaces, grills or barbecues, open air fires shall not be set unless appropriate measures are taken to limit their spread. (See Note A-2.4.5.1.(1).)","Except for fires used for cooking in fireplaces, grills or barbecues, open air fires shall not be set unless appropriate measures are taken to limit their spread. (See Note A-2.4.5.1.(1).)",,,0.0
