National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.","Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the NFC.",,,0.0
,,"Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the British Columbia Fire Code.","Except as otherwise provided by this Subsection, interior finishes, furnishings and decorative materials shall conform to Section 2.3. of Division B of the British Columbia Fire Code.",0.0
"Totally enclosed non-metallic raceways used in a plenum in a building required to be of noncombustible construction shall exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with ULC CAN/ULC-S102.4-10 Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways (FT6 rating).","Totally enclosed non-metallic raceways used in a plenum in a building required to be of noncombustible construction shall exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with ULC CAN/ULC-S102.4-10 Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways (FT6 rating).",,,0.0
,,"Totally enclosed non-metallic raceways used in a plenum in a building required to be of noncombustible construction shall exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with CAN/ULC-S102.4, ""Standard Method of Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways,"" (FT6 rating).","Totally enclosed non-metallic raceways used in a plenum in a building required to be of noncombustible construction shall exhibit a horizontal flame distance of not more than 1.5 m, an average optical smoke density of not more than 0.15, and a peak optical smoke density of not more than 0.5 when tested in conformance with CAN/ULC-S102.4, ""Standard Method of Test for Fire and Smoke Characteristics of Electrical Wiring, Cables and Non-Metallic Raceways,"" (FT6 rating).",0.0
"Except as provided in Sentences 3.1.9.1.(2)to 3.1.9.1.(5)and Article 3.1.9.4., penetrations of a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating shall be sealed by a fire stop that, when subjected to the fire test method in ULC CAN/ULC-S115-11 Fire Tests of Firestop Systems has an F rating not less than the fire-protection rating required for closures in the fire separation in conformance with Table 3.1.8.4., or cast in place (see Note A-3.1.9.1.(1)(b)). (See also Article 3.1.9.5. for requirements regarding penetrations by combustible drain, waste and vent piping.)","Except as provided in Sentences 3.1.9.1.(2) to 3.1.9.1.(5) and Article 3.1.9.4., penetrations of a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating shall be sealed by a fire stop that, when subjected to the fire test method in ULC CAN/ULC-S115-11 Fire Tests of Firestop Systems has an F rating not less than the fire-protection rating required for closures in the fire separation in conformance with Table 3.1.8.4., or cast in place (see Note A-3.1.9.1.(1)(b)).",,,0.0
,,"Except as provided in Sentences (2) to (5) and Article 3.1.9.4., penetrations of a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating shall be sealed by a fire stop that, when subjected to the fire test method in CAN/ULC-S115, ""Fire Tests of Firestop Systems,"" has an F rating not less than the fire-protection rating required for closures in the fire separation in conformance with Table 3.1.8.4., cast in place (see Note A-3.1.9.1.(1)(b)), or tightly fitted (see Note A-3.1.9.1.(1)(c)). (See also Article 3.1.9.5. for requirements regarding penetrations by combustible drain, waste and vent piping.)","Except as provided in Sentences (2) to (5) and Article 3.1.9.4., penetrations of a fire separation or a membrane forming part of an assembly required to have a fire-resistance rating shall be sealed by a fire stop that, when subjected to the fire test method in CAN/ULC-S115, ""Fire Tests of Firestop Systems,"" has an F rating not less than the fire-protection rating required for closures in the fire separation in conformance with Table 3.1.8.4., cast in place (see Note A-3.1.9.1.(1)(b)), or tightly fitted (see Note A-3.1.9.1.(1)(c)). (See also Article 3.1.9.5. for requirements regarding penetrations by combustible drain, waste and vent piping.)",0.0
"Except as provided in Sentences 3.1.9.1.(2)and 3.1.9.1.(3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence 3.1.9.4.(1), provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and 3.1.9.1.(3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating need not conform to Sentence 3.1.9.4.(1), provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.",,,0.0
,,"Except as provided in Sentences 3.1.9.1.(2) and (3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating are permitted to be waived, provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.","Except as provided in Sentences 3.1.9.1.(2) and (3), noncombustible outlet boxes that penetrate a vertical fire separation or a membrane forming part of an assembly required to have a fire-resistance rating are permitted to be waived, provided they do not exceed 0.016 m2 in area, and an aggregate area of 0.065 m2 in any 9.3 m2 of surface area, and the annular space between the membrane and the noncombustible electrical outlet boxes does not exceed 3 mm.",0.0
"Except as permitted by Sentences 3.2.2.7.(3)and 3.2.2.7.(4), a building classified as Group A, Division 2, that is not limited by building area, is permitted to conform to Sentence 3.2.2.24.(2), provided except as permitted by Sentences 3.2.2.7.(1)and 3.2.2.18.(2), the building is sprinklered throughout, and it is not more than 6 storeys in building height.","Except as permitted by Sentences 3.2.2.7.(3) and 3.2.2.7.(4), a building classified as Group A, Division 2, that is not limited by building area, is permitted to conform to Sentence 3.2.2.24.(2), provided except as permitted by Sentences 3.2.2.7.(1) and 3.2.2.18.(2), the building is sprinklered throughout, and it is not more than 6 storeys in building height.",,,0.0
,,"A building classified as Group A, Division 2, that is not limited by building area, is permitted to conform to Sentence (2), provided except as permitted by Sentences 3.2.2.7.(1) and 3.2.2.18.(2), the building is sprinklered throughout, and it is not more than 6 storeys in building height.","A building classified as Group A, Division 2, that is not limited by building area, is permitted to conform to Sentence (2), provided except as permitted by Sentences 3.2.2.7.(1) and 3.2.2.18.(2), the building is sprinklered throughout, and it is not more than 6 storeys in building height.",0.0
