National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)","For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)",,,0.0
,,"For the purpose of applying this Code, a building or part thereof shall be classified according to its major occupancy by the Chief Fire Official in conformance with the Building Code.","For the purpose of applying this Code, a building or part thereof shall be classified according to its major occupancy by the Chief Fire Official in conformance with the Building Code.",0.0
"Defects that interfere with the operation of closures in fire separations shall be corrected, and such closures shall be maintained to ensure that they are operable at all times by keeping fusible links and other heat-actuated devices undamaged and free of paint and dirt, keeping guides, bearings and stay rolls clean and lubricated, making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.","Defects that interfere with the operation of closures in fire separations shall be corrected, and such closures shall be maintained to ensure that they are operable at all times by keeping fusible links and other heat-actuated devices undamaged and free of paint and dirt, keeping guides, bearings and stay rolls clean and lubricated, making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.",,,0.0
,,"Closures in fire separations shall be maintained to ensure that they are operable at all times by keeping fusible links and heat or smoke-actuated devices undamaged and free of paint and dirt, keeping guides, bearings and stay rolls clean and lubricated, making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.","Closures in fire separations shall be maintained to ensure that they are operable at all times by (a) keeping fusible links and heat or smoke-actuated devices undamaged and free of paint and dirt, (b) keeping guides, bearings and stay rolls clean and lubricated, (c) making necessary adjustments and repairs to door hardware and accessories to ensure proper closing and latching, and (d) repairing or replacing inoperative parts of hold-open devices and automatic releasing devices.",0.0
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",,,0.0
,,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,A door in a fire separation shall be checked as frequently as necessary to ensure that the door remains closed.,0.0
"Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.","Except where they are equipped with hold-open devices conforming to the NBC, doors in fire separations that are required to be equipped with self-closing devices shall be inspected at intervals not greater than 24 h to ensure that they remain in the closed position when not in use.",,,0.0
,,"Sentences (1) and (2) do not apply to a door designed to close automatically in the event of a fire emergency, or a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.","Sentences (1) and (2) do not apply to (a) a door designed to close automatically in the event of a fire emergency, or (b) a door for which an approved fire safety plan contains provisions for closing in the event of a fire emergency.",0.0
Flame-retardant treatments shall be renewed as often as is required to ensure that the material will pass the match flame test in NFPA 705-2013 Field Flame Test for Textiles and Films (See Note A-2.3.2.2.(1).),Flame-retardant treatments shall be renewed as often as is required to ensure that the material will pass the match flame test in NFPA 705-2013 Field Flame Test for Textiles and Films (See Note A-2.3.2.2.(1).),,,0.0
,,"Flame retardant treatments shall be renewed as often as required to ensure that the material will pass the match flame test in NFPA 705, Recommended Practice for a Field Flame Test for Textiles and Films.","Flame retardant treatments shall be renewed as often as required to ensure that the material will pass the match flame test in NFPA 705, ""Recommended Practice for a Field Flame Test for Textiles and Films"".",0.0
