National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
The reference building’s internal and service water heating loads shall be modeled as being identical to those determined for the proposed building in Sentence 8.4.3.2.(2).,The reference building s internal and service water heating loads shall be modeled as being identical to those determined for the proposed building in Sentence 8.4.3.2.(2).,Every Class 5 sewage system shall be operated in accordance with the agreement referred to in Sentence 8.8.1.2.(2).,Every Class 5 sewage system shall be operated in accordance with the agreement referred to in Sentence 8.8.1.2.(2).,0.918905
A building conforming to Article 3.2.2.50.or 3.2.2.58. is permitted to contain a storage garage below the fourth storey. (See Note A-3.1.3.2.(3) to (5).) (See also Sentence 4.4.2.1.(1).),A building conforming to Article 3.2.2.50.or 3.2.2.58.is permitted to contain a storage garage below the fourth storey. (See Note A-3.1.3.2.(3) to (5).) (See also Sentence 4.4.2.1.(1).),,,0.0
,,A storage garage below the third storey is permitted in a building within the scope of Article 3.2.2.43A. or 3.2.2.50A.,A storage garage below the third storey is permitted in a building within the scope of Article 3.2.2.43A. or 3.2.2.50A.,0.0
,,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,0.0
"Except as permitted by Sentence 3.1.8.13.(2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as permitted by Sentence (2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.",0.946402
"A self-closing device need not be provided on a door that is located between a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, a patients’ sleeping room and a corridor serving the patients’ sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or a patients’ sleeping room and an adjacent room that serves the patients’ sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","A self-closing device need not be provided on a door that is located between (a) a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, (b) a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, (c) a patients sleeping room and a corridor serving the patients sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or (d) a patients sleeping room and an adjacent room that serves the patients sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.",,,0.0
,,"In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.",0.0
"A self-closing device need not be provided on a door that is located between a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, a patients’ sleeping room and a corridor serving the patients’ sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or a patients’ sleeping room and an adjacent room that serves the patients’ sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.","A self-closing device need not be provided on a door that is located between (a) a classroom and a corridor providing access to exit from the classroom in a building that is not more than 3 storeys in building height, (b) a public corridor and an adjacent room of business and personal services occupancy in a building that is not more than 3 storeys in building height provided the door is not located in a dead-end portion of the corridor, (c) a patients sleeping room and a corridor serving the patients sleeping room, provided the room and corridor are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5., or (d) a patients sleeping room and an adjacent room that serves the patients sleeping room, provided these rooms are within a fire compartment in a hospital or nursing home with treatment that complies with the requirements of Article 3.3.3.5.",,,0.0
,,"In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door between a public corridor and an adjacent room or suite of business and personal services occupancy if the door is not located in, a dead-end portion of the corridor, or a corridor that serves a hotel.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door between a public corridor and an adjacent room or suite of business and personal services occupancy if the door is not located in, (a) a dead-end portion of the corridor, or (b) a corridor that serves a hotel.",0.0
,,"Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, a patient’s or resident’s sleeping room and a corridor serving the patient’s or resident’s sleeping room, or a patient’s or resident’s sleeping room and an adjacent room that serves the patient’s or resident’s sleeping room.","Within a fire compartment in a hospital or long-term care home that complies with the requirements of Article 3.3.3.5., a self-closing device is not required on a door that is located between, (a) a patient s or resident s sleeping room and a corridor serving the patient s or resident s sleeping room, or (b) a patient s or resident s sleeping room and an adjacent room that serves the patient s or resident s sleeping room.",0.0
