National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Systems described in Sentence 5.2.2.8.(1) with cooling capacities of more than 25 kW but less than 70 kW shall incorporate cooling equipment that can operate at less than full capacity, with the lowest stage providing no more than 50% of the full capacity of each system.","Systems described in Sentence (1) with cooling capacities of more than 25 kW but less than 70 kW shall incorporate cooling equipment that can operate at less than full capacity, with the lowest stage providing no more than 50% of the full capacity of each system.","Where the installed capacity of the principal exhaust fan exceeds the minimum capacity required in Sentence (1) by more than 50%, the control required in Sentence (2) shall include provision to allow reduction of the flow to within ±10% of the minimum capacity specified in Sentence (1).",,0.735454797744751
"Heat-recovery ventilators used to meet the requirements of Sentence 5.2.10.4.(1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CSA CAN/CSA-C439-09 Rating the Performance of Heat/Energy-Recovery Ventilators of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building’s location, as listed in Table A-. (See Note A-5.2.10.4.(2).)","Heat-recovery ventilators used to meet the requirements of Sentence (1) shall have a sensible-heat-recovery efficiency, when tested in conformance with the low-temperature thermal and ventilation test methods described in CAN/CSA-C439, Rating the Performance of Heat/Energy-Recovery Ventilators, of at least 65% at an outside air test temperature of 0°C, and not less than that required by Table 5.2.10.4. for the 2.5% January design temperature for the building s location, as listed in Table C-1. (See Note A-5.2.10.4.(2).)","Heat recovery ventilators shall be designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, ""Rating the Performance of Heat/Energy-Recovery Ventilators"", at a Station 1 test temperature of –25°C at an air flow not less than 30 L/s.","Heat recovery ventilators shall be designed to provide a minimum 55% sensible heat recovery efficiency when tested to the low temperature thermal and ventilation performance test method set out in CAN/CSA-C439, ""Rating the Performance of Heat/Energy-Recovery Ventilators"", at a Station 1 test temperature of Ã¢â¬""25ÃÂ°C at an air flow not less than 30 L/s.",0.7508277893066406
Zones with a total heating or cooling capacity requirement of less than 5 kW may be controlled by readily accessible manual controls.,Zones with a total heating or cooling capacity requirement of less than 5 kW may be controlled by readily accessible manual controls.,"A manual thermostatic control device is permitted if it,(a) controls a heating or cooling system where the heating or cooling capacity is not more than 2 kW, or (b) serves an individual room or space.","A manual thermostatic control device is permitted if it,(a) controls a heating or cooling system where the heating or cooling capacity is not more than 2 kW, or (b) serves an individual room or space.",0.7592934966087341
"Service water systems shall be designed in accordance with the relevant provincial, territorial or municipal building regulations or, in the absence of such regulations, or where service water systems are not covered by such regulations, with the NPC.","Service water systems shall be designed in accordance with the relevant provincial, territorial or municipal building regulations or, in the absence of such regulations, or where service water systems are not covered by such regulations, with the NPC.","Every sewage system shall be operated in accordance with,(a) the basis on which the construction and use of the sewage system was approved or required under the Act or predecessor legislation, as the case may be, and (b) the requirements of the manufacturer of the sewage system.","Every sewage system shall be operated in accordance with,(a) the basis on which the construction and use of the sewage system was approved or required under the Act or predecessor legislation, as the case may be, and (b) the requirements of the manufacturer of the sewage system.",0.7308747172355652
"If, during construction, the design is found to be altered from the one used in the original performance assessment, the building shall be reassessed for compliance with this Part.","If, during construction, the design is found to be altered from the one used in the original performance assessment, the building shall be reassessed for compliance with this Part.","Where an existing building system is materially altered or repaired, the performance level of the building after the material alteration or repair shall be at least equal to the performance level of the building prior to the material alteration or repair. (See Appendix A.)","Where an existing building system is materially altered or repaired, the performance level of the building after the material alteration or repair shall be at least equal to the performance level of the building prior to the material alteration or repair. (See Appendix A.)",0.7511662840843201
"Where purchased energy is used for cooling, the equipment used to provide this energy shall be modeled as an electric air-cooled chiller that is sized for the peak cooling load provided by the purchased energy system, and complies with Table 8.4.3.5.","Where purchased energy is used for cooling, the equipment used to provide this energy shall be modeled as an electric air-cooled chiller that is sized for the peak cooling load provided by the purchased energy system, and complies with Table 8.4.3.5.","Where a cooling system is installed, the cooling system capacity shall be based on the cooling load calculated in accordance with Sentence 6.2.1.1.(1).",,0.762665867805481
The reference building’s internal and service water heating loads shall be modeled as being identical to those determined for the proposed building in Sentence 8.4.3.2.(2).,The reference building s internal and service water heating loads shall be modeled as being identical to those determined for the proposed building in Sentence 8.4.3.2.(2).,The heating system capacity shall be based on the heating load calculated in accordance with Sentence 6.2.1.1.(1).,The heating system capacity shall be based on the heating load calculated in accordance with Sentence 6.2.1.1.(1).,0.7784173488616943
"Except as provided in Sentences 8.4.4.5.(2)and 8.4.4.5.(3), the installed interior lighting power of the reference building shall be set at the interior lighting power allowance determined in Article 4.2.1.5.or 4.2.1.6., as applicable.","Except as provided in Sentences (2) and (3), the installed interior lighting power of the reference building shall be set at the interior lighting power allowance determined in Article 4.2.1.5. or 4.2.1.6., as applicable.",An emergency power supply for the emergency lighting system required in Sentence (4) shall comply with Sentences 3.2.7.4.(1) and 3.2.7.7.(1) and Article 3.2.7.5.,An emergency power supply for the emergency lighting system required in Sentence (4) shall comply with Sentences 3.2.7.4.(1) and 3.2.7.7.(1) and Article 3.2.7.5.,0.7466605305671692
"Except as permitted by Sentence 3.1.8.13.(2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as permitted by Sentence (2), every door in a fire separation, other than doors to freight elevators and dumbwaiters, shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.","Except as provided in Sentences (2) to (5) and 3.3.3.2.(5), every door in a fire separation shall be equipped with a self-closing device designed to return the door to the closed position after each use.",0.8199232220649719
,,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,Self-closing devices need not be provided on doors to freight elevators and dumbwaiters.,0.0
,,"In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.","In a building that is not more than 3 storeys in building height, a self-closing device is not required on a door that is located between a classroom and a corridor providing access to exit from the classroom, except that a self-closing device is required on a door between a hazardous classroom and the corridor in an elementary or secondary school.",0.0
