National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
,,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.","Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. of Division A shall have the meanings defined in the Safety Codes Act and its Regulations or the NFC(AE), or the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",0.0
"Except as provided in Sentence 3.5.2.1.(3), controls for the operation of building services or safety devices, including electrical switches, thermostats, faucets, door hardware and intercom switches, that are intended to be operated by the occupant and are located in or adjacent to a barrier-free path of travel shall comply with Subsection 3.8.3. (See Note A-3.8.2.6.(1).)","Except as provided in Sentence 3.5.2.1.(3), controls for the operation of building services or safety devices, including electrical switches, thermostats, faucets, door hardware and intercom switches, that are intended to be operated by the occupant and are located in or adjacent to a barrier-free path of travel shall comply with Subsection 3.8.3. (See Note A-3.8.2.6.(1).)",,,0.0
,,"Except as provided in Sentence 3.5.2.1.(3) and Article 3.8.3.7. for elevators and platform-equipped passenger-elevating devices, controls for the operation of building services or safety devices, including electrical switches, thermostats, faucets, door hardware and intercom switches, that are intended to be operated by the occupant and are located in or adjacent to a barrier-free path of travel shall comply with part 3. (See Note A-3.8.2.6.(1).)","Except as provided in Sentence 3.5.2.1.(3) and Article 3.8.3.7. for elevators and platform-equipped passenger-elevating devices, controls for the operation of building services or safety devices, including electrical switches, thermostats, faucets, door hardware and intercom switches, that are intended to be operated by the occupant and are located in or adjacent to a barrier-free path of travel shall comply with Subsection 3.8.3. (See Note A-3.8.2.6.(1).)",0.0
Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).) (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 800 mm when the doors are open. (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 850 mm when the doors are in the open position. (See Note A-3.8.3.6.(3).),Doorways in a path of travel to at least one bathroom within a suite of residential occupancy shall have a clear width not less than 850 mm when the doors are in the open position. (See Note A-3.8.3.6,tensor(0.9975)
A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,,,0.0
,,A platform-equipped passenger-elevating device used in a barrier-free path of travel shall conform to the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act.,A platform-equipped passenger-elevating device used in a barrier-free path of travel shall conform to the Elevating Devices Codes Regulation made pursuant to the Safety Codes Act.,0.0
"This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems.","This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems.",,,0.0
,,"This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems, aquatic facilities, food establishments and personal service facilities, and laboratories using biological agents.","This Part applies to the design, construction, extension, alteration, renewal or repair of plumbing systems, aquatic facilities, food establishments and personal service facilities, and laboratories using biological agents.",0.0
"Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.","Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.",,,0.0
,,Every plumbing system and private sewage disposal system shall be designed and installed in conformance with the Plumbing Code Regulation and Private Sewage Disposal Systems Regulation made pursuant to the Safety Codes Act.,Every plumbing system and private sewage disposal system shall be designed and installed in conformance with the Plumbing Code Regulation and Private Sewage Disposal Systems Regulation made pursuant to the Safety Codes Act.,0.0
"Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I","Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I",,,0.0
,,"Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall conform to the Electrical Code Regulation made pursuant to the Safety Codes Act.","Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall conform to the Electrical Code Regulation made pursuant to the Safety Codes Act.",0.0
Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,,,0.0
,,Service water heating systems that use solar thermal technology shall be installed in accordance with the Plumbing Code Regulation made pursuant to the Safety Codes Act.,Service water heating systems that use solar thermal technology shall be installed in accordance with the Plumbing Code Regulation made pursuant to the Safety Codes Act.,0.0
Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,Service water heating systems that use solar thermal technology shall be installed in accordance with the NPC.,,,0.0
,,Service water heating systems that use solar thermal technology shall be installed in accordance with the Plumbing Code Regulation made pursuant to the Safety Codes Act.,Service water heating systems that use solar thermal technology shall be installed in accordance with the Plumbing Code Regulation made pursuant to the Safety Codes Act.,0.0
