National Sentence Text,Matched National Sentence (Variation),P/T Sentence Text,Matched P/T Sentence (Variation),Similarity
"Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence 3.2.4.20.(13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.","Except as permitted in Sentence (13), a manually operated silencing device shall be incorporated within the circuitry of a smoke alarm installed in a dwelling unit so that it will silence the signal emitted by the smoke alarm for a period of not more than 10 min, after which the smoke alarm will reset and again sound the alarm if the level of smoke in the vicinity is sufficient to reactuate the smoke alarm.",0.9501183032989502
"Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to ULC CAN/ULC-S524-14 Installation of Fire Alarm Systems as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence 3.2.4.20.(8), need not incorporate the manually operated device required in Sentence 3.2.4.20.(12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)","Suites of residential occupancy equipped with smoke detectors installed to CAN/ULC-S524, ""Installation of Fire Alarm Systems,"" as part of the fire alarm system in lieu of smoke alarms as permitted by Sentence (8), need not incorporate the manually operated device required in Sentence (12). (See Note A-3.2.4.20.(8).)",0.9496176242828368
"Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under part 3., a one-way voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.","Except for Group B, Division 1 and Group F, Division 1 major occupancies, where a fire alarm system is required under Subsection 3.2.4., a voice communication system shall be installed in buildings where a 2-stage fire alarm system is installed and whose occupant load exceeds 1 000.",0.992981731891632
This Section is concerned with the barrier-free design of buildings.,This Section is concerned with the barrier-free design of buildings.,,,0.0
,,This Section is concerned with the design and construction of buildings and occupancies to make them accessible.,This Section is concerned with the design and construction of buildings and occupancies to make them accessible.,0.0
"Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1)and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.) (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)","Except as permitted by Sentence 3.8.2.3.(2), a barrier-free path of travel from the entrances required by Sentences 3.8.2.2.(1) and 3.8.2.2.(2) to be barrier-free shall be provided throughout the entrance storey and within all other normally occupied floor areas served by a passenger elevator, escalator, inclined moving walk, or other platform-equipped passenger-elevating device. (See Article 3.3.1.7. for additional requirements regarding floor areas above or below the first storey to which a barrier-free path of travel is required.)","Buildings containing adaptable dwelling units shall be provided with an accessible path of travel conforming to Subsection 3.8.3. to an entrance described in Article 3.8.2.2. and to each adaptable dwelling unit from a sidewalk, roadway or street, where provided, a parking area, where provided, passenger-loading zones, and where an elevator is provided, to an elevator conforming to Article 3.5.2.1., conform to Sentence 3.8.2.2.(6), and provide access to all common facilities.","Buildings containing adaptable dwelling units shall be provided with an accessible path of travel conforming to Subsection 3.8.3. to an entrance described in Article 3.8.2.2. and to each adaptable dwelling unit from a sidewalk, roadway or street, where provided, a parking area, where provided, passenger-loading zones, and where an elevator is provided, to an elevator conforming to Article 3.5.2.1., conform to Sentence 3.8.2.2.(6), and provide access to all common facilities.",0.7914584875106812
,,"Except as permitted by Sentence (2), access from the accessible entrances required by Sentences 3.8.2.2.(1) and (2) shall be provided throughout the entrance storey or storeys and within all other normally occupied floor areas as required by Sentence 3.8.2.1.(1).","Except as permitted by Sentence (2), access from the accessible entrances required by Sentences 3.8.2.2.(1) and (2) shall be provided throughout the entrance storey or storeys and within all other normally occupied floor areas as required by Sentence 3.8.2.1.(1).",0.0
Exterior passenger-loading zones shall comply with Subsection 3.8.3.,Exterior passenger-loading zones shall comply with part 3.,,,0.0
,,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,Passenger-loading zones shall comply with Subsection 3.8.3. and be provided with an accessible path of travel to an accessible entrance referred to in Article 3.8.2.2.,0.0
A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,A passenger-elevating device referred to in Article 3.8.2.3. shall conform to CSA B355-09 Lifts for Persons with Physical Disabilities,,,0.0
,,"A passenger-elevating device in an accessible path of travel shall conform to Appendix E of ASME A17.1/CSA B44, ""Safety Code for Elevators and Escalators,"" (see also Sentence 3.5.2.1.(3)), or CSA B355, ""Lifts for Persons with Physical Disabilities."" (See also Sentence 3.5.4.1.(3).)","A passenger-elevating device in an accessible path of travel shall conform to Appendix E of ASME A17.1/CSA B44, ""Safety Code for Elevators and Escalators,"" (see also Sentence 3.5.2.1.(3)), or CSA B355, ""Lifts for Persons with Physical Disabilities."" (See also Sentence 3.5.4.1.(3).)",0.0
Other fenestration assemblies and their components shall be designed and constructed in accordance with Article 5.1.4.1. (See Note A-5.9.3.2.(1).),Other fenestration assemblies and their components shall be designed and constructed in accordance with Article 5.1.4.1. (See Note A-5.9.3.2.(1).),"Other glazed products and their components shall be designed and constructed in accordance with Subsection 5.1.4., Section 5.3., 5.4. and Section 5.6. (See Note A-5.9.2.2.(2).)","Other glazed products and their components shall be designed and constructed in accordance with Subsection 5.1.4., Section 5.3., 5.4. and Section 5.6. (See Note A-5.9.2.2.(2).)",0.8697655200958252
"Tests referred to in Sentence 5.9.3.5.(2) shall be carried out at the driving rain wind pressure as calculated in accordance with CSA A440S1-17 Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440-11, NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights (See Note A-5.9.3.5.(3).)","Tests referred to in Sentence 5.9.3.5.(2) shall be carried out at the driving rain wind pressure as calculated in accordance with CSA A440S1-17 Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440-11, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights (See Note A-5.9.3.5.(3).)","For buildings described in Sentence 1.3.3.3.(1) of Division A, where design pressure, performance grade and water resistance values are calculated in accordance with the standard referenced in Clause 9.7.4.2.(1)(b), the driving rain wind pressure (DRWP) values in Table A.1 of CSA A440S1, ""Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440, NAFS – North American Fenestration Standard/Specification for Windows, Doors, and Skylights,"" shall be used. (See Note A-9.7.4.3.(2).)","For buildings described in Sentence 1.3.3.3.(1) of Division A, where design pressure, performance grade and water resistance values are calculated in accordance with the standard referenced in Clause 9.7.4.2.(1)(b), the driving rain wind pressure (DRWP) values in Table A.1 of CSA A440S1, ""Canadian Supplement to AAMA/WDMA/CSA 101/I.S.2/A440, NAFS North American Fenestration Standard/Specification for Windows, Doors, and Skylights,"" shall be used. (See Note A-9.7.4.3.(2).)",0.7640889286994934
Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,0.9999997615814208
"Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.","Every plumbing system shall be designed and installed in conformance with appropriate provincial or territorial regulations or municipal bylaws, in the absence of such regulations or bylaws, in conformance with the NPC.",,,0.0
,,Every plumbing system shall be designed and installed in conformance with Book II (Plumbing of this Code.,Every plumbing system shall be designed and installed in conformance with Book II (Plumbing of this Code.,0.0
Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,Words that appear in italics are defined in Article 1.4.1.2..,0.9999997615814208
"Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)","Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)","Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)","Where the exposing building face of any section of an exterior wall enclosing a single room or space, or combination room and space, has a limiting distance of 2 m or less, that section of the exposing building face serving the room or space shall not be divided into portions for the purpose of calculating area of exposing building face. (See Sentence 9.10.15.4.(5) and Note A-9.10.15.4.(2).)",1.0
"If a building is divided by fire separations into fire compartments, the area of exposing building face is permitted to be calculated for each fire compartment provided the fire separations have a fire-resistance rating not less than 45 min.",,"If a building is divided by fire separations into fire compartments, the area of exposing building face is permitted to be calculated for each fire compartment provided the fire separations have a fire-resistance ratings not less than 45 min.","If a building is divided by fire separations into fire compartments, the area of exposing building face is permitted to be calculated for each fire compartment provided the fire separations have a fire-resistance ratings not less than 45 min.",0.999633252620697
"Except as permitted in Article 9.10.2.4., in any building containing more than one major occupancy in which one major occupancy is located entirely above another, the requirements of Article 9.10.8.1. for each portion of the building containing a major occupancy shall be applied to that portion as if the entire building was of that major occupancy.","Except as permitted in Article 9.10.2.4., in any building containing more than one major occupancy in which one major occupancy is located entirely above another, the requirements of Article 9.10.8.1. for each portion of the building containing a major occupancy shall be applied to that portion as if the entire building was of that major occupancy.","Except as permitted in Article 9.10.2.4., in any building containing more than one major occupancy in which one major occupancy is located entirely above another, the requirements of Article 9.10.8.1. for each portion of the building containing a major occupancy shall be applied to that portion as if the entire building was of that major occupancy.","Except as permitted in Article 9.10.2.4., in any building containing more than one major occupancy in which one major occupancy is located entirely above another, the requirements of Article 9.10.8.1. for each portion of the building containing a major occupancy shall be applied to that portion as if the entire building was of that major occupancy.",0.9999999403953552
"In a building containing more than one major occupancy, where the aggregate area of all major occupancies in a particular group or division does not exceed 10% of the floor area on the storey on which they are located, they need not be considered as major occupancies for the purposes of Articles 9.10.8.1.and 9.10.2.3. provided they are not classified as Group F, Division 2 occupancies.","In a building containing more than one major occupancy, where the aggregate area of all major occupancies in a particular group or division does not exceed 10% of the floor area on the storey on which they are located, they need not be considered as major occupancies for the purposes of Articles 9.10.8.1. and 9.10.2.3. provided they are not classified as Group F, Division 2 occupancies .","In a building containing more than one major occupancy, where the aggregate area of all major occupancies in a particular group or division does not exceed 10% of the floor area on the storey on which they are located, they need not be considered as major occupancies for the purposes of Articles 9.10.8.1. and 9.10.2.3. provided they are not classified as Group F, Division 2 occupancies.",,1.0
"Each construction camp building shall be provided with portable fire extinguishers in conformance with the appropriate provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, in conformance with the NFC.","Each construction camp building shall be provided with portable fire extinguishers in conformance with the appropriate provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, in conformance with the NFC.",,,0.0
,,Each construction camp building shall be provided with portable fire extinguishers in conformance with the British Columbia Fire Code.,Each construction camp building shall be provided with portable fire extinguishers in conformance with the British Columbia Fire Code.,0.0
"Where an exhaust duct passes through an unheated space or is not separated from an unheated space by an insulated building assembly, the duct shall be insulated to not less than RSI 0.5.","Where an exhaust duct passes through an unheated space or is not separated from an unheated space by an insulated building assembly, the duct shall be insulated to not less than RSI 0.5.","Where an exhaust duct passes through or is located adjacent to a space that is not conditioned space, the duct shall conform to Article 9.36.3.2., except that in no case shall such a duct be insulated to less than RSI 0.75.","Where an exhaust duct passes through or is located adjacent to a space that is not conditioned space, the duct shall conform to Article 9.36.3.2., except that in no case shall such a duct be insulated to less than RSI 0.75.",0.754744291305542
"Except as provided in Sentence 9.32.3.6.(3), where an exhaust-only system is installed, the principal ventilation fan control required by Sentence 9.32.3.3.(5) shall be wired in such a way that, where applicable, activation of the principal ventilation fan automatically activates the circulation fan of the forced air distribution system required by Clause 9.32.3.6.(1)(b) at its rated capacity.","Except as provided in Sentence 9.32.3.6.(3), where an exhaust-only system is installed, the principal ventilation fan control required by Sentence 9.32.3.3.(5) shall be wired in such a way that, where applicable, activation of the principal ventilation fan automatically activates the circulation fan of the forced air distribution system required by Sentence 9.32.3.6.(1) at its rated capacity.",,,0.0
,,"For the purposes of Sentence (1), the capacity rating of the exhaust fan shall be determined, based on air-flow performance at 50 pa of external static pressure, in accordance with HVI Publication 916, ""Airflow Test Procedure,"" or CAN/CSA-C260-M, ""Rating the Performance of Residential Mechanical Ventilating Equipment.""","For the purposes of Sentence (1), the capacity rating of the exhaust fan shall be determined, based on air-flow performance at 50 pa of external static pressure, in accordance with HVI Publication 916, ""Airflow Test Procedure,"" or CAN/CSA-C260-M, ""Rating the Performance of Residential Mechanical Ventilating Equipment.""",0.0
"Except as provided in Sentences 9.32.3.7.(2)and 9.32.3.7.(3), a supplemental exhaust fan with a rated capacity not less than 50 L/s shall be installed in each kitchen.","Except as provided in Sentences 9.32.3.7.(2) and 9.32.3.7.(3), a supplemental exhaust fan with a rated capacity not less than 50 L/s shall be installed in each kitchen.",,,0.0
,,"Where a crawl space is heated by a ducted forced-air heating system that does not draw air from the crawl space to the furnace through the return air plenum, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille.","Where a crawl space is heated by a ducted forced-air heating system that does not draw air from the crawl space to the furnace through the return air plenum, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille.",0.0
,,"Where a crawl space is heated other than by a ducted forced-air heating system, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille, and the principal ventilation system by a supply air outlet or an exhaust air inlet, be connected to the floor space above the crawl space by at least 2 air-transfer grilles for every 30 m2 of crawl space area, or be connected to the floor space above the crawl space by at least one air-transfer grille, and the outdoors by a dedicated exhaust fan that complies with Sentence (4).","Where a crawl space is heated other than by a ducted forced-air heating system, the crawl space shall be connected to the floor space above the crawl space by at least one air-transfer grille, and the principal ventilation system by a supply air outlet or an exhaust air inlet, be connected to the floor space above the crawl space by at least 2 air-transfer grilles for every 30 m2 of crawl space area, or be connected to the floor space above the crawl space by at least one air-transfer grille, and the outdoors by a dedicated exhaust fan that complies with Sentence (4).",0.0
A supplemental exhaust fan is not required in a kitchen where the only exhaust air intake for the principal ventilation fan is located in that kitchen.,A supplemental exhaust fan is not required in a kitchen where the only exhaust air intake for the principal ventilation fan is located in that kitchen.,,,0.0
,,Exhaust ducts shall discharge to the outdoors.,Exhaust ducts shall discharge to the outdoors.,0.0
"Except as provided in Sentences 9.32.3.8.(6)to 9.32.3.8.(8), any mechanical air exhausting device, other than the principal ventilation fan operating at a rate not greater than the maximum permitted by Table 9.32.3.3., shall be provided with outdoor makeup air supplied by a fan rated to deliver outdoor air to the dwelling unit at a rate not less than the exhaust capacity of the device, and not greater than that exhaust capacity plus 10%.","Except as provided in Sentences 9.32.3.8.(6) to 9.32.3.8.(8), any mechanical air exhausting device, other than the principal ventilation fan operating at a rate not greater than the maximum permitted by Table 9.32.3.3., shall be provided with outdoor makeup air supplied by a fan rated to deliver outdoor air to the dwelling unit at a rate not less than the exhaust capacity of the device, and not greater than that exhaust capacity plus 10%.",,,0.0
,,"Except for a supply air system described in Sentence 9.32.3.4.(2) or (3), all joints in exhaust ducts, and in supply ducts that conduct conditioned air, shall be sealed against air leakage with sealants or gaskets made from liquids, mastics or heat-applied materials, mastic with embedded fabric, foil-faced butyl tape, or aluminum foil tape.","Except for a supply air system described in Sentence 9.32.3.4.(2) or (3), all joints in exhaust ducts, and in supply ducts that conduct conditioned air, shall be sealed against air leakage with sealants or gaskets made from liquids, mastics or heat-applied materials, mastic with embedded fabric, foil-faced butyl tape, or aluminum foil tape.",0.0
The provision of makeup air as described in Sentence 9.32.3.8.(2) is not required for mechanical exhausting devices operating a subfloor depressurization system installed for the purpose of reducing the risk of radon ingress. (See Note A-9.32.3.9.),The provision of makeup air as described in Sentence 9.32.3.8.(2) is not required for mechanical exhausting devices operating a subfloor depressurization system installed for the purpose of reducing the risk of radon ingress.,,,0.0
"The installation of a hydronic heating system shall conform to applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, to CSA B214-16 Installation Code for Hydronic Heating Systems","The installation of a hydronic heating system shall conform to applicable provincial or territorial regulations or municipal bylaws or, in the absence of such regulations or bylaws, to CSA B214-16 Installation Code for Hydronic Heating Systems",,,0.0
,,"The installation of a hydronic heating system shall conform to CSA B214, ""Installation Code for Hydronic Heating Systems.""","The installation of a hydronic heating system shall conform to CSA B214, ""Installation Code for Hydronic Heating Systems.""",0.0
"Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I","Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall meet the requirements of the appropriate provincial, territorial or municipal legislation or, in the absence of such legislation, shall conform to CSA C22.1-12 Canadian Electrical Code, Part I",,,0.0
,,"Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall conform to the Electrical Safety Regulation.","Electrical installations, including the service capacity of the installation and the number and distribution of circuits and receptacles, shall conform to the Electrical Safety Regulation.",0.0
Areas in rooms or spaces over which ceiling height and clear height are not less than the minimum specified in Table 9.5.3.1. or Sentence 9.5.3.1.(2)or 9.5.3.1.(3) shall be contiguous with the entry or entries to those rooms or spaces.,Areas in rooms or spaces over which ceiling height and clear height are not less than the minimum specified in Table 9.5.3.1. or Sentence 9.5.3.1.(2) or 9.5.3.1.(3) shall be contiguous with the entry or entries to those rooms or spaces.,Areas in rooms or spaces over which ceiling height and clear height are not less than the minimum specified in Table 9.5.3.1. shall be contiguous with the entry or entries to those rooms or spaces.,Areas in rooms or spaces over which ceiling height and clear height are not less than the minimum specified in Table 9.5.3.1. shall be contiguous with the entry or entries to those rooms or spaces.,0.9440581798553468
"Skylights and their components shall be designed, constructed and installed so that they resist snow loads.","Skylights and their components shall be designed, constructed and installed so that they resist snow loads.","Skylights and their components shall be designed, constructed and installed so that they resist snow loads.","Skylights and their components shall be designed, constructed and installed so that they resist snow loads.",1.000000238418579
"Except as provided in Sentences 9.7.3.1.(2)to 9.7.3.1.(4), windows, doors and skylights and their components separating conditioned space from unconditioned space or the exterior shall be designed, constructed and installed so that, when in the closed position, they resist the ingress of precipitation into interior space (see Note A-9.7.4.2.(1)), resist wind loads, control air leakage, resist the ingress of insects and vermin, where required, resist forced entry, and are easily operable when not intended to be fixed.","Except as provided in Sentences 9.7.3.1.(2) to 9.7.3.1.(4), windows, doors and skylights and their components separating conditioned space from unconditioned space or the exterior shall be designed, constructed and installed so that, when in the closed position, they resist the ingress of precipitation into interior space (see Note A-9.7.4.2.(1)), resist wind loads, control air leakage, resist the ingress of insects and vermin, where required, resist forced entry, and are easily operable when not intended to be fixed.",,,0.0
"Skylights and their components shall be designed, constructed and installed so that they resist snow loads.","Skylights and their components shall be designed, constructed and installed so that they resist snow loads.","Skylights and their components shall be designed, constructed and installed so that they resist snow loads.","Skylights and their components shall be designed, constructed and installed so that they resist snow loads.",1.000000238418579
"Metal frames and sash of windows, doors and skylights shall incorporate a thermal break.","Metal frames and sash of windows, doors and skylights shall incorporate a thermal break.","Except as permitted in Sentence (2), metal frames and sash of windows, doors and skylights shall incorporate a thermal break.","Except as permitted in Sentence (2), metal frames and sash of windows, doors and skylights shall incorporate a thermal break.",0.7570385336875916
"The installation of manufactured and pre-assembled windows, doors and skylights and the field assembly of manufactured window and door combination units shall conform to the manufacturer’s instructions.","The installation of manufactured and pre-assembled windows, doors and skylights and the field assembly of manufactured window and door combination units shall conform to the manufacturer s instructions.","Except as provided by Sentence (2), the installation of manufactured and pre-assembled windows, doors and skylights and the field assembly of manufactured window and door combination units shall conform to the instructions, if any, provided by the manufacturer.","Except as provided by Sentence (2), the installation of manufactured and pre-assembled windows, doors and skylights and the field assembly of manufactured window and door combination units shall conform to the instructions, if any, provided by the manufacturer.",0.8024986982345581
