Full Index,ID,SEQ,DOCTYPE,DOCID,IDWITHINDOC,DIVISION,PROVISION,ARTICLE_TITLE,FRAG_DOCUMENT,FRAG_DOCUMENT_NOWHITESPACE,WORDCOUNT,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
8293,1502501,86055.0,B,nbc2015_divb,1.0,B,1.1.1.1.(1),Application,This Part applies to all buildings covered in this Code. (See Article 1.1.1.1..),thispartappliestoallbuildingscoveredinthiscode.(seearticle1.1.1.1..),13.0,1.0,1,1,1,1
9411,1461548,157169.0,E,necb2015_divb,1.0,B,1.1.1.1.(1),Application,This Part applies to all buildings covered in this Code. (See Article 1.1.1.1..) (See Note A-1.1.2.1.),thispartappliestoallbuildingscoveredinthiscode.(seearticle1.1.1.1..)(seenotea-1.1.2.1.),16.0,1.0,1,1,1,1
14101,1466760,309682.0,P,npc2015_divb,1.0,B,1.1.1.1.(1),Application,This Part applies to all plumbing systems covered in this Code. (See Article 1.1.1.1. of Division A.),thispartappliestoallplumbingsystemscoveredinthiscode.(seearticle1.1.1.1.ofdivisiona.),17.0,1.0,1,1,1,1
1422,1370076,86056.0,B,nbc2015_divb,2.0,B,1.1.2.1.(1),Attributions to Acceptable Solutions,"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 3.10., 4.5., 5.10., 6.4., 7.2., 8.3. and 9.37. (See Note A-1.1.2.1.(1).)","forthepurposeofcompliancewiththiscodeasrequiredinclause1.2.1.1.(1)(b),theobjectivesandfunctionalstatementsattributedtotheacceptablesolutionsindivisionbshallbetheobjectivesandfunctionalstatementsidentifiedinsections3.10.,4.5.,5.10.,6.4.,7.2.,8.3.and9.37.(seenotea-1.1.2.1.(1).)",47.0,1.0,1,2,1,1
9193,1421861,157170.0,E,necb2015_divb,2.0,B,1.1.2.1.(1),"Prescriptive, Trade-off or Performance Compliance","Buildings shall comply with the prescriptive or trade-off requirements stated in Parts 3 to 7, or the performance requirements stated in Part 8.","buildingsshallcomplywiththeprescriptiveortrade-offrequirementsstatedinparts3to7,ortheperformancerequirementsstatedinpart8.",23.0,1.0,1,2,1,1
13755,1393228,309683.0,P,npc2015_divb,2.0,B,1.1.2.1.(1),Attribution to Acceptable Solutions,"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b) of Division A, the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Section 2.8. (See Note A-1.1.2.1.(1).)","forthepurposesofcompliancewiththiscodeasrequiredinclause1.2.1.1.(1)(b)ofdivisiona,theobjectivesandfunctionalstatementsattributedtotheacceptablesolutionsindivisionbshallbetheobjectivesandfunctionalstatementsidentifiedinsection2.8.(seenotea-1.1.2.1.(1).)",43.0,1.0,1,2,1,1
2872,1398194,86057.0,B,nbc2015_divb,3.0,B,1.1.3.1.(1),Climatic and Seismic Values,"The climatic and seismic values required for the design of buildings under this Code shall be in conformance with the values established by the authority having jurisdiction or, in the absence of such data, with Sentence 1.1.3.1.(2) and the climatic and seismic values in . (See Note A-1.1.3.1.(1).) (See Note A-1.1.3.1.(1).)","theclimaticandseismicvaluesrequiredforthedesignofbuildingsunderthiscodeshallbeinconformancewiththevaluesestablishedbytheauthorityhavingjurisdictionor,intheabsenceofsuchdata,withsentence1.1.3.1.(2)andtheclimaticandseismicvaluesin.(seenotea-1.1.3.1.(1).)(seenotea-1.1.3.1.(1).)",51.0,1.0,1,3,1,1
9213,1424516,157171.0,E,necb2015_divb,3.0,B,1.1.3.1.(1),Attributions to Acceptable Solutions,"For the purpose of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objective and functional statements attributed to the acceptable solutions in Division B shall be the objective and functional statements identified in Sections 3.5., 4.5., 5.5., 6.5., 7.5.and 8.5. (See Note A-1.1.3.1.(1).)","forthepurposeofcompliancewiththiscodeasrequiredinclause1.2.1.1.(1)(b),theobjectiveandfunctionalstatementsattributedtotheacceptablesolutionsindivisionbshallbetheobjectiveandfunctionalstatementsidentifiedinsections3.5.,4.5.,5.5.,6.5.,7.5.and8.5.(seenotea-1.1.3.1.(1).)",45.0,1.0,1,3,1,1
5724,1452721,86058.0,B,nbc2015_divb,4.0,B,1.1.3.1.(2),Climatic and Seismic Values,The outside winter design temperatures determined from Appendix C shall be those listed for the January 2.5% values. (See Note A-1.1.3.1.(2).) (See Note A-1.1.3.1.(2).),theoutsidewinterdesigntemperaturesdeterminedfromappendixcshallbethoselistedforthejanuary2.5%values.(seenotea-1.1.3.1.(2).)(seenotea-1.1.3.1.(2).),24.0,1.0,1,3,1,2
3007,1400862,86059.0,B,nbc2015_divb,5.0,B,1.1.3.2.(1),Depth of Frost Penetration,Depth of frost penetration shall be established on the basis of local experience.,depthoffrostpenetrationshallbeestablishedonthebasisoflocalexperience.,13.0,1.0,1,3,2,1
