DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM,Full Index
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.1.1.1.(1),Application,This Part applies to all buildings and facilities covered in this Code. (See Article 1.1.1.1..),1.0,1,1,1,1,38046
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.1.2.1.(1),Attribution to Acceptable Solutions,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in Sections 2., 3., 4., 5., 6. and 7. (See Note A-1.1.2.1.(1).)",1.0,1,2,1,1,38643
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.2.1.1.(1),Non-defined Terms,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",1.0,2,1,1,1,38296
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.2.1.1.(2),Non-defined Terms,"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A.",1.0,2,1,1,2,38833
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.2.1.1.(3),Non-defined Terms,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Parts 2 to 7.",1.0,2,1,1,3,38346
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.2.1.2.(1),Defined Terms,The words and terms in italics in Division B shall have the meanings assigned to them in Article 1.4.1.2..,1.0,2,1,2,1,38171
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.2.2.1.(1),Symbols and Other Abbreviations,The symbols and other abbreviations in Division B shall have the meanings assigned to them in Article 1.4.2.1. and Article 1.3.2.1.,1.0,2,2,1,1,39408
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.3.1.1.(1),Effective Date,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.",1.0,3,1,1,1,38996
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.3.1.2.(1),Applicable Editions,"Where documents are referenced in this Code, they shall be the editions designated in Table 1.3.1.2.",1.0,3,1,2,1,38224
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,1.3.2.1.(1),Abbreviations of Proper Names,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ACGIHAmerican Conference of Governmental Industrial Hygienists (www.acgih.org)APIAmerican Petroleum Institute (www.api.org)ARPMAssociation for Rubber Products Manufacturers (www.arpminc.com)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASTMAmerican Society for Testing and Materials International (www.astm.org) CCBFCCanadian Commission on Building and Fire Codes (see NRC)CCMECanadian Council of Ministers of the Environment (www.ccme.ca)CFACanadian Fuels Association (canadianfuels.ca)CGACompressed Gas Association (www.cganet.com)CGSBCanadian General Standards Board (www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CNSCCanadian Nuclear Safety Commission (nuclearsafety.gc.ca/eng)CSACSA Group (www.csagroup.org)EPAEnvironmental Protection Agency (U.S.) (www.epa.gov)FM GlobalFM Global (www.fmglobal.com)HCHealth Canada (www.hc-sc.gc.ca)IMOInternational Maritime Organization (www.imo.org)NACENACE International (www.nace.org)NBCNational Building Code of Canada 2015NFCNational Fire Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRCanNatural Resources Canada (www.nrcan.gc.ca)NRC Const.NRC Construction (former name of the NRC Construction Research (www.nrc.gc.ca/construction)OCIMFOil Companies International Marine Forum (www.ocimf.com)SFPESociety of Fire Protection Engineers (www.sfpe.org)STISteel Tank Institute (www.steeltank.com)TCTransport Canada (www.tc.gc.ca)ULUnderwriters Laboratories Inc. (www.ul.com)ULCULC Standards (canada.ul.com/ulcstandards)UNUnited Nations (www.un.org)",1.0,3,2,1,1,38928
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,2.1.1.1.(1),,"This Part provides for the safety of the occupants in existing buildings, the elimination or control of fire hazards in and around buildings, the installation and maintenance of certain life safety systems in buildings, the installation and maintenance of posted signs and information, and the establishing of a fire safety plan in those occupancies where it is considered necessary.",2.0,1,1,1,1,38092
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,2.1.2.1.(1),,"For the purpose of applying this Code, every building or part thereof shall be classified according to its major occupancy in conformance with the NBC. (See Note A-2.1.2.1.(1).)",2.0,1,2,1,1,38225
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,2.1.2.2.(1),,Activities that create a hazard and that are not allowed for in the original design shall not be carried out in a building unless provisions are made to control the hazard in conformance with this Code. (See Note A-2.1.2.2.(1).),2.0,1,2,2,1,39284
F,NS,2015,NBC,Div B,EN,nsfc2015_divb,B,2.1.2.2.(2),,"No major occupancy of Group F, Division 1 shall be contained within a building with any occupancy classified as an assembly, care, treatment, detention or residential occupancy.",2.0,1,2,2,2,38803
