DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM,Full Index
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.1.1.1.(1),Application,This Part applies to all plumbing systems covered in this Code. (See Article 1.1.1.1..),1.0,1,1,1,1,13160
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.1.2.1.(1),Attribution to Acceptable Solutions,"For the purposes of compliance with this Code as required in Sentence 1.2.1.1.(1), the objectives and functional statements attributed to the acceptable solutions in Division B shall be the objectives and functional statements identified in part 2. (See Note A-1.1.2.1.(1).)",1.0,1,2,1,1,12875
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.2.1.1.(1),Non-defined Terms,"Words and phrases used in Division B that are not included in the list of definitions in Article 1.4.1.2. shall have the meanings that are commonly assigned to them in the context in which they are used, taking into account the specialized use of terms by the various trades and professions to which the terminology applies.",1.0,2,1,1,1,13108
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.2.1.1.(2),Non-defined Terms,"Where objectives and functional statements are referred to in Division B, they shall be the objectives and functional statements described in Parts 2 and 3 of Division A.",1.0,2,1,1,2,12737
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.2.1.1.(3),Non-defined Terms,"Where acceptable solutions are referred to in Division B, they shall be the provisions stated in Part 2.",1.0,2,1,1,3,13124
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.2.1.2.(1),Defined Terms,The words and terms in italics in Division B shall have the meanings assigned to them in Article 1.4.1.2..,1.0,2,1,2,1,13175
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.2.2.1.(1),Symbols and Other Abbreviations,The symbols and other abbreviations in Division B shall have the meanings assigned to them in Article 1.4.2.1. and Article 1.3.2.1.,1.0,2,2,1,1,12783
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.3.1.1.(1),Effective Date,"Unless otherwise specified herein, the documents referenced in this Code shall include all amendments, revisions, reaffirmations, reapprovals, addenda and supplements effective to 30 June 2017.",1.0,3,1,1,1,12741
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.3.1.2.(1),Applicable Editions,"Where documents are referenced in this Code, they shall be the editions designated in Table 1.3.1.2.",1.0,3,1,2,1,12971
P,BC,2015,NBC,Div B,EN,bcpc2015_divb,B,1.3.2.1.(1),Abbreviations of Proper Names,"The abbreviations of proper names in this Code shall have the meanings assigned to them in this Article.ANSIAmerican National Standards Institute (www.ansi.org)ASHRAEAmerican Society of Heating, Refrigerating and Air-Conditioning Engineers (www.ashrae.org)ASMEAmerican Society of Mechanical Engineers (www.asme.org)ASPEAmerican Society of Plumbing Engineers (www.aspe.org)ASSEAmerican Society of Sanitary Engineering (www.asse-plumbing.org)ASTMAmerican Society for Testing and Materials International (www.astm.org)AWSAmerican Welding Society (www.aws.org)AWWAAmerican Water Works Association (www.awwa.org)CANNational Standard of Canada designationCCBFCCanadian Commission on Building and Fire Codes (see NRC)CGSBCanadian General Standards Board(www.tpsgc-pwgsc.gc.ca/ongc-cgsb/index-eng.html)CSACSA Group (www.csagroup.org)NBCNational Building Code of Canada 2015NFPANational Fire Protection Association (www.nfpa.org)NISTNational Institute of Standards and Technology (www.nist.gov)NRCNational Research Council of Canada (Ottawa, Ontario K1A 0R6; www.nrc-cnrc.gc.ca)NRC-IRCNational Research Council of Canada, Institute for Research in Construction (former name of the NRC Construction Research Centre)ULCULC Standards (canada.ul.com/ulcstandards)",1.0,3,2,1,1,13253
