DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM,Full Index
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.2.5.11.(3),Hose Stations,Hose stations shall be located in the floor area within 5 m of exits and at other locations to provide coverage of the entire floor area.,3.0,2,5,11,3,6630
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.23.9.8.(1),Support of Walls,Non-loadbearing walls parallel to the floor joists shall be supported by joists beneath the wall or on blocking between the joists.,9.0,23,9,8,1,6631
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.23.14.11.(6),Roof Trusses,"Where the ability of a truss design to satisfy the requirements of Sentence (1) is demonstrated by analysis, it shall be carried out in accordance with good engineering practice such as that described in TPIC 2014, ""Truss Design Procedures and Specifications for Light Metal Plate Connected Wood Trusses (Limit States Design).""",9.0,23,14,11,6,6632
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.23.8.2.(1),Priming of Steel Beams,Exterior steel beams shall be shop primed.,9.0,23,8,2,1,6633
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.3.2.15.(1),Risers for Stairs,"In a Group A, Division 2 occupancy used for the serving of food and beverages, an interior flight of stairs with fewer than 3 risers is permitted provided it is not less than 900 mm wide, is illuminated at all times that occupants are on the premises, and has a handrail on each side.",3.0,3,2,15,1,6634
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.10.14.4.(3),Openings in Exposing Building Face,"Except for buildings that are sprinklered and for openable windows having an unobstructed opening equal to 0.35 m2 installed in accordance with Sentences 9.9.10.1.(1) and (2), where the limiting distance is 2 m or less, individual unprotected openings shall be no greater than the area stated in Table 9.10.14.4.-B, or where the limiting distance is equal to or greater than 1.2 m, the area calculated by Area 0.24 (2 LD – 1.2)² where Area = area of the unprotected opening, and LD = limiting distance.",9.0,10,14,4,3,6635
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.2.2.72.(1),"Group F, Division 1, up to 2 Storeys, Sprinklered","A building classified as Group F, Division 1 is permitted to conform to Sentence (2) provided except as permitted by Sentences 3.2.2.7.(1) and 3.2.2.18.(2), the building is sprinklered throughout, it is not more than 2 storeys in building height, and it hasa building area not more than 2 400m2 if 1 storey in building height, or 1 200m2 if 2 storeys in building height.",3.0,2,2,72,1,6636
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.3.4.3.(2),Storage Rooms,"Except as permitted by Sentence (3), a storage room referred to in Sentence (1) shall be separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h.",3.0,3,4,3,2,6637
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,3.3.2.4.(1),Fixed Seats,"Except for the requirements of Article 3.3.2.8. for bench-type seats and except as required or permitted by Sentence (2) and Articles 3.3.2.11. and 3.3.2.12., fixed seats in places of assembly shall be attached or secured to the floor, platform or platform riser, provided with arms and back, and arranged in rows having an unobstructed passage not less than 400 mm wide measured horizontally between plumb lines from the backs of the seats in one row and the edges of the furthest forward projection of the seats in the next row in the unoccupied position.",3.0,3,2,4,1,6638
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,4.1.6.7.(3),Areas Adjacent to Roof Projections,"Where the longest horizontal dimension of the roof projection, l0, is less than 3 m, the drift surcharge adjacent to the projection need not be considered.",4.0,1,6,7,3,6639
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.33.6.7.(6),Installation of Ducts and Plenums,"Ducts in or beneath concrete slabs-on-ground shall be watertight and corrosion-, decay-, and mildew-resistant.",9.0,33,6,7,6,6640
B,BC,2015,NBC,Div B,EN,bcbc2015_divb,B,9.33.10.1.(1),Requirement for Venting,"Except as provided in Articles 9.33.10.2. and 9.33.10.3., the products of combustion from oil-, gas- and solid-fuel-burning appliances, including stoves, cooktops, ovens and space heaters, shall be vented in conformance with the applicable appliance installation standard listed in Sentences 9.33.5.2.(1) and 9.33.5.3.(1).",9.0,33,10,1,1,6641
