DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM,Full Index
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,5.8.1.1.(1),Required Protection,"Except as provided in Sentence 5.8.1.1.(2), a dwelling unit shall be separated from every other space in a building in which noise may be generated by a separating assembly and adjoining constructions, which, together, provide an apparent sound transmission class (ASTC) rating not less than 47, or a separating assembly that provides a sound transmission class (STC) rating of not less than 50 and adjoining constructions that conform to Article 9.11.1.4.",5.0,8,1,1,1,53574
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.23.14.11.(6),Roof Trusses,"Where the ability of a truss design to satisfy the requirements of Sentence 9.23.14.11.(1) is demonstrated by analysis, it shall be carried out in accordance with good engineering practice such as that described in TPIC 2014 Truss Design Procedures and Specifications for Light Metal Plate Connected Wood Trusses (Limit States Design)",9.0,23,14,11,6,53575
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.10.17.4.(1),Exterior Exit Passageways,"Where an exterior exit passageway provides the only means of egress from the rooms or suites it serves, the wall and ceiling finishes of that passageway, including the soffit beneath and the guard on the passageway, shall have a surface flame-spread rating of not more than 25, except that up to 10% of the total wall area and 10% of the total ceiling area is permitted to have a surface flame-spread rating of not more than 150.",9.0,10,17,4,1,53576
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,3.4.6.5.(9),Handrails,"Required handrails shall be continuously graspable throughout the length of a ramp, and a flight of stairs, from the bottom riser to the top riser.",3.0,4,6,5,9,53577
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,3.6.5.5.(5),Insulation and Coverings,"No flame-spread rating or smoke developed classification limits are required for combustible insulation and coverings used on piping located within a concealed space in a wall, floor slab, or noncombustible enclosure.",3.0,6,5,5,5,53578
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.20.5.2.(2),Lintels or Arches,"Steel angle lintels supporting masonry veneer above openings shall conform to Table 9.20.5.2., and have a bearing length not less than 90 mm.",9.0,20,5,2,2,53579
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,3.2.2.32.(3),"Group A, Division 3, One Storey, Increased Area","If intended for occasional use for trade shows and similar exhibition purposes, a building referred to in Sentence 3.2.2.32.(1) that is more than 1 500 m2 in building area shall be sprinklered throughout.",3.0,2,2,32,3,53580
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.8.4.4.(4),"Uniformity and Tolerances for Risers, Runs and Treads",Tapered treads in a flight shall have a uniform run in accordance with the construction tolerances stipulated in Sentence 9.8.4.4.(3) when measured at a point 300 mm from the centre line of the handrail as described in Sentence 9.8.7.1.(5).,9.0,8,4,4,4,53581
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,4.1.8.1.(6),Analysis,Earthquake forces shall be assumed to act horizontally and independently about any two orthogonal axes.,4.0,1,8,1,6,53582
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,3.4.6.11.(6),Doors,"Where an exit door leading directly to the outside is subject to being obstructed by parked vehicles or storage because of its location, a visible sign or a physical barrier prohibiting such obstructions shall be installed on the exterior side of the door.",3.0,4,6,11,6,53583
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,3.3.4.3.(2),Storage Rooms,"Except as permitted by Sentence 3.3.4.3.(3), a storage room referred to in Sentence 3.3.4.3.(1) shall be separated from the remainder of the building by a fire separation having a fire-resistance rating not less than 1 h.",3.0,3,4,3,2,53584
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,4.1.8.9.(2),"SFRS Force Reduction Factors, System Overstrength Factors, and General Restrictions","When a particular value of Rd is required by this Article, the corresponding Ro shall be used.",4.0,1,8,9,2,53585
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,4.1.6.12.(2),Valleys in Curved or Sloped Roofs,"For case II (see Article 4.1.6.12.), the accumulation factor, Ca, shall be calculated as follows: Ca=1Cb for0&lt;x b/4,andCa=0.5Cb forb/4&lt;x b/2wherex = horizontal distance from the bottom of the valley, and b= twice the horizontal distance between the bottom of the valley and the peak of the roof surface in question.",4.0,1,6,12,2,53586
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.36.2.4.(3),Calculation of Effective Thermal Resistance of Assemblies,"Major structural penetrations, such as balcony and canopy slabs, beams, columns and ornamentation or appendages that must completely penetrate the building envelope to perform their intended function, need not be taken into account in the calculation of the effective thermal resistance of the penetrated assembly, provided the insulation is installed tight against the outline of the penetration, and the sum of the areas of all such major structural penetrations is limited to a maximum of 2% of the gross wall area calculated as described in Sentence 9.36.2.3.(2).",9.0,36,2,4,3,53587
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.10.8.8.(2),Floors of Exterior Passageways,"No fire-resistance rating is required for floors of exterior passageways serving buildings of Group D, E or F major occupancy that are not more than 2 storeys in building height.",9.0,10,8,8,2,53588
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.20.13.9.(2),Protection of Interior Finish,"In situations described in Sentence 9.20.13.9.(1), flashing shall be provided where water will accumulate, to lead it to the exterior.",9.0,20,13,9,2,53589
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,9.32.3.8.(7),Protection Against Depressurization,The provision of makeup air as described in Sentence 9.32.3.8.(2) is not required if it can be shown using the test procedures in CGSB CAN/CGSB-51.71-2005 Depressurization Test that the maximum depressurization levels to which fuel-fired space- or water-heating appliances and their venting systems will be exposed will not exceed the limits set out in CGSB CAN/CGSB-51.71-2005 Depressurization Test for the categories of fuel-fired appliances and venting systems installed in the dwelling unit.,9.0,32,3,8,7,53590
B,PE,2015,NBC,Div B,EN,pebc2015_divb,B,10.1.1.34.(1),Entrances,"Where an existing building has a building area less than 120 m2, (1292 sq. ft.); the slope from the entrance level floor at the entrance door to a street or public way is greater than 1 in 10; no entrance is more than 1 m to the property line; and no alternate access to an entrance from a street or public way is possible; the owner may use a stair with a maximum rise of 150 mm (6 in); a minimum run of 280 mm (11 in); tactile landings; contrasting colour nosings; and an unobstructed width of 1 m.",10.0,1,1,34,1,53591
