DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM,Full Index
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,3.2.3.1.(10),Limiting Distance and Area of Unprotected Openings,"Unless a closure used to protect an opening in an exposing building face has a protective performance equivalent to that required for the wall assembly in which it is located, an equivalent area of unprotected opening, determined in accordance with the procedures of Sentence (9) shall be added to the greater of, the actual area of unprotected openings, or the corrected area of unprotected openings.",3.0,2,3,1,10,44366
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,3.2.3.6.(2),Combustible Projections,"Except as provided in Sentence (3.1), where the exposing building face has a limiting distance of not more than 0.45 m, projecting roof soffits shall not be constructed above the exposing building face. (See Appendix A.)",3.0,2,3,6,2,44367
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,3.2.3.6.(4),Combustible Projections,"Where roof soffits project to less than 1.2 m from the centre line of a lane or public thoroughfare or from an imaginary line between two buildings or fire compartments on the same property, they shall, have no openings, and be protected by, not less than 0.38 mm thick sheet steel, unvented aluminum conforming to CAN/CGSB-93.2-M, ""Prefinished Aluminum Siding, Soffits and Fascia, for Residential Use"", not less than 12.7 mm thick gypsum soffit board or gypsum ceiling board installed according to CSA A82.31 M, ""Gypsum Board Application"", not less than 11 mm thick plywood, not less than 12.5 mm thick OSB or waferboard, or not less than 11 mm thick lumber.",3.0,2,3,6,4,44368
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.27.3.1.(1),Elements of the Second Plane of Protection (See,The second plane of protection shall consist of a drainage plane with appropriate inner boundary and flashing to dissipate rainwater to the exterior.,9.0,27,3,1,1,44369
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.23.15.7.(1),Thickness or Rating,The thickness or rating of roof sheathing on a flat roof used as a walking deck shall conform to either Table 9.23.14.5.A. or Table 9.23.14.5.B. for subfloors.,9.0,23,15,7,1,44370
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.27.8.1.(1),Material Standards,"Plywood cladding shall be exterior type conforming to,(a) ANSI/HPVA HP-1, ""Hardwood and Decorative Plywood"", (b) CSA O121, ""Douglas Fir Plywood"", (c) CSA O151, ""Canadian Softwood Plywood"", or (d) CSA O153, ""Poplar Plywood"".",9.0,27,8,1,1,44371
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.26.9.8.(1),Eave Protection,Eave protection shall conform to Subsection 9.26.5.,9.0,26,9,8,1,44372
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.30.1.1.(1),Required Finish Flooring,Finished flooring shall be provided in all residential occupancies.,9.0,30,1,1,1,44373
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.22.9.3.(2),Clearance to Combustible Framing,"Not less than a 50 mm clearance shall be provided between the back and sides of the smoke chamber of a solid fuel-burning fireplace and combustible framing, except that a 25 mm clearance is permitted where the fireplace is located in an exterior wall.",9.0,22,9,3,2,44374
B,ON,2015,NBC,Div B,EN,obc2019_divb,B,9.15.5.3.(2),Pilasters,Pilasters required in Sentence (1) shall be not less than 90 mm by 290 mm and shall be bonded or tied into the wall.,9.0,15,5,3,2,44375
