Full Index,ID,SEQ,DOCTYPE,DOCID,IDWITHINDOC,DIVISION,PROVISION,ARTICLE_TITLE,FRAG_DOCUMENT,FRAG_DOCUMENT_NOWHITESPACE,WORDCOUNT,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
9704,1342207,20052.0,F,nfc2015_divb,870.0,B,4.5.7.3.(1),Diaphragm Valves,Diaphragm valves shall have no direct connections between the liquid and air sections that might permit leakage of the liquid past the packing into the air lines.,diaphragmvalvesshallhavenodirectconnectionsbetweentheliquidandairsectionsthatmightpermitleakageoftheliquidpastthepackingintotheairlines.,27.0,4.0,5,7,3,1
9705,1342216,20201.0,F,nfc2015_divb,1019.0,B,4.7.4.3.(2),Check Valves,"Systems referred to in Sentence 4.7.4.3.(1) shall be designed, installed and maintained to prevent leakage or spillage.","systemsreferredtoinsentence4.7.4.3.(1)shallbedesigned,installedandmaintainedtopreventleakageorspillage.",17.0,4.0,7,4,3,2
9706,1342217,20236.0,F,nfc2015_divb,1054.0,B,4.8.6.1.(4),Portable Extinguishers,Portable extinguishers provided in conformance with Sentence 4.8.6.1.(3) shall be in addition to those provided on board the marine vessels.,portableextinguishersprovidedinconformancewithsentence4.8.6.1.(3)shallbeinadditiontothoseprovidedonboardthemarinevessels.,20.0,4.0,8,6,1,4
9707,1342259,19337.0,F,nfc2015_divb,155.0,B,2.8.2.2.(1),"Care, Treatment and Detention Occupancies","A sufficient number of supervisory staff shall be on duty in care, treatment and detention occupancies to perform the tasks outlined in the fire safety plan described in Clause 2.8.2.1.(1)(a).","asufficientnumberofsupervisorystaffshallbeondutyincare,treatmentanddetentionoccupanciestoperformthetasksoutlinedinthefiresafetyplandescribedinclause2.8.2.1.(1)(a).",30.0,2.0,8,2,2,1
9708,1342260,20558.0,F,nfc2015_divb,1376.0,B,7.1.1.4.(3),Maintenance of Fire Emergency Systems,Access to windows and panels required to vent floor areas and vents to vestibules permitted to be manually openable shall be kept free of obstruction.,accesstowindowsandpanelsrequiredtoventfloorareasandventstovestibulespermittedtobemanuallyopenableshallbekeptfreeofobstruction.,25.0,7.0,1,1,4,3
9709,1342261,20567.0,F,nfc2015_divb,1385.0,B,7.2.3.2.(1),Elevator Recall,"In addition to the procedures described in Article 7.2.3.1., all elevators in an elevator shaft that is designed for use as a smoke shaft shall be tested to ensure that on activation of the fire alarm system they will return to the street floor level and remain inoperative.","inadditiontotheproceduresdescribedinarticle7.2.3.1.,allelevatorsinanelevatorshaftthatisdesignedforuseasasmokeshaftshallbetestedtoensurethatonactivationofthefirealarmsystemtheywillreturntothestreetfloorlevelandremaininoperative.",48.0,7.0,2,3,2,1
9710,1342263,19386.0,F,nfc2015_divb,204.0,B,2.13.2.5.(1),Inspection of Separators,Aviation fuel and oil separators provided in the drainage system shall be inspected at intervals not greater than 7 days to ensure safe operation and shall be serviced when necessary.,aviationfuelandoilseparatorsprovidedinthedrainagesystemshallbeinspectedatintervalsnotgreaterthan7daystoensuresafeoperationandshallbeservicedwhennecessary.,30.0,2.0,13,2,5,1
9711,1342277,19939.0,F,nfc2015_divb,757.0,B,4.4.2.1.(3),Definition and Performance of Leak Detection Testing and Monitoring,A leak detection method that monitors vapours in the soil or liquids on the groundwater shall conform to good engineering practice and meet the requirements of vapour monitoring or groundwater monitoring systems. (See Note A-4.4.2.1.(3).),aleakdetectionmethodthatmonitorsvapoursinthesoilorliquidsonthegroundwatershallconformtogoodengineeringpracticeandmeettherequirementsofvapourmonitoringorgroundwatermonitoringsystems.(seenotea-4.4.2.1.(3).),35.0,4.0,4,2,1,3
9714,1342307,20550.0,F,nfc2015_divb,1368.0,B,6.9.1.1.(1),Attribution to Acceptable Solutions,"For the purposes of compliance with this Code as required in Clause 1.2.1.1.(1)(b), the objectives and functional statements attributed to the acceptable solutions in this Part shall be the objectives and functional statements listed in Table 6.9.1.1. (See Note A-1.1.2.1.(1).)","forthepurposesofcompliancewiththiscodeasrequiredinclause1.2.1.1.(1)(b),theobjectivesandfunctionalstatementsattributedtotheacceptablesolutionsinthispartshallbetheobjectivesandfunctionalstatementslistedintable6.9.1.1.(seenotea-1.1.2.1.(1).)",40.0,6.0,9,1,1,1
9716,1342325,19578.0,F,nfc2015_divb,396.0,B,3.3.2.12.(2),Fuel Dispensing,A clear space of not less than 6 m shall be maintained between the stored products and fuel dispensers.,aclearspaceofnotlessthan6mshallbemaintainedbetweenthestoredproductsandfueldispensers.,19.0,3.0,3,2,12,2
