Full Index,ID,SEQ,DOCTYPE,DOCID,IDWITHINDOC,DIVISION,PROVISION,ARTICLE_TITLE,FRAG_DOCUMENT,FRAG_DOCUMENT_NOWHITESPACE,WORDCOUNT,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
13493,1342452,309948.0,P,npc2015_divb,267.0,B,2.4.3.4.(1),Fixtures Located in Chemical Storage Locations,"A floor drain or other fixture located in an oil transformer vault, a high voltage room or any room where flammable, dangerous or toxic chemicals are stored or handled shall not be connected to a drainage system.","afloordrainorotherfixturelocatedinanoiltransformervault,ahighvoltageroomoranyroomwhereflammable,dangerousortoxicchemicalsarestoredorhandledshallnotbeconnectedtoadrainagesystem.",37.0,2.0,4,3,4,1
13494,1342532,309991.0,P,npc2015_divb,310.0,B,2.4.7.1.(3),Cleanouts for Drainage Systems,Interior leaders shall be provided with a cleanout fitting at the bottom of the leader or not more than 3 m upstream from the bottom of the leader.,interiorleadersshallbeprovidedwithacleanoutfittingatthebottomoftheleaderornotmorethan3mupstreamfromthebottomoftheleader.,28.0,2.0,4,7,1,3
13495,1343137,309959.0,P,npc2015_divb,278.0,B,2.4.5.1.(1),Traps for Sanitary Drainage Systems,"Except as provided in Sentences 2.4.5.1.(2) to 2.4.5.1.(5) and in Article 2.4.5.2., fixtures shall be protected by a separate trap.","exceptasprovidedinsentences2.4.5.1.(2)to2.4.5.1.(5)andinarticle2.4.5.2.,fixturesshallbeprotectedbyaseparatetrap.",20.0,2.0,4,5,1,1
13496,1343139,309962.0,P,npc2015_divb,281.0,B,2.4.5.1.(4),Traps for Sanitary Drainage Systems,An indirectly connected fixture that can discharge only clear-water waste other than a drinking fountain need not be protected by a trap. (See Clause 2.4.2.1.(1)(e) for indirect connections.),anindirectlyconnectedfixturethatcandischargeonlyclear-waterwasteotherthanadrinkingfountainneednotbeprotectedbyatrap.(seeclause2.4.2.1.(1)(e)forindirectconnections.),28.0,2.0,4,5,1,4
13498,1343211,309887.0,P,npc2015_divb,206.0,B,2.3.3.12.(1),Copper Joints Used Underground,"Except as provided in Sentence 2.3.3.12.(2), joints in copper tubes installed underground shall be made with either flared or compression fittings, or be brazed using a brazing alloy within the American Welding Society's AWS-BCuP range.","exceptasprovidedinsentence2.3.3.12.(2),jointsincoppertubesinstalledundergroundshallbemadewitheitherflaredorcompressionfittings,orbebrazedusingabrazingalloywithintheamericanweldingsociety'saws-bcuprange.",35.0,2.0,3,3,12,1
13499,1343224,309997.0,P,npc2015_divb,316.0,B,2.4.7.1.(9),Cleanouts for Drainage Systems,Cleanouts shall be installed so that the cumulative change in direction is not more than 90° between cleanouts in a drip pipe from a food receptacle or in a fixture drain serving a kitchen sink in a non-residential occupancy. (See Note A-2.4.7.1.(9).),cleanoutsshallbeinstalledsothatthecumulativechangeindirectionisnotmorethan90°betweencleanoutsinadrippipefromafoodreceptacleorinafixturedrainservingakitchensinkinanon-residentialoccupancy.(seenotea-2.4.7.1.(9).),42.0,2.0,4,7,1,9
13502,1343876,309842.0,P,npc2015_divb,161.0,B,2.2.10.12.(1),Reducing Valves,Direct-acting water-pressure-reducing valves for domestic water supply systems shall conform to CSA CAN/CSA-B356-10 Water Pressure Reducing Valves for Domestic Water Supply Systems,direct-actingwater-pressure-reducingvalvesfordomesticwatersupplysystemsshallconformtocsacan/csa-b356-10waterpressurereducingvalvesfordomesticwatersupplysystems,22.0,2.0,2,10,12,1
13507,1344583,309853.0,P,npc2015_divb,172.0,B,2.3.2.1.(4),Caulked Lead Drainage Joints,A length of hub and spigot pipe and pipe fittings in a drainage system shall be installed with the hub at the upstream end.,alengthofhubandspigotpipeandpipefittingsinadrainagesystemshallbeinstalledwiththehubattheupstreamend.,24.0,2.0,3,2,1,4
13508,1345183,310121.0,P,npc2015_divb,440.0,B,2.5.8.4.(2),Vent Stacks or Stack Vents,"For the purposes of Table 2.5.8.4., the length of a stack vent or vent stack shall be its developed length from its lower end to outside air.","forthepurposesoftable2.5.8.4.,thelengthofastackventorventstackshallbeitsdevelopedlengthfromitslowerendtooutsideair.",27.0,2.0,5,8,4,2
13509,1345848,310172.0,P,npc2015_divb,491.0,B,2.6.2.3.(3),Backflow Caused by Back Pressure,"Backflow caused by back pressure of toxic substances into a potable water system shall be prevented by the installation of an air gap, or a reduced pressure principle backflow preventer.","backflowcausedbybackpressureoftoxicsubstancesintoapotablewatersystemshallbepreventedbytheinstallationofanairgap,orareducedpressureprinciplebackflowpreventer.",30.0,2.0,6,2,3,3
