ID,SEQ,DOCTYPE,DOCID,IDWITHINDOC,DIVISION,PROVISION,ARTICLE_TITLE,FRAG_DOCUMENT,FRAG_DOCUMENT_NOWHITESPACE,WORDCOUNT,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
1342286,157480.0,E,necb2015_divb,312.0,B,5.2.8.5.(5),Space Temperature Control,Vestibules between conditioned spaces and the outdoors shall have a temperature-control device that limits the maximum heating temperature in the vestibule to 15°C.,vestibulesbetweenconditionedspacesandtheoutdoorsshallhaveatemperature-controldevicethatlimitsthemaximumheatingtemperatureinthevestibuleto15°c.,23.0,5.0,2,8,5,5
1343343,157294.0,E,necb2015_divb,126.0,B,4.2.2.1.(3),Interior Lighting Controls,"At least one manual lighting control device shall be installed in conformance with Sentence 4.2.2.1.(4) in each space type listed in Table 4.2.1.6. to control all the lighting in each area less than or equal to 250 m2, where the area of the space is less than or equal to 1 000 m2, and in each area less than or equal to 1 000 m2, where the area of the space is greater than 1 000 m2.","atleastonemanuallightingcontroldeviceshallbeinstalledinconformancewithsentence4.2.2.1.(4)ineachspacetypelistedintable4.2.1.6.tocontrolallthelightingineacharealessthanorequalto250m2,wheretheareaofthespaceislessthanorequalto1000m2,andineacharealessthanorequalto1000m2,wheretheareaofthespaceisgreaterthan1000m2.",77.0,4.0,2,2,1,3
1343567,157483.0,E,necb2015_divb,315.0,B,5.2.8.7.(2),Control of Temperature of Air Leaving the Supply Air Handler,Reheating supply air for humidity control is permitted where specified humidity levels are required. (See Note A-5.2.8.7.(2).),reheatingsupplyairforhumiditycontrolispermittedwherespecifiedhumiditylevelsarerequired.(seenotea-5.2.8.7.(2).),17.0,5.0,2,8,7,2
1343568,157568.0,E,necb2015_divb,402.0,B,6.2.6.1.(2),Showers,"Where multiple shower heads installed in a public showering facility are served by one temperature control, each shower head shall be equipped with a device capable of automatically shutting off the flow of water when the showerhead is not in use. (See Note A-6.2.6.1.(2) and 6.2.6.2.(2).)","wheremultipleshowerheadsinstalledinapublicshoweringfacilityareservedbyonetemperaturecontrol,eachshowerheadshallbeequippedwithadevicecapableofautomaticallyshuttingofftheflowofwaterwhentheshowerheadisnotinuse.(seenotea-6.2.6.1.(2)and6.2.6.2.(2).)",46.0,6.0,2,6,1,2
1344320,157623.0,E,necb2015_divb,457.0,B,8.4.1.4.(2),Treatment of Additions,"Where the addition is being considered by itself, existing primary and secondary systems that are extended to serve the addition shall be modeled for the proposed building as if they met the prescriptive requirements of the Code, or using the characteristics of the existing equipment as determined in accordance with the standards referenced in Articles 5.2.12.1.and 6.2.2.1. (see Note A-8.4.1.4.(2)(b)).","wheretheadditionisbeingconsideredbyitself,existingprimaryandsecondarysystemsthatareextendedtoservetheadditionshallbemodeledfortheproposedbuildingasiftheymettheprescriptiverequirementsofthecode,orusingthecharacteristicsoftheexistingequipmentasdeterminedinaccordancewiththestandardsreferencedinarticles5.2.12.1.and6.2.2.1.(seenotea-8.4.1.4.(2)(b)).",60.0,8.0,4,1,4,2
1344717,157230.0,E,necb2015_divb,62.0,B,3.2.2.4.(3),Thermal Characteristics of Doors and Access Hatches,"Doors need not comply with Sentence 3.2.2.4.(1)or 3.2.2.4.(2) where their total area does not exceed 2% of the gross wall area calculated in accordance with Article 3.1.1.6., and their overall thermal transmittance does not exceed 4.4 W/(m2·K).","doorsneednotcomplywithsentence3.2.2.4.(1)or3.2.2.4.(2)wheretheirtotalareadoesnotexceed2%ofthegrosswallareacalculatedinaccordancewitharticle3.1.1.6.,andtheiroverallthermaltransmittancedoesnotexceed4.4w/(m2·k).",37.0,3.0,2,2,4,3
1344944,157746.0,E,necb2015_divb,580.0,B,8.4.4.11.(2),Cooling Tower Systems,A cooling tower with a capacity not greater than 1 750 kW shall be modeled with one cell.,acoolingtowerwithacapacitynotgreaterthan1750kwshallbemodeledwithonecell.,18.0,8.0,4,4,11,2
1344949,157455.0,E,necb2015_divb,287.0,B,5.2.5.3.(2),Piping Insulation,"Except for suction-line piping of direct expansion systems, piping located within conditioned space in a dwelling unit and serving only that dwelling unit need not comply with Sentence 5.2.5.3.(1).","exceptforsuction-linepipingofdirectexpansionsystems,pipinglocatedwithinconditionedspaceinadwellingunitandservingonlythatdwellingunitneednotcomplywithsentence5.2.5.3.(1).",29.0,5.0,2,5,3,2
1345608,157694.0,E,necb2015_divb,528.0,B,8.4.4.2.(2),"Operating Schedules, Internal Loads, Service Water Heating Loads and Set-point Temperature",The reference building’s internal and service water heating loads shall be modeled as being identical to those determined for the proposed building in Sentence 8.4.3.2.(2).,thereferencebuilding’sinternalandservicewaterheatingloadsshallbemodeledasbeingidenticaltothosedeterminedfortheproposedbuildinginsentence8.4.3.2.(2).,25.0,8.0,4,4,2,2
1345609,157386.0,E,necb2015_divb,218.0,B,4.3.3.3.(1),Determination of Daylighted Area,"The daylighted area of a space, ADL,i, in m2, shall be identical to that for the proposed building as determined in Article 4.3.2.3.","thedaylightedareaofaspace,adl,i,inm2,shallbeidenticaltothatfortheproposedbuildingasdeterminedinarticle4.3.2.3.",23.0,4.0,3,3,3,1
1345617,157590.0,E,necb2015_divb,424.0,B,6.4.1.1.(1),Scope,"Subject to the limitations stated in Article 6.4.1.2., where the service water heating system does not comply with the requirements of Section 6.2.or 6.3., it shall comply with Part 8.","subjecttothelimitationsstatedinarticle6.4.1.2.,wheretheservicewaterheatingsystemdoesnotcomplywiththerequirementsofsection6.2.or6.3.,itshallcomplywithpart8.",30.0,6.0,4,1,1,1
1345619,157419.0,E,necb2015_divb,251.0,B,5.2.2.5.(2),Duct and Plenum Insulation,"The insulation thickness used to determine compliance with Table 5.2.2.5. shall be the thickness of the insulation after installation. (See Note A-5.2.2.5.(2), 5.2.5.3.(8) and 6.2.3.1.(6).)","theinsulationthicknessusedtodeterminecompliancewithtable5.2.2.5.shallbethethicknessoftheinsulationafterinstallation.(seenotea-5.2.2.5.(2),5.2.5.3.(8)and6.2.3.1.(6).)",25.0,5.0,2,2,5,2
1346212,157652.0,E,necb2015_divb,486.0,B,8.4.2.9.(1),Air Leakage,The energy model calculations shall account for air leakage through the building envelope.,theenergymodelcalculationsshallaccountforairleakagethroughthebuildingenvelope.,13.0,8.0,4,2,9,1
1346221,157657.0,E,necb2015_divb,491.0,B,8.4.2.10.(5),HVAC Systems Calculations,"The energy model calculations shall account for the efficiency and capacity of the HVAC equipment as a function of part load and parameters such as, but not limited to, the temperatures of entering fluids and climatic conditions.","theenergymodelcalculationsshallaccountfortheefficiencyandcapacityofthehvacequipmentasafunctionofpartloadandparameterssuchas,butnotlimitedto,thetemperaturesofenteringfluidsandclimaticconditions.",37.0,8.0,4,2,10,5
1346230,157322.0,E,necb2015_divb,154.0,B,4.2.2.3.(3),Determination of Primary and Secondary Sidelighted Areas,"The width of the primary sidelighted area shall be calculated as the width of the window plus, on each side, the smaller of the following values: ½ of the window head height, or the distance to any vertical obstruction that is 1.5 m or more in height.","thewidthoftheprimarysidelightedareashallbecalculatedasthewidthofthewindowplus,oneachside,thesmallerofthefollowingvalues:½ofthewindowheadheight,orthedistancetoanyverticalobstructionthatis1.5mormoreinheight.",47.0,4.0,2,2,3,3
1346239,157553.0,E,necb2015_divb,387.0,B,6.2.2.4.(1),Combination Service Water Heating and Space-Heating Equipment,"Combination service water heating and space-heating equipment is only permitted to be used where input to the combination equipment is less than 22 kW, or less than twice the design service water heating load.","combinationservicewaterheatingandspace-heatingequipmentisonlypermittedtobeusedwhereinputtothecombinationequipmentislessthan22kw,orlessthantwicethedesignservicewaterheatingload.",34.0,6.0,2,2,4,1
