DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,5.1.2.2.(1),General,Electrical installations shall conform to the British Columbia Electrical Safety Regulation,5.0,1,2,2,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.4.4.1.(1),Flammable and Combustible Liquids,"Flammable liquids and combustible liquids shall be classified, stored and handled in conformance with part 4..",2.0,4,4,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.1.2.4.(2),Storage Arrangement and Conditions,"In addition to the provisions of Article 3.1.2.2., dangerous goods shall not be stored in areas where they may be subject to temperature extremes or atmospheric pressure that could cause their containers to become deformed or rupture, or physical impact or temperature extremes that could cause a chemical reaction or chemical instability such that a fire could occur.",3.0,1,2,4,2
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,3.3.5.1.(1),Application,"Except as provided in part 3., this Subsection applies to the outdoor storage of dangerous goods classified as compressed gases.",3.0,3,5,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.2.7.4.(1),Dispensing and Transfer,"Except as permitted in part 4. and in Sentence 4.2.7.4.(2), the dispensing or transfer of Class I or II liquids shall be conducted in rooms conforming to part 4.",4.0,2,7,4,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.9.1.1.(1),Application,"Except as provided in Sentence 4.9.1.1.(2), this Section applies to process plants, including refineries, that contain industrial processes involving flammable liquids or combustible liquids.",4.0,9,1,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.6.1.9.(4),Commercial Cooking Equipment,Flammable cleaning materials or solvents shall not be used for the cleaning of exhaust systems.,2.0,6,1,9,4
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.3.11.3.(6),Installation,Vent piping shall be tested for leaks at the commissioning stage in conformance with Sentence 4.4.1.2.(1).,4.0,3,11,3,6
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,4.4.2.1.(1),Definition and Performance of Leak Detection Testing and Monitoring,This Subsection applies to the leak detection testing and monitoring methods referred to in this Section.,4.0,4,2,1,1
F,BC,2015,NBC,Div B,EN,bcfc2015_divb,B,2.1.4.2.(1),Maintenance,"Every sign, notice, placard or information that is required to be posted shall be maintained in conformance with Article 2.1.4.1.",2.0,1,4,2,1
