DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,9.4.5.4.(1),Voice communication systems,"In buildings greater than 6 storeys in building height, a voice communication system shall be provided in accordance with the requirements of Article 3.2.4.16. of the 1986 Building Code.",9.0,4,5,4,1
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,5.18.6.4.(1),Automatic fire protection,Ovens containing or processing sufficient combustible materials to sustain a fire shall be protected by an automatic sprinkler system or other fixed extinguishing systems.,5.0,18,6,4,1
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,9.4.2.1.(1),Construction,"Fire separations required under this Section to have a fire-resistance rating shall comply with Subsection 3.1.5. and Articles 3.1.6.1., 3.1.6.2. and 3.1.6.3. of the 1986 Building Code.",9.0,4,2,1,1
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,5.10.1.4.(2),Construction of dust-collecting equipment,Dust-collecting systems shall be of a design which will prevent sparks due to physical contact in the fan assembly.,5.0,10,1,4,2
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,6.3.4.7.(2),Replacement in certain buildings,"This Article applies as of April 15, 2015, in the case of buildings that contain no more than six suites of residential occupancy, and as of October 15, 2015, in the case of buildings that contain more than six suites of residential occupancy.",6.0,3,4,7,2
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,9.9.2.12.(4),Fuel-fired appliances,"Despite Sentence (1), the fire-resistance rating of the fire separation above the room is not required where the required vertical fire separation to the room is provided, and the room area is fully sprinklered, with a spacing not exceeding 9.5 m2 per sprinkler head, or providing a minimum average density of 6.5 L/min/m2 over the room area.",9.0,9,2,12,4
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,6.5.1.6.(2),Obstructions,"Except as permitted in Sentence (4), the sprinkler system shall be subjected to a hydrostatic pressure test of a minimum of 1400 kPa (gauge), or 350 kPa (gauge) in excess of the maximum static pressure to which the system may be subjected, for a period of 2 h without loss of pressure.",6.0,5,1,6,2
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,2.6.1.4.(2),"Chimneys, flues and flue pipes","A chimney, flue, or flue pipe shall be replaced or repaired to eliminate any structural deficiency or decay, and all abandoned or unused openings which are not effectively sealed in a manner that would prevent the passage of fire or smoke.",2.0,6,1,4,2
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,6.6.2.4.(1),Tank enclosure temperature checks,A daily check of the temperature of the tank enclosure for tanks in buildings shall be carried out during freezing weather to ensure that the temperature of the tank enclosure does not fall below 0°C.,6.0,6,2,4,1
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,9.1.2.2.(3),Exemptions,"(3) Section 9.7 does not apply to a building or part of a building that contains a care occupancy, if the building or part of the building satisfies the requirements for a care occupancy contained in the Building Code as it read at any time on or after April 6, 1998.",9.0,1,2,2,3
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,6.6.5.6.(1),Hydrant water flow,Hydrant water flow shall be inspected annually in accordance with Article 6.6.5.7.,6.0,6,5,6,1
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,4.4.11.5.(1),Visual inspections,A visual inspection routine for the prompt detection of obviously abnormal conditions shall be established and shall be performed at least once each shift.,4.0,4,11,5,1
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,7.2.2.2.(2),Out of service requirements,"A procedure of notification shall be established that may be used when a firefighters  elevator is out of service, and the procedure must include notifying the fire department and building occupants.",7.0,2,2,2,2
F,ON,2015,NBC,Div B,EN,ofc2019_divb,B,9.9.3.2.(9),Access to exit,"The aggregate width of required means of egress from a floor area or portion of a floor area shall be determined by multiplying the occupant load of the area served by 6.1 mm per person, for ramps with a gradient of not more than 1 in 8, doorways, corridors and passageways, or 9.2 mm per person, for ramps with a gradient of more than 1 in 8 and stairs.",9.0,9,3,2,9
