DOCTYPE,PT,Code Year,Code Book,Division,Language,DOCID,DIVISION,PT Sentence Number,ARTICLE_TITLE,PT Sentence Text,PARTNUM,SECTIONNUM,SUBSECTIONNUM,ARTICLENUM,SENTENCENUM
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.4.3.2.(1),Restricted Locations of Indirect Connections and Traps,Indirect connections or any trap that may overflow shall not be located in a crawl space or any other unfrequented area.,2.0,4,3,2,1
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.4.9.3.(1),Size of Fixture Outlet Pipes,"Except as provided in Sentence (2), the size of every fixture outlet pipe shall conform to Table 7.4.9.3.",2.0,4,9,3,1
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.2.5.12.(2),"Plastic Pipe, Fittings and Solvent Cement Used in Buildings (See Appendix A.)","Plastic pipe, fittings and solvent cement used inside a building in a storm drainage system shall be certified to,(a) ASTM F628, ""Acrylonitrile-Butadiene-Styrene (ABS) Schedule 40 Plastic Drain, Waste, and Vent Pipe With a Cellular Core"", (b) CAN/CSA-B181.1, ""Acrylonitrile-Butadiene-Styrene (ABS) Drain, Waste, and Vent Pipe and Pipe Fittings"", (c) CAN/CSA-B181.2, ""Polyvinylchloride (PVC) and Chlorinated Polyvinylchloride (CPVC) Drain, Waste, and Vent Pipe and Pipe Fittings"", (d) CAN/CSA-B182.1, ""Plastic Drain and Sewer Pipe and Pipe Fittings"", or (e) CAN/CSA-B182.2, ""PSM Type Polyvinylchloride (PVC) Sewer Pipe and Fittings"".",2.0,2,5,12,2
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.4.7.1.(6),Cleanouts for Drainage Systems,Every sanitary building drain or storm building drain shall be provided with a cleanout fitting that is located as close as practical to the place where the drain leaves the building. (See Appendix A.),2.0,4,7,1,6
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.4.9.2.(4),Serving Water Closets,The size of the discharge pipe serving a macerating toilet system shall be at least ¾ in.,2.0,4,9,2,4
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.3.4.1.(1),Capability of Support,Piping shall be provided with support that is capable of keeping the pipe in alignment and bearing the weight of the pipe and its contents.,2.0,3,4,1,1
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.5.6.2.(1),Vent Pipe Connections (See Appendix A.),"Every vent pipe in a plumbing system shall be installed so as to be direct as possible to a vent stack or open air, as the case may be, and so that any horizontal run below the flood level of the fixture to which the vent pipe is installed is eliminated where structurally possible.",2.0,5,6,2,1
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.6.2.1.(2),Connection of Systems,No connection shall be made between a potable water system supplied with water from a drinking water system and any other potable water system without the consent of the water purveyor.,2.0,6,2,1,2
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.3.2.2.(1),Wiped Joints,"Wiped joints shall not be used except for sheet lead or lead pipe, or between such pipe and copper pipe or a ferrule.",2.0,3,2,2,1
P,ON,2015,NBC,Div B,EN,opc2019_divb,B,2.5.5.5.(1),Provision for Future Installations,"Where provision is made for a fixture to be installed in the future, the drainage system and venting system shall be sized accordingly and provision made for the necessary future connections.",2.0,5,5,5,1
